;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (TWD/USD)
2009.0;2860.0;482.0;1177.0;58.0;52.0;121.0;2557.0;3204.0;7939.0;1103.0;1238.0;6686.0;1015.0;-602.0;155.0;550.0;464.0;2378.0;16.87;425.0;252.0;173.0;85.0;88.0;;2803.0;5.0;5.0;1071.0;41.14;2.02;-5.0;1.83;-20.0;4.24;0.05;0.05;2540.0;;2071.0;66.0;2136.0;547.0;286.0;234.0;2804.0;0.0;;0.0;1729.0;99.0;103.0;4735.0;;172.0;405.0;6.0;;526.0;24.0;;0.0;110.0;134.0;;;;4065.0;333.0;958.0;1329.0;7923.0;16.0;7939.0;;121.0;1071.0;;;-76.0;;40.0;97.0;21.0;-102.0;-551.0;;-154.0;126.0;-22.0;-10.0;;;;164.0;-17.0;2071.0;1520.0;;0.03;35.98;1.53;5.83;;6.94;84.1;2540.0;1.9;0.0;;91390.0;2.0;34230.0;3874.0;-38.9;4.2;67117.0;767.0;213598.0;2.1;1.3;1.8;100.0;;0.031
2010.0;4334.0;1266.0;1920.0;755.0;870.0;819.0;2554.0;3214.0;9629.0;1558.0;1911.0;7519.0;1836.0;-1983.0;-349.0;-510.0;-265.0;3069.0;29.2;511.0;300.0;211.0;123.0;88.0;;3580.0;5.0;1.0;1045.0;44.3;17.41;115.0;20.08;55.0;18.9;0.33;0.32;2499.0;;1758.0;281.0;2038.0;670.0;447.0;59.0;4551.0;10.0;;10.0;1617.0;99.0;137.0;6414.0;;673.0;141.0;54.0;;743.0;233.0;;1.0;120.0;353.0;;;;4452.0;967.0;769.0;1331.0;9430.0;199.0;9629.0;;819.0;1045.0;;22.0;15.0;;-114.0;;27.0;-65.0;-2101.0;54.0;-72.0;138.0;-3.0;-258.0;18.0;-166.0;-213.0;270.0;-15.0;1758.0;2268.0;;0.03;50.59;9.56;-3.09;2.49;24.52;87.76;2499.0;0.3;0.0;77.1;126442.0;17.4;30496.0;23899.0;6.3;18.9;48325.0;6799.0;219337.0;10.4;9.3;10.9;74.0;-136.2;0.034
2011.0;3851.0;702.0;1459.0;171.0;310.0;350.0;2648.0;2774.0;9234.0;1416.0;2234.0;6855.0;1375.0;-1819.0;327.0;-73.0;-395.0;3149.0;18.24;532.0;310.0;221.0;110.0;111.0;;3680.0;8.0;10.0;1068.0;37.87;4.44;139.0;8.04;30.0;9.09;0.14;0.13;2512.0;;1619.0;193.0;1812.0;506.0;419.0;37.0;4928.0;2.0;10.0;12.0;1271.0;99.0;151.0;6461.0;;446.0;311.0;17.0;;659.0;696.0;;1.0;121.0;818.0;;;;4318.0;808.0;401.0;1328.0;9090.0;145.0;9234.0;;350.0;1068.0;;26.0;-62.0;;-41.0;;18.0;-8.0;-1769.0;-2.0;-167.0;129.0;-19.0;-171.0;0.0;;-463.0;961.0;44.0;1619.0;1692.0;;0.03;46.45;4.22;-4.76;5.58;21.34;82.69;2512.0;0.6;0.0;224.1;116703.0;4.4;32371.0;10610.0;9.7;9.1;41152.0;21095.0;207737.0;4.6;4.3;5.1;-32.1;-117.1;0.033
2012.0;3978.0;668.0;1590.0;121.0;275.0;269.0;2691.0;2783.0;9662.0;1377.0;2612.0;6962.0;1394.0;-1690.0;123.0;-223.0;-427.0;3310.0;16.78;547.0;337.0;210.0;116.0;95.0;;3858.0;7.0;19.0;1229.0;39.96;3.03;155.0;6.92;73.0;6.76;0.11;0.1;2525.0;;1465.0;171.0;1636.0;590.0;448.0;108.0;5497.0;2.0;45.0;47.0;1202.0;28.0;105.0;6879.0;;215.0;199.0;41.0;;963.0;1106.0;5.0;1.0;123.0;1235.0;;;;4454.0;891.0;172.0;1445.0;9574.0;88.0;9662.0;;269.0;1229.0;;7.0;39.0;-65.0;-35.0;46.0;51.0;-150.0;-1821.0;-18.0;-66.0;208.0;-20.0;-606.0;0.0;;-217.0;947.0;-50.0;1465.0;1688.0;;0.03;45.81;3.1;-4.92;2.5;20.97;80.18;2525.0;0.7;0.0;111.7;115675.0;3.0;35738.0;7819.0;26.6;6.8;40884.0;32155.0;202450.0;3.2;3.8;3.9;19.2;-50.8;0.034
2013.0;4149.0;790.0;1806.0;135.0;481.0;423.0;2662.0;2976.0;9849.0;1615.0;2824.0;6880.0;1457.0;-1056.0;-132.0;280.0;257.0;3359.0;19.03;653.0;419.0;232.0;123.0;109.0;2.0;4012.0;10.0;20.0;1288.0;43.53;3.26;345.0;11.58;76.0;10.18;0.17;0.16;2502.0;;1703.0;93.0;1796.0;590.0;469.0;121.0;5454.0;2.0;157.0;159.0;1009.0;91.0;160.0;6873.0;;248.0;156.0;32.0;;1211.0;952.0;11.0;111.0;134.0;1209.0;;;;4253.0;1284.0;140.0;1204.0;9704.0;145.0;9849.0;;423.0;1288.0;;1.0;3.0;30.0;-4.0;28.0;1.0;-257.0;-1199.0;85.0;-70.0;119.0;-88.0;-761.0;0.0;-75.0;-170.0;875.0;10.0;1703.0;1424.0;;0.03;49.49;5.04;3.07;2.02;14.31;82.08;2502.0;0.4;0.0;99.7;123812.0;3.3;38432.0;12609.0;15.7;10.2;40592.0;28415.0;205324.0;5.4;5.3;6.1;59.9;95.1;0.034
2014.0;4424.0;1007.0;1756.0;318.0;429.0;351.0;2576.0;3061.0;9816.0;1555.0;2854.0;6841.0;1415.0;-1346.0;-261.0;-146.0;13.0;3418.0;22.75;671.0;432.0;239.0;113.0;127.0;;4089.0;16.0;22.0;1285.0;39.7;7.2;110.0;9.69;99.0;7.93;0.15;0.15;2499.0;;1444.0;23.0;1468.0;729.0;482.0;383.0;5301.0;0.0;143.0;143.0;1102.0;72.0;138.0;6756.0;;195.0;198.0;115.0;;1162.0;1055.0;14.0;99.0;130.0;1299.0;;;;4021.0;1554.0;319.0;947.0;9695.0;122.0;9816.0;;351.0;1285.0;;1.0;-262.0;-190.0;-60.0;-22.0;0.0;41.0;-1403.0;-4.0;-83.0;131.0;-25.0;-750.0;2.0;;-198.0;685.0;46.0;1460.0;1606.0;;0.03;56.03;4.45;0.16;2.5;17.76;86.63;2499.0;0.5;0.0;115.8;140012.0;7.2;40657.0;11109.0;23.0;7.9;47665.0;33401.0;216489.0;4.5;4.9;5.1;43.7;1556.1;0.032
2015.0;4409.0;967.0;1833.0;330.0;416.0;403.0;2668.0;2886.0;10208.0;1506.0;3364.0;6783.0;1828.0;-2092.0;458.0;215.0;-47.0;3442.0;21.93;607.0;371.0;237.0;114.0;124.0;-1.0;4048.0;11.0;14.0;1384.0;41.58;7.48;86.0;9.44;31.0;9.15;0.16;0.16;2502.0;;1622.0;20.0;1642.0;608.0;537.0;98.0;5746.0;0.0;137.0;137.0;1160.0;71.0;208.0;7322.0;;181.0;168.0;99.0;;1158.0;1447.0;16.0;73.0;323.0;1857.0;;;;3884.0;1685.0;278.0;936.0;10146.0;62.0;10208.0;;403.0;1384.0;;0.0;117.0;104.0;-58.0;-15.0;1.0;-77.0;-1875.0;-88.0;-153.0;79.0;-88.0;-616.0;21.0;-67.0;-211.0;1332.0;22.0;1622.0;1407.0;;0.03;57.9;5.3;-0.62;2.77;24.62;89.08;2502.0;0.4;0.0;134.0;144830.0;7.5;45472.0;13254.0;7.5;9.2;45330.0;47524.0;222826.0;4.8;4.4;5.9;47.6;-546.0;0.03
2016.0;4554.0;936.0;1922.0;191.0;145.0;266.0;2708.0;3402.0;11834.0;2242.0;5214.0;6554.0;1431.0;-2467.0;1195.0;132.0;-1437.0;3619.0;20.54;729.0;417.0;320.0;179.0;141.0;-8.0;4348.0;9.0;38.0;1601.0;42.2;4.19;-45.0;3.19;17.0;5.83;0.1;0.1;2458.0;;1773.0;22.0;1795.0;739.0;524.0;344.0;6966.0;0.0;125.0;126.0;995.0;155.0;191.0;8432.0;;211.0;633.0;123.0;;1398.0;1870.0;15.0;74.0;1012.0;2972.0;;;;3888.0;1620.0;160.0;885.0;11768.0;67.0;11834.0;;266.0;1601.0;;;-296.0;-114.0;16.0;29.0;0.0;-139.0;-2868.0;-26.0;-20.0;141.0;258.0;-1250.0;;-74.0;-213.0;2731.0;-27.0;1773.0;1641.0;;0.03;60.16;3.51;-18.99;2.81;37.88;86.57;2458.0;0.5;0.0;147.1;147870.0;4.2;51984.0;8621.0;11.7;5.8;37680.0;60729.0;212785.0;3.0;2.7;4.1;19.9;-19.9;0.031
2017.0;5031.0;912.0;2230.0;221.0;259.0;326.0;2697.0;4694.0;13181.0;2993.0;6117.0;7032.0;1768.0;-1194.0;309.0;812.0;234.0;4119.0;18.12;687.0;461.0;286.0;143.0;143.0;-59.0;4806.0;12.0;81.0;1789.0;44.33;4.4;37.0;5.14;33.0;6.48;0.13;0.12;2442.0;;2752.0;24.0;2777.0;767.0;615.0;534.0;6943.0;1.0;127.0;128.0;1041.0;206.0;169.0;8487.0;;220.0;858.0;164.0;;1915.0;1797.0;16.0;78.0;1233.0;3124.0;;;;4254.0;1788.0;22.0;967.0;13149.0;32.0;13181.0;;326.0;1789.0;;;-67.0;54.0;-53.0;-6.0;17.0;-280.0;-1534.0;-7.0;-39.0;144.0;199.0;-1956.0;;;-206.0;2470.0;-72.0;2752.0;1940.0;;0.03;61.14;3.96;2.85;2.5;18.64;85.46;2442.0;0.6;0.0;111.6;149285.0;4.4;53099.0;9677.0;12.9;6.5;50463.0;53319.0;208664.0;3.8;3.4;4.6;36.9;87.8;0.034
2018.0;4944.0;747.0;2006.0;186.0;69.0;251.0;2697.0;4616.0;11853.0;1635.0;5172.0;6666.0;1665.0;-507.0;-1095.0;65.0;997.0;4198.0;15.1;565.0;426.0;289.0;162.0;128.0;-149.0;4763.0;;91.0;1701.0;40.57;3.76;-116.0;1.4;-37.0;5.08;0.09;0.09;2421.0;;2735.0;17.0;2752.0;807.0;595.0;461.0;5672.0;0.0;97.0;98.0;1016.0;222.0;229.0;7238.0;;222.0;428.0;67.0;30.0;954.0;2193.0;;65.0;1279.0;3536.0;;;;4062.0;2167.0;-460.0;898.0;11838.0;15.0;11853.0;;251.0;1701.0;;23.0;-98.0;-45.0;-2.0;8.0;-88.0;-212.0;-668.0;-28.0;-19.0;2.0;179.0;-1453.0;72.0;-201.0;-280.0;767.0;1.0;2735.0;2670.0;;0.03;62.48;3.17;12.6;3.54;8.44;84.24;2421.0;0.8;0.0;143.1;151253.0;3.8;52049.0;7678.0;-53.3;5.1;91177.0;67083.0;203931.0;4.6;2.6;3.8;-11.5;41.0;0.033
2019.0;4953.0;712.0;2029.0;163.0;161.0;273.0;2634.0;5141.0;12240.0;2438.0;5459.0;6768.0;1835.0;-1059.0;-330.0;395.0;1201.0;4241.0;14.38;554.0;396.0;305.0;178.0;127.0;-147.0;4795.0;;98.0;1651.0;40.96;3.3;-3.0;3.24;8.0;5.5;0.14;0.13;2357.0;;3191.0;24.0;3216.0;892.0;726.0;308.0;5310.0;0.0;173.0;174.0;1256.0;253.0;107.0;7099.0;;297.0;421.0;36.0;33.0;1688.0;1783.0;16.0;74.0;1148.0;3021.0;;202.0;;3918.0;2138.0;-374.0;1086.0;12227.0;14.0;12240.0;;273.0;1651.0;;12.0;160.0;;-46.0;-25.0;-18.0;-261.0;-634.0;-451.0;-12.0;10.0;-54.0;-1251.0;;-99.0;-231.0;1252.0;-51.0;3191.0;2796.0;;0.03;62.88;3.46;15.25;2.93;8.04;85.92;2357.0;0.6;0.0;138.3;148202.0;3.3;49390.0;8155.0;4.8;5.5;80878.0;53349.0;202504.0;3.7;3.1;4.0;15.3;27.5;0.033
2020.0;6291.0;1388.0;2685.0;780.0;802.0;813.0;2495.0;5846.0;13038.0;2828.0;5099.0;7935.0;2339.0;-1427.0;-911.0;-51.0;1330.0;4904.0;22.05;655.0;459.0;385.0;237.0;148.0;-189.0;5559.0;26.0;71.0;1740.0;42.68;12.4;22.0;12.75;60.0;12.93;0.43;0.42;2415.0;;3346.0;552.0;3899.0;1040.0;802.0;105.0;5021.0;0.0;173.0;174.0;1625.0;237.0;136.0;7192.0;;280.0;413.0;81.0;73.0;2063.0;1060.0;16.0;70.0;1125.0;2271.0;;198.0;;4420.0;1901.0;332.0;1282.0;13034.0;4.0;13038.0;;813.0;1740.0;;34.0;102.0;;-36.0;-34.0;68.0;-350.0;-1009.0;-29.0;-695.0;225.0;9.0;-1602.0;60.0;-60.0;-347.0;1039.0;-53.0;3346.0;3398.0;;0.04;73.23;9.47;15.49;4.04;11.74;92.37;2415.0;0.4;0.0;104.0;176821.0;12.4;48908.0;22861.0;7.5;12.9;84825.0;29798.0;223026.0;8.6;7.2;10.3;57.3;26.1;0.036
2021.0;7683.0;2599.0;4019.0;1864.0;2229.0;2012.0;2492.0;8414.0;16752.0;214.0;;10135.0;3259.0;-2242.0;451.0;451.0;1457.0;5084.0;33.82;746.0;467.0;457.0;288.0;169.0;-177.0;5831.0;;67.0;1698.0;52.3;24.26;365.0;29.01;241.0;26.19;0.82;0.81;2444.0;;4784.0;1381.0;6165.0;1312.0;830.0;108.0;5244.0;0.0;131.0;;2617.0;195.0;65.0;;8338.0;;90.0;153.0;124.0;;1599.0;23.0;64.0;1119.0;2805.0;;183.0;;4503.0;3300.0;;2333.0;;16752.0;16752.0;;2012.0;1698.0;;63.0;-148.0;;;;;-366.0;-1802.0;26.0;-1373.0;;-895.0;;;;;451.0;;;3392.0;;0.04;87.17;22.83;16.53;;20.44;114.98;2444.0;0.4;0.0;;213011.0;24.3;47075.0;55780.0;10.8;26.2;227350.0;44340.0;280980.0;-968.5;inf;19.9;100.0;;0.036
