;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (JPY/USD)
2012.0;4455510.0;;2163808.0;1025965.0;1025965.0;502432.0;14157.0;139836324.0;259770955.0;11592380.0;249077923.0;10360730.0;715664.0;-12510686.0;11814916.0;-477.0;369836.0;;;;;1472969.0;1225834.0;247134.0;;;3007275.0;772712.0;370587.0;48.56;23.03;;23.03;518076.0;11.28;34.0;33.91;14140.0;;11265981.0;69698438.0;80964419.0;3752270.0;;55119635.0;1191980.0;427655.0;1082145.0;1509800.0;117232851.0;;;119934630.0;379705585.0;3760720.0;7831660.0;;;;15201085.0;;49507.0;;15250592.0;252736135.0;121716.0;533659.0;1985853.0;582468.0;-430728.0;7689478.0;259438653.0;332301.0;259770955.0;;502432.0;370587.0;233108.0;;-1767983.0;-133033.0;;43969.0;-1832140.0;1377520.0;-345828.0;1566.0;-232568118.0;224747187.0;-4532965.0;-2731947.0;157.0;-22.0;-226405.0;14773133.0;-20371.0;3899427.0;3899904.0;;1.21;261.04;29.44;21.67;13.26;20.26;607.01;14140.0;0.2;0.0;282.2;3691086.0;23.0;307006.0;416231.0;50.5;11.3;106241359.0;12593062.0;8583158.0;0.4;0.7;4.8;54.9;61.2;1.207
2013.0;3892830.0;;2358778.0;1502239.0;1502239.0;1134341.0;14169.0;131829990.0;244623392.0;11023772.0;233013951.0;11255931.0;-2296970.0;-1910071.0;4553317.0;412563.0;-2616167.0;;;;;1366554.0;1094008.0;272546.0;;;2465057.0;590359.0;320001.0;60.59;38.59;;38.59;314077.0;29.14;78.83;78.68;14148.0;;12446740.0;62433557.0;74880297.0;2576486.0;;54373207.0;1123656.0;443451.0;918988.0;1362440.0;110307306.0;;;112793402.0;357416794.0;2374009.0;8649763.0;;;;12725908.0;;134978.0;;12860886.0;234851065.0;94286.0;469068.0;1746443.0;1444679.0;863567.0;6732174.0;244269883.0;353509.0;244623392.0;;1134341.0;320001.0;141170.0;;-3052430.0;-87612.0;;4416.0;-2836267.0;-840051.0;-319198.0;22229.0;-173710276.0;176311752.0;-4533776.0;-3209854.0;23.0;-20.0;-199171.0;7962338.0;66287.0;3840027.0;3427464.0;;1.06;259.33;75.57;-174.28;13.27;21.26;749.84;14148.0;0.1;0.0;215.4;3669020.0;38.6;301603.0;1069124.0;20.9;29.1;113860714.0;11994258.0;10608795.0;0.7;0.8;10.1;82.4;-7.6;1.061
2014.0;3341509.0;;2146556.0;1375841.0;1375841.0;983510.0;14180.0;148162738.0;245696119.0;10404261.0;233345071.0;11821802.0;880891.0;-12012410.0;11114777.0;67778.0;522089.0;;;;;1310277.0;1095211.0;215066.0;;;2334014.0;543357.0;292383.0;64.24;41.17;;41.17;327306.0;29.43;68.01;67.78;14159.0;;23430341.0;50256443.0;73686784.0;3376278.0;;71099676.0;1197817.0;705640.0;1097767.0;1803406.0;94532158.0;;;97533381.0;343229501.0;2156489.0;8247772.0;;;;13810585.0;;245747.0;;14056332.0;236997141.0;64803.0;428218.0;1595425.0;2089889.0;1547099.0;6161171.0;245166872.0;529247.0;245696119.0;;983510.0;292383.0;-7794.0;;915513.0;-92953.0;;97596.0;752521.0;-1302720.0;-358802.0;-216537.0;-129684204.0;135867396.0;-17979065.0;-2461111.0;818.0;-72.0;-209270.0;13784411.0;84519.0;3573386.0;3505608.0;;0.97;243.65;71.72;38.07;15.26;26.16;862.02;14159.0;0.1;0.0;264.5;3449834.0;41.2;301861.0;1015393.0;23.8;29.4;142224320.0;14258295.0;12205040.0;0.6;0.8;8.3;78.7;39.9;0.969
2015.0;3874737.0;;2656155.0;1883209.0;1883209.0;1274357.0;14138.0;147129740.0;233781689.0;11077612.0;221063029.0;12217386.0;1984694.0;-9135058.0;6810917.0;-279646.0;1673717.0;;;;;1216023.0;1009499.0;206524.0;;;2299688.0;551968.0;275501.0;68.55;48.6;;48.6;554328.0;32.89;89.73;89.47;14118.0;;33889536.0;39526263.0;73415800.0;1521324.0;;72192617.0;817489.0;672174.0;965604.0;1637778.0;84196681.0;;;86651949.0;320433638.0;2541377.0;8536234.0;;;;15765028.0;;759409.0;;16524437.0;226509854.0;51109.0;;1739732.0;2850514.0;2752271.0;4874868.0;233280415.0;501274.0;233781689.0;;1274357.0;275501.0;210166.0;;-640334.0;-3247.0;;-41517.0;-523453.0;865004.0;-310977.0;85388.0;-114734499.0;120505930.0;-14991877.0;-2557350.0;2.0;-407890.0;-219661.0;9995816.0;59800.0;2790898.0;3070544.0;;0.83;329.74;108.45;142.43;18.69;26.46;1039.71;14118.0;0.1;0.0;287.6;4655457.0;48.6;331012.0;1531127.0;29.4;32.9;163465251.0;18941521.0;14679065.0;0.8;1.0;10.4;82.8;37.5;0.832
2016.0;4247259.0;;2116399.0;1032683.0;1331207.0;845035.0;13956.0;176489885.0;264952634.0;5437649.0;249509708.0;13737105.0;5999283.0;1989754.0;-93796.0;7792908.0;5689704.0;;;;;1364397.0;1110916.0;253481.0;;;2459644.0;582420.0;280190.0;49.83;24.31;298523.0;31.34;408753.0;19.9;60.85;60.55;13887.0;;43662396.0;36617138.0;80279534.0;1581319.0;;94629031.0;1209766.0;247477.0;866970.0;1114448.0;86138536.0;;;88462749.0;353415383.0;2193481.0;3244168.0;;;;20640939.0;;882917.0;;21523856.0;265595915.0;52655.0;;1902092.0;7627487.0;3199441.0;1008085.0;263246812.0;1705822.0;264952634.0;;845035.0;280190.0;-54131.0;;4410679.0;-39047.0;;92805.0;3205459.0;517511.0;-309579.0;194195.0;-76760376.0;78807288.0;-147495.0;-343698.0;1.0;-177687.0;-223380.0;650968.0;-102333.0;16666057.0;8873149.0;;0.89;344.35;68.51;461.3;18.11;25.1;1113.76;13887.0;0.1;0.0;356.5;4781872.0;24.3;315458.0;951402.0;30.7;19.9;192583017.0;23239067.0;15466229.0;0.5;0.7;6.2;73.6;7.0;0.888
2017.0;3713143.0;;2128571.0;244635.0;1169777.0;831573.0;13568.0;191551423.0;272239776.0;5742197.0;257287201.0;13715934.0;6294926.0;7995416.0;-601923.0;13647591.0;5961488.0;;;;;2558621.0;2312971.0;245651.0;;;1817180.0;690828.0;299034.0;57.33;6.59;925143.0;31.5;307137.0;22.4;61.29;61.29;13568.0;;57020884.0;35087273.0;92108157.0;1680545.0;;97762722.0;1219752.0;240008.0;889060.0;1129069.0;78339532.0;;;80688353.0;352928129.0;1899759.0;3842438.0;;;;33755731.0;;780513.0;;34536244.0;286081249.0;14966.0;;1922222.0;8328423.0;2658136.0;807152.0;271003135.0;1236641.0;272239776.0;;831573.0;299034.0;-190622.0;;5626319.0;44685.0;;59618.0;9474142.0;-271378.0;-333438.0;-17228.0;-50820671.0;59269355.0;-326772.0;-473515.0;1075.0;-616312.0;-221315.0;708144.0;-40828.0;30490028.0;16842437.0;;0.9;304.88;68.28;489.49;18.17;27.38;1126.21;13568.0;0.1;0.0;278.3;4136746.0;6.6;333148.0;926440.0;26.3;22.4;207006714.0;37606652.0;15280675.0;0.5;0.7;6.1;73.4;14.0;0.898
2018.0;4249536.0;;2662585.0;;1325942.0;931076.0;13335.0;216713790.0;288766720.0;6975132.0;272495550.0;15076238.0;6503936.0;-532375.0;-273338.0;5622524.0;6120850.0;;;;;1120813.0;1120813.0;;;;2911763.0;1117876.0;318752.0;62.66;;;31.2;294881.0;21.91;86.93;86.65;13292.0;;70290639.0;37166020.0;107456658.0;2382767.0;;106874364.0;1288872.0;243119.0;929753.0;1172872.0;69591186.0;;;72052930.0;360819650.0;2606919.0;4368212.0;;;;20637417.0;;926710.0;;21564127.0;287084545.0;17606.0;;2014735.0;9468822.0;2957717.0;634964.0;287571788.0;1194932.0;288766720.0;;931076.0;318752.0;113456.0;;5805900.0;-162381.0;;144286.0;5521074.0;-665248.0;-383086.0;-6661.0;-68705837.0;68684217.0;-353741.0;-471834.0;2093.0;-330268.0;-226796.0;753466.0;-75699.0;37579986.0;31957462.0;;0.94;339.83;74.46;489.47;18.14;30.63;1205.62;13292.0;0.1;0.0;287.4;4516939.0;;338810.0;989664.0;22.2;21.9;222936499.0;21936030.0;16024913.0;0.6;0.8;6.2;75.6;9.1;0.941
2019.0;4134846.0;;2902667.0;;1033085.0;787165.0;13101.0;205918987.0;280647291.0;6850303.0;265077259.0;14593902.0;5059593.0;-5076046.0;-436892.0;-457128.0;4673002.0;;;;;1144783.0;1144783.0;;;;3366443.0;1632238.0;306861.0;70.2;;;24.98;176402.0;19.04;60.35;60.08;13042.0;;66934619.0;18989743.0;85924362.0;2611756.0;;117382869.0;1205045.0;214054.0;811096.0;1025149.0;72498109.0;;;74728303.0;355375594.0;2537452.0;4312851.0;;;;20976827.0;;851226.0;;21828054.0;280055009.0;20327.0;;1931645.0;9597871.0;2596962.0;467425.0;279671161.0;976130.0;280647291.0;;787165.0;306861.0;-43112.0;;4097337.0;-122362.0;;83285.0;1463269.0;-88658.0;-386591.0;-998.0;-58723436.0;53978275.0;-201449.0;-198565.0;3735.0;-344477.0;-249204.0;351619.0;-3781.0;66934619.0;67391747.0;;0.9;351.48;66.91;397.23;21.18;32.86;1240.56;13042.0;0.1;0.0;421.1;4584086.0;;340201.0;872689.0;17.1;19.0;220696989.0;23255906.0;16179492.0;0.8;0.9;5.4;68.3;12.6;0.902
2020.0;4626859.0;;3161742.0;;771133.0;491022.0;12977.0;232788199.0;312910411.0;7763402.0;297239631.0;14866734.0;7494163.0;-3131642.0;-233972.0;3838489.0;7079490.0;;;;;1246731.0;1246731.0;;;;3571256.0;1811501.0;653850.0;68.33;;;16.67;205370.0;10.61;38.07;37.84;12897.0;;72828639.0;20822593.0;93651232.0;2521950.0;;136615018.0;1227006.0;263730.0;1129338.0;1393068.0;77502138.0;;;80122212.0;393032623.0;2340063.0;5423339.0;;;;22522406.0;;801171.0;;23323576.0;312799806.0;472287.0;;1990965.0;10092635.0;2341859.0;441276.0;312106366.0;804045.0;312910411.0;;491022.0;653850.0;-56681.0;;5877302.0;;;;3885801.0;528670.0;-414673.0;-925777.0;-84061341.0;82306505.0;-332794.0;-147066.0;2130.0;-353306.0;-283126.0;547396.0;-290059.0;72828639.0;68990150.0;;0.93;385.87;40.95;590.42;23.61;34.58;1239.86;12897.0;0.1;0.0;554.3;4976723.0;;703291.0;528151.0;26.6;10.6;242040225.0;24225455.0;15990894.0;0.6;0.8;3.3;42.3;9.0;0.93
2021.0;4473570.0;;1888609.0;;941063.0;701725.0;12897.0;234685898.0;324640531.0;6083120.0;308640982.0;15174402.0;31522657.0;-9157744.0;-393816.0;22256969.0;31164316.0;;;;;1213757.0;1213757.0;;;;2419123.0;698742.0;321007.0;42.22;;;21.04;167135.0;15.69;54.63;54.41;12844.0;;93001880.0;42552097.0;135553977.0;1645932.0;;97485988.0;1170780.0;246629.0;1050308.0;1296937.0;87486917.0;;;89954634.0;414595165.0;2343240.0;3739880.0;;;;22722065.0;;1002646.0;;23724711.0;326282572.0;448165.0;;1934000.0;10114799.0;2697088.0;428515.0;323815383.0;825148.0;324640531.0;;701725.0;321007.0;240471.0;;31422406.0;;;;22432972.0;-1162953.0;-358341.0;-21457.0;-105430221.0;96911618.0;-496965.0;-363456.0;1935.0;-12.0;-290592.0;258309.0;285871.0;93001880.0;70744911.0;;0.9;385.69;60.5;2686.81;25.05;30.89;1308.25;12844.0;0.1;0.0;458.8;4953571.0;;355450.0;777018.0;17.8;15.7;253131190.0;25160076.0;16802571.0;0.4;0.5;4.6;58.6;0.9;0.903
