;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (INR/USD)
2010.0;;;;;;;6515.0;;;;;;;;;;;;31.5;;;;;;;;;;;23.71;18.94;;20.37;;16.96;;;6477.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.99;7.12;5.92;1.05;1.95;30.28;6477.0;0.9;0.0;17.4;271957.0;18.9;7831.0;46116.0;16.8;17.0;95565.0;18107.0;196112.0;21.1;17.2;23.5;85.2;17.6;
2011.0;;;;;;;6536.0;;;;;;;;;;;;31.47;;;;;;;;;;;23.45;18.57;;20.3;;17.06;;;6497.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.8;8.15;4.34;2.4;1.88;36.89;6497.0;0.7;0.0;44.3;310542.0;18.6;8211.0;52977.0;15.4;17.1;131696.0;19759.0;239680.0;20.2;17.4;22.1;70.6;55.1;
2012.0;;;;;;;6549.0;;;;;;;;;;;;29.25;;;;;;;;;;;22.34;17.21;;18.75;;14.98;;;6531.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56.96;8.53;4.15;2.64;1.99;43.69;6531.0;0.5;0.0;63.9;371971.0;17.2;10129.0;55730.0;19.7;15.0;155803.0;22510.0;285314.0;18.5;16.8;19.5;69.1;63.5;
2013.0;;;;;;;6558.0;;;;;;;;;;;;30.35;;;;;;;;;;;25.38;18.7;;21.0;;17.73;;;6542.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57.21;10.14;9.14;2.61;1.62;43.38;6542.0;0.5;0.0;56.8;374256.0;18.7;10835.0;66359.0;21.5;17.7;162663.0;854.0;283812.0;22.5;19.2;23.4;74.3;28.5;
2014.0;;;;;;;6567.0;;;;;;;;;;;;31.96;;;;;;;;;;;25.92;20.58;;23.26;;17.95;;;6546.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66.34;11.91;9.01;3.56;1.36;52.47;6546.0;0.5;0.0;57.7;434269.0;20.6;11106.0;77967.0;22.4;18.0;218230.0;10909.0;343499.0;21.6;20.2;22.7;70.2;39.4;
2015.0;7513.0;2372.0;1996.0;1527.0;1787.0;1384.0;6567.0;6984.0;9601.0;2624.0;3046.0;6528.0;1252.0;-413.0;-136.0;712.0;1050.0;5141.0;31.58;904.0;;866.0;397.0;469.0;37.0;6044.0;251.0;12.0;205.0;26.57;20.32;260.0;23.79;394.0;18.43;0.21;0.21;6546.0;;2543.0;1474.0;4017.0;2442.0;78.0;448.0;867.0;1089.0;233.0;1322.0;62.0;47.0;318.0;2617.0;;302.0;1059.0;129.0;300.0;964.0;203.0;;52.0;167.0;422.0;;;;79.0;5956.0;;493.0;9574.0;26.0;9601.0;;1384.0;205.0;394.0;18.0;-128.0;-95.0;-41.0;;61.0;-622.0;-203.0;-185.0;-9448.0;9201.0;221.0;-1575.0;16.0;;-472.0;1894.0;9.0;2539.0;1827.0;;0.02;71.73;13.22;10.02;4.51;1.93;62.33;6546.0;0.5;0.0;73.4;469545.0;20.3;12823.0;86528.0;22.0;18.4;272463.0;12707.0;407982.0;20.1;18.7;21.2;65.9;43.4;0.016
2016.0;7738.0;2351.0;1972.0;1465.0;1732.0;1343.0;6565.0;7634.0;10946.0;3300.0;3875.0;7038.0;1191.0;-2086.0;-24.0;-911.0;980.0;5387.0;30.39;945.0;;891.0;400.0;491.0;54.0;6331.0;311.0;21.0;226.0;25.49;18.93;267.0;22.39;382.0;17.35;0.2;0.2;6551.0;;1496.0;3056.0;4552.0;2544.0;81.0;457.0;981.0;1540.0;368.0;1908.0;74.0;57.0;292.0;3312.0;;354.0;1629.0;106.0;307.0;1010.0;262.0;;77.0;235.0;575.0;;;;75.0;6429.0;;535.0;10913.0;34.0;10946.0;;1343.0;226.0;382.0;23.0;-93.0;-83.0;-8.0;;19.0;-690.0;-211.0;-595.0;-14118.0;12543.0;294.0;-2073.0;0.0;;-536.0;2585.0;8.0;1486.0;2397.0;;0.02;78.23;13.57;9.91;5.42;2.13;71.15;6551.0;0.4;0.0;98.2;512440.0;18.9;14967.0;88922.0;22.1;17.4;287030.0;17361.0;466078.0;17.9;16.0;19.1;60.1;54.7;0.015
2017.0;8449.0;2438.0;2074.0;1441.0;1694.0;1303.0;6495.0;8272.0;12180.0;3523.0;4157.0;7987.0;1424.0;-1785.0;-349.0;-732.0;1104.0;6010.0;28.86;1055.0;;985.0;449.0;536.0;70.0;7066.0;266.0;29.0;355.0;24.55;17.06;253.0;20.05;387.0;15.42;0.2;0.2;6476.0;;809.0;4483.0;5292.0;2397.0;60.0;524.0;1071.0;1931.0;406.0;2337.0;109.0;48.0;344.0;3908.0;;360.0;1885.0;124.0;285.0;994.0;301.0;;102.0;231.0;634.0;;;;75.0;7536.0;;376.0;12144.0;37.0;12180.0;;1303.0;355.0;387.0;27.0;70.0;51.0;23.0;;-45.0;-717.0;-320.0;-449.0;-12486.0;11202.0;268.0;-1732.0;;-384.0;-134.0;1900.0;-22.0;779.0;1510.0;;0.02;84.99;13.11;11.11;1.35;3.22;80.34;6476.0;0.4;0.0;25.6;550402.0;17.1;23107.0;84895.0;22.8;15.4;309355.0;19611.0;520304.0;15.4;14.2;16.3;89.7;46.9;0.015
2018.0;8375.0;2448.0;1953.0;1296.0;1575.0;1231.0;6344.0;7780.0;11691.0;3282.0;4231.0;7423.0;1295.0;547.0;-1998.0;-151.0;959.0;5926.0;29.24;1176.0;;1106.0;525.0;582.0;69.0;7102.0;274.0;53.0;325.0;23.32;15.47;279.0;18.81;344.0;14.7;0.19;0.19;6333.0;;690.0;3877.0;4568.0;2365.0;52.0;795.0;990.0;1807.0;395.0;2203.0;136.0;106.0;476.0;3911.0;;375.0;1429.0;145.0;293.0;1185.0;696.0;;47.0;207.0;950.0;;;;139.0;6967.0;;317.0;11654.0;37.0;11691.0;;1231.0;325.0;344.0;21.0;-14.0;-150.0;8.0;;27.0;-611.0;-336.0;-102.0;-12027.0;12764.0;248.0;-2386.0;0.0;-1695.0;-83.0;2167.0;6.0;629.0;780.0;;0.02;86.03;12.64;9.85;0.86;3.45;76.25;6333.0;0.4;0.0;16.6;544871.0;15.5;21124.0;80081.0;21.8;14.7;292649.0;45268.0;482936.0;15.2;14.0;16.6;93.2;185.5;0.015
2019.0;8436.0;2488.0;2021.0;1439.0;1662.0;1296.0;6022.0;8235.0;11998.0;3087.0;3779.0;8181.0;1675.0;722.0;-711.0;1693.0;1347.0;5948.0;29.5;1096.0;;1091.0;518.0;573.0;5.0;7044.0;292.0;81.0;280.0;23.96;17.05;223.0;19.7;363.0;15.37;0.22;0.22;6007.0;;2283.0;3313.0;5596.0;2172.0;57.0;410.0;1017.0;1685.0;289.0;1974.0;129.0;81.0;563.0;3762.0;;411.0;1024.0;137.0;376.0;1276.0;408.0;;49.0;234.0;692.0;;;;174.0;7700.0;;307.0;11960.0;38.0;11998.0;;1296.0;280.0;363.0;28.0;391.0;20.0;-8.0;;113.0;-684.0;-328.0;376.0;-13401.0;13751.0;323.0;-1498.0;0.0;;-78.0;865.0;8.0;2283.0;589.0;;0.01;97.52;14.99;15.57;0.9;3.79;94.57;6007.0;0.3;0.0;20.8;585845.0;17.1;19474.0;90031.0;21.9;15.4;357556.0;28368.0;568116.0;15.3;14.6;15.8;94.0;5.8;0.014
2020.0;8098.0;2311.0;1964.0;1403.0;1626.0;1290.0;5848.0;6898.0;10842.0;2872.0;3420.0;7397.0;1336.0;451.0;-2004.0;-191.0;1024.0;5787.0;28.54;950.0;;918.0;396.0;522.0;32.0;6737.0;289.0;68.0;277.0;24.26;17.33;223.0;20.08;329.0;15.93;0.22;0.22;5833.0;;1918.0;2530.0;4448.0;2180.0;25.0;246.0;1299.0;1739.0;277.0;2016.0;152.0;80.0;397.0;3944.0;;359.0;1058.0;156.0;269.0;1186.0;232.0;;37.0;279.0;549.0;;255.0;;152.0;6899.0;330.0;17.0;10818.0;25.0;10842.0;;1290.0;277.0;329.0;17.0;-317.0;-44.0;28.0;;-87.0;-261.0;-312.0;-34.0;-15635.0;16094.0;338.0;-1847.0;0.0;-1397.0;-91.0;1331.0;26.0;1912.0;2104.0;;0.01;104.61;16.67;13.22;1.18;4.03;95.56;5833.0;0.2;0.0;29.4;610232.0;17.3;20862.0;97218.0;20.2;15.9;303458.0;17478.0;557458.0;16.9;15.6;17.4;92.9;145.4;0.013
2021.0;8468.0;2682.0;2327.0;1682.0;1900.0;1476.0;5662.0;7152.0;11366.0;3145.0;3784.0;7561.0;2017.0;106.0;-1761.0;349.0;1749.0;5785.0;31.68;1041.0;;1040.0;474.0;566.0;1.0;6826.0;252.0;59.0;378.0;27.48;19.87;218.0;22.44;415.0;17.43;0.26;0.26;5649.0;;2321.0;2410.0;4731.0;2103.0;15.0;302.0;1389.0;1902.0;226.0;2127.0;180.0;23.0;494.0;4214.0;;318.0;1142.0;237.0;320.0;1365.0;287.0;2.0;63.0;288.0;640.0;;290.0;;150.0;6380.0;563.0;469.0;11345.0;20.0;11366.0;;1476.0;378.0;415.0;32.0;313.0;176.0;11.0;;51.0;-596.0;-268.0;-135.0;-16025.0;16254.0;279.0;-1447.0;0.0;-1595.0;-75.0;1355.0;-12.0;2319.0;1970.0;;0.01;109.65;19.11;22.65;0.97;3.47;97.91;5649.0;0.4;0.0;12.2;619430.0;19.9;27656.0;107946.0;21.8;17.4;293146.0;20971.0;553095.0;18.6;17.2;19.5;94.9;95.4;0.014
2022.0;10417.0;3096.0;2468.0;1848.0;1992.0;1609.0;60.0;8175.0;14213.0;4061.0;5538.0;8668.0;1459.0;-2957.0;614.0;-867.0;1194.0;7321.0;29.72;1306.0;;1334.0;611.0;723.0;-29.0;8626.0;173.0;70.0;407.0;23.69;17.74;145.0;19.13;381.0;15.45;27.7;26.79;58.0;;1368.0;3259.0;4626.0;2832.0;18.0;699.0;1446.0;3253.0;574.0;3826.0;267.0;30.0;468.0;6038.0;;1304.0;1373.0;174.0;397.0;986.0;943.0;;160.0;374.0;1477.0;;319.0;;144.0;7260.0;620.0;644.0;14206.0;7.0;14213.0;;1611.0;407.0;381.0;54.0;-481.0;-156.0;-3.0;128.0;50.0;-514.0;-265.0;-1688.0;-13374.0;12561.0;-190.0;-2654.0;0.0;;-72.0;3340.0;17.0;1367.0;2234.0;;0.01;13611.92;2102.9;1559.98;94.09;346.83;11326.85;58.0;0.0;0.0;1273.2;790934.0;17.7;30911.0;122191.0;19.1;15.4;312423.0;71640.0;658158.0;16.4;14.5;18.6;95.5;6.0;0.013
