;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (DKK/USD)
1995.0;2464.0;1776.0;592.0;337.0;387.0;281.0;3757.0;1731.0;3620.0;707.0;1029.0;2589.0;455.0;-182.0;-241.0;;186.0;688.0;72.07;1440.0;;;;;1440.0;2128.0;;;205.0;24.01;13.66;51.0;15.71;106.0;11.39;0.07;0.07;3757.0;;539.0;;539.0;784.0;408.0;;1819.0;;28.0;28.0;;;42.0;1889.0;;489.0;130.0;;;88.0;237.0;;;84.0;321.0;;;;;1979.0;-1063.0;1674.0;3618.0;2.0;3620.0;;281.0;205.0;106.0;;10.0;;19.0;;;-147.0;-269.0;;;;87.0;;;;-33.0;-208.0;-19.0;;527.0;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;2528.0;1821.0;610.0;336.0;429.0;306.0;3736.0;1654.0;3570.0;623.0;852.0;2716.0;326.0;-338.0;-211.0;;-21.0;707.0;72.04;1485.0;;;;;1485.0;2192.0;;;181.0;24.13;13.29;93.0;16.97;123.0;12.09;0.08;0.08;3736.0;;267.0;;267.0;962.0;426.0;;1833.0;;37.0;37.0;;;45.0;1915.0;;133.0;20.0;;;470.0;160.0;;;68.0;229.0;;;;;2139.0;-1032.0;1609.0;3568.0;1.0;3570.0;;306.0;181.0;;;-136.0;;-39.0;;;-25.0;-347.0;;;;9.0;;;;-32.0;-179.0;-21.0;;510.0;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;2478.0;1789.0;629.0;341.0;463.0;324.0;3769.0;1874.0;3748.0;775.0;1096.0;2644.0;442.0;-481.0;65.0;;62.0;689.0;72.2;1449.0;404.0;;;;1044.0;2137.0;;;167.0;25.4;13.74;122.0;18.67;139.0;13.07;0.09;0.09;3769.0;;164.0;;164.0;696.0;396.0;618.0;1799.0;;37.0;37.0;;;37.0;1874.0;;85.0;196.0;;;495.0;257.0;;;63.0;321.0;;;;;2129.0;-1800.0;2314.0;3739.0;8.0;3748.0;;324.0;167.0;-21.0;;-35.0;;-17.0;;;7.0;-381.0;;;;-100.0;;;;-41.0;106.0;4.0;;133.0;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;2803.0;2116.0;816.0;323.0;586.0;377.0;3708.0;2044.0;4279.0;859.0;1456.0;2812.0;544.0;-335.0;-356.0;-147.0;209.0;687.0;75.5;1793.0;532.0;;;;1261.0;2479.0;;;230.0;29.11;11.54;263.0;20.91;209.0;13.45;0.1;0.1;3708.0;;125.0;;125.0;893.0;726.0;300.0;2164.0;;37.0;37.0;;;33.0;2234.0;;120.0;144.0;;;594.0;287.0;;243.0;67.0;598.0;;;;118.0;2263.0;-1212.0;1644.0;4269.0;10.0;4279.0;;377.0;230.0;;;-37.0;;-24.0;;;-26.0;-335.0;;;;-0.0;;5.0;-308.0;-67.0;15.0;;290.0;436.0;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;2834.0;2151.0;728.0;489.0;535.0;326.0;3575.0;2156.0;4200.0;888.0;1679.0;2511.0;491.0;-252.0;-26.0;212.0;230.0;683.0;75.89;1661.0;454.0;;;;1207.0;2345.0;;;193.0;25.7;17.26;46.0;18.88;209.0;11.51;0.09;0.09;3575.0;;267.0;;267.0;883.0;661.0;344.0;1990.0;;24.0;24.0;;;31.0;2045.0;;136.0;155.0;;;597.0;505.0;;215.0;71.0;791.0;;;;102.0;1988.0;-1197.0;1618.0;4190.0;10.0;4200.0;;326.0;193.0;;;-23.0;;-26.0;;;-5.0;-261.0;;;;9.0;;1.0;-196.0;-76.0;245.0;;463.0;251.0;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;2631.0;2077.0;743.0;536.0;612.0;390.0;3492.0;1584.0;3110.0;811.0;1119.0;1990.0;665.0;-321.0;-272.0;73.0;366.0;554.0;78.96;1541.0;408.0;;;;1134.0;2095.0;;;131.0;28.25;20.39;76.0;23.28;222.0;14.84;0.11;0.11;3492.0;;161.0;;161.0;595.0;502.0;325.0;1378.0;;4.0;4.0;;;144.0;1526.0;;124.0;103.0;;;584.0;120.0;;123.0;66.0;308.0;;;;95.0;1561.0;-742.0;1076.0;3110.0;;3110.0;;390.0;131.0;;;116.0;;-48.0;;;28.0;-299.0;;;;-22.0;;24.0;-312.0;-87.0;103.0;;388.0;315.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;2841.0;2127.0;850.0;671.0;721.0;461.0;3468.0;1656.0;3454.0;718.0;1048.0;2406.0;516.0;-494.0;-113.0;-94.0;45.0;715.0;74.85;1456.0;474.0;;;;982.0;2171.0;;;129.0;29.9;23.6;50.0;25.36;259.0;16.24;0.13;0.13;3443.0;;198.0;167.0;365.0;723.0;568.0;;1628.0;;2.0;2.0;;;167.0;1797.0;;116.0;99.0;;;502.0;103.0;;162.0;65.0;330.0;;;;85.0;1967.0;-771.0;1125.0;3454.0;;3454.0;;461.0;129.0;;;-174.0;;-101.0;;;100.0;-471.0;;-36.0;2.0;11.0;;4.0;-3.0;-109.0;-5.0;-3.0;273.0;367.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;3557.0;2620.0;1078.0;845.0;890.0;578.0;3491.0;1945.0;4447.0;843.0;1210.0;3238.0;690.0;-619.0;-215.0;-149.0;131.0;937.0;73.66;1775.0;584.0;;;;1191.0;2712.0;;;188.0;30.3;23.75;45.0;25.01;311.0;16.26;0.17;0.17;3464.0;;201.0;45.0;246.0;665.0;836.0;198.0;2288.0;;34.0;34.0;;;181.0;2503.0;;122.0;80.0;;;641.0;116.0;;158.0;93.0;367.0;;;;100.0;2690.0;86.0;361.0;4447.0;;4447.0;;578.0;188.0;;;-101.0;;-160.0;;;24.0;-558.0;;;;-61.0;;6.0;-54.0;-164.0;-3.0;-3.0;174.0;323.0;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;4495.0;3235.0;1525.0;1082.0;1280.0;823.0;3440.0;2753.0;5825.0;1122.0;1553.0;4272.0;1044.0;-391.0;-405.0;244.0;619.0;1260.0;71.96;2154.0;710.0;;;;1444.0;3414.0;;;275.0;33.93;24.06;199.0;28.48;427.0;18.31;0.24;0.24;3416.0;;214.0;310.0;523.0;741.0;1107.0;382.0;2850.0;;37.0;37.0;;;185.0;3072.0;;171.0;165.0;;;787.0;128.0;;197.0;106.0;430.0;;;;120.0;3572.0;146.0;434.0;5825.0;;5825.0;;823.0;275.0;;;-215.0;;-97.0;;;161.0;-424.0;;;;33.0;;3.0;-275.0;-211.0;77.0;-3.0;452.0;209.0;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;5329.0;3852.0;1716.0;1282.0;1369.0;920.0;3395.0;3258.0;6872.0;1337.0;2007.0;4865.0;1394.0;-367.0;-633.0;390.0;817.0;1478.0;72.27;2570.0;799.0;;;;1771.0;4048.0;;;347.0;32.19;24.05;87.0;25.68;448.0;17.27;0.27;0.27;3381.0;;630.0;97.0;727.0;833.0;1315.0;383.0;3223.0;;58.0;58.0;;141.0;191.0;3614.0;;195.0;93.0;;;1048.0;218.0;;340.0;112.0;670.0;;;;130.0;4162.0;111.0;462.0;6872.0;;6872.0;;920.0;347.0;;;20.0;;-114.0;;;106.0;-576.0;;;240.0;-31.0;;16.0;-364.0;-273.0;-12.0;-3.0;544.0;154.0;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;5350.0;3896.0;1611.0;1282.0;1305.0;929.0;3295.0;3099.0;6649.0;1677.0;2270.0;4379.0;1381.0;-778.0;-703.0;-76.0;762.0;1455.0;72.81;2614.0;805.0;;;;1809.0;4069.0;;;306.0;30.1;23.95;23.0;24.38;375.0;17.37;0.28;0.28;3284.0;;523.0;273.0;796.0;971.0;1234.0;98.0;3160.0;;77.0;77.0;;139.0;173.0;3550.0;;238.0;229.0;;;1210.0;198.0;;292.0;103.0;593.0;;;;112.0;4273.0;4.0;-10.0;6649.0;;6649.0;;929.0;306.0;;;-62.0;;-98.0;;;207.0;-618.0;;-163.0;;3.0;;33.0;-478.0;-252.0;-6.0;24.0;393.0;469.0;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;6855.0;5159.0;2000.0;1613.0;1621.0;1142.0;3230.0;3686.0;7907.0;1797.0;2577.0;5330.0;1369.0;-446.0;-842.0;89.0;783.0;1696.0;75.26;3546.0;1118.0;;;;2428.0;5242.0;;;379.0;29.18;23.53;8.0;23.65;480.0;16.65;0.36;0.35;3212.0;;579.0;324.0;903.0;1150.0;1485.0;149.0;3601.0;3.0;110.0;113.0;;338.0;169.0;4220.0;;303.0;60.0;;;1434.0;208.0;;354.0;218.0;780.0;;;;119.0;5097.0;120.0;-6.0;7907.0;;7907.0;;1142.0;379.0;;;-182.0;;-121.0;;;31.0;-587.0;;;91.0;50.0;;37.0;-531.0;-344.0;-4.0;7.0;528.0;439.0;;0.18;12.07;2.01;1.38;0.61;1.03;9.38;3212.0;3.3;0.2;9.0;38752.0;23.5;2142.0;6453.0;29.6;16.7;10680.0;1175.0;30129.0;18.7;20.5;21.4;69.9;107.0;0.177
2007.0;8202.0;6282.0;2742.0;1753.0;2151.0;1671.0;3178.0;4764.0;9358.0;2087.0;3049.0;6309.0;1958.0;-297.0;-1340.0;320.0;1482.0;1920.0;76.6;4528.0;1674.0;;;;2854.0;6448.0;;;590.0;33.43;21.38;398.0;26.22;481.0;20.38;0.53;0.53;3155.0;;945.0;501.0;1446.0;1432.0;1768.0;118.0;3844.0;13.0;118.0;131.0;;495.0;124.0;4594.0;;382.0;79.0;;;1626.0;188.0;;460.0;314.0;962.0;;;;127.0;6011.0;176.0;-5.0;9358.0;;9358.0;;1671.0;590.0;;;-201.0;;-121.0;;;-102.0;-476.0;;-106.0;;284.0;;47.0;-948.0;-436.0;-3.0;-1.0;905.0;585.0;;0.2;13.28;2.71;2.4;0.71;0.77;10.21;3155.0;3.9;0.2;6.7;41889.0;21.4;3012.0;8535.0;22.3;20.4;13675.0;961.0;32223.0;23.0;23.0;26.5;73.9;90.2;0.196
2008.0;8585.0;6681.0;2853.0;2332.0;2392.0;1817.0;3113.0;5478.0;9537.0;2442.0;3322.0;6215.0;2425.0;-260.0;-1389.0;774.0;2040.0;1905.0;77.81;4347.0;1480.0;;;;2867.0;6252.0;;;461.0;33.23;27.16;60.0;27.87;575.0;21.17;0.59;0.58;3089.0;;1655.0;259.0;1915.0;1640.0;1811.0;112.0;3513.0;;149.0;149.0;;320.0;77.0;4059.0;;429.0;251.0;;;1761.0;185.0;;454.0;241.0;880.0;;;;120.0;6300.0;-200.0;-5.0;9537.0;;9537.0;;1817.0;461.0;;;-106.0;;-123.0;;;252.0;-384.0;;;87.0;36.0;;55.0;-889.0;-527.0;-28.0;;1644.0;870.0;;0.19;14.78;3.13;3.51;0.91;0.66;10.7;3089.0;3.9;0.2;7.5;45666.0;27.2;2450.0;9666.0;24.0;21.2;16149.0;984.0;33058.0;25.6;25.1;29.2;71.0;66.7;0.188
2009.0;9833.0;7823.0;3427.0;2875.0;2693.0;2073.0;3021.0;6288.0;10538.0;2582.0;3659.0;6879.0;2960.0;-586.0;-1934.0;444.0;2370.0;2009.0;79.56;5014.0;1514.0;3500.0;532.0;2968.0;;7024.0;72.0;244.0;491.0;34.86;29.24;-182.0;27.39;620.0;21.08;0.69;0.69;2996.0;;2174.0;295.0;2469.0;1513.0;1928.0;378.0;3701.0;;200.0;200.0;34.0;280.0;35.0;4250.0;;432.0;80.0;135.0;;2070.0;187.0;;579.0;311.0;1077.0;;;;119.0;6766.0;;-6.0;10538.0;;10538.0;;2073.0;491.0;;;-43.0;-142.0;-78.0;177.0;;439.0;-590.0;;;;-80.0;;;-1254.0;;-680.0;4.0;2124.0;1680.0;;0.19;17.05;3.59;4.11;;1.02;11.93;2996.0;3.1;0.0;;51078.0;29.2;2551.0;10768.0;23.0;21.1;19251.0;970.0;35734.0;28.4;27.9;30.1;100.0;52.9;0.193
2010.0;10903.0;8808.0;4092.0;3389.0;3281.0;2584.0;2927.0;6690.0;11016.0;3315.0;4384.0;6632.0;3530.0;-1001.0;-2372.0;166.0;2831.0;2095.0;80.78;5301.0;1723.0;3814.0;550.0;3264.0;-236.0;7396.0;69.0;369.0;443.0;37.53;31.08;-109.0;30.09;697.0;23.7;0.89;0.88;2903.0;;2156.0;724.0;2880.0;1642.0;1738.0;431.0;3679.0;13.0;249.0;262.0;8.0;331.0;46.0;4325.0;;521.0;309.0;225.0;;2485.0;90.0;;514.0;465.0;1069.0;;;;108.0;6476.0;-3177.0;3225.0;11016.0;;11016.0;;2584.0;443.0;;;53.0;-337.0;59.0;324.0;8.0;451.0;-699.0;;-523.0;;127.0;;122.0;-1704.0;-789.0;;8.0;2146.0;1979.0;;0.18;20.94;4.96;5.44;1.52;1.34;12.73;2903.0;3.4;0.2;8.9;60776.0;31.1;2467.0;14403.0;21.2;23.7;18817.0;504.0;36965.0;37.3;33.1;39.0;69.5;83.8;0.179
2011.0;11544.0;9354.0;3982.0;3893.0;3815.0;2975.0;2851.0;6889.0;11257.0;3616.0;4742.0;6516.0;3719.0;-602.0;-2924.0;191.0;3139.0;2190.0;81.03;5547.0;1675.0;3871.0;565.0;3307.0;;7737.0;89.0;167.0;;34.49;33.72;-78.0;33.05;840.0;25.77;1.05;1.04;2827.0;;2333.0;712.0;3045.0;2194.0;1641.0;8.0;3642.0;;259.0;259.0;7.0;420.0;41.0;4369.0;;573.0;61.0;204.0;;2982.0;87.0;;558.0;481.0;1126.0;;;;101.0;6457.0;-3377.0;3335.0;11257.0;;11257.0;;2975.0;;;;76.0;-148.0;45.0;67.0;107.0;669.0;-580.0;;;;-67.0;-88.0;;-1844.0;-992.0;;-3.0;2272.0;2081.0;;0.17;23.47;6.05;6.38;2.02;1.18;13.25;2827.0;3.8;0.2;8.7;66346.0;33.7;;17097.0;22.0;25.8;18812.0;502.0;37448.0;40.6;35.4;45.7;66.7;90.3;0.174
2012.0;13795.0;11414.0;5709.0;5211.0;4917.0;3789.0;2758.0;7101.0;11610.0;3826.0;4427.0;7184.0;3927.0;-720.0;-3561.0;-354.0;3287.0;2381.0;82.74;6203.0;1927.0;4395.0;586.0;3809.0;-118.0;8584.0;22.0;316.0;476.0;41.39;37.77;-294.0;35.64;1128.0;27.47;1.38;1.37;2742.0;;2043.0;805.0;2847.0;2402.0;1687.0;165.0;3808.0;;264.0;264.0;40.0;397.0;;4509.0;;682.0;88.0;229.0;;3055.0;;;129.0;472.0;601.0;;;;99.0;6895.0;192.0;-3.0;11610.0;;11610.0;;3789.0;476.0;1128.0;54.0;48.0;-51.0;-19.0;100.0;-2.0;-1569.0;-640.0;;-89.0;;-35.0;-89.0;;-2103.0;-1369.0;;-1.0;1954.0;2308.0;;0.18;28.46;7.82;6.78;2.82;1.32;14.82;2742.0;3.7;0.3;9.6;78026.0;37.8;2693.0;21432.0;22.9;27.5;18525.0;;40632.0;51.8;45.1;52.7;63.9;105.6;0.177
2013.0;15386.0;12782.0;6516.0;5798.0;5990.0;4636.0;2694.0;7743.0;12949.0;4460.0;5112.0;7837.0;4776.0;-511.0;-4352.0;-99.0;4105.0;2603.0;83.08;6985.0;2160.0;4950.0;646.0;4304.0;-126.0;9588.0;10.0;10.0;515.0;42.35;37.68;193.0;38.94;1354.0;30.13;1.73;1.72;2679.0;;1975.0;689.0;2664.0;2794.0;1759.0;527.0;4028.0;;297.0;297.0;101.0;779.0;;5206.0;;753.0;40.0;549.0;;3667.0;;;124.0;529.0;652.0;;;;101.0;7573.0;166.0;-4.0;12949.0;;12949.0;;4636.0;515.0;1354.0;75.0;-49.0;-233.0;-2.0;43.0;23.0;-1756.0;-671.0;;;155.0;-69.0;;;-2563.0;-1789.0;;-13.0;1935.0;2035.0;;0.18;31.19;9.4;8.32;3.63;1.36;15.89;2679.0;3.6;0.2;10.6;83572.0;37.7;2799.0;25184.0;22.6;30.1;17833.0;;42569.0;54.7;46.3;59.2;61.4;106.0;0.184
2014.0;14431.0;12065.0;6105.0;5605.0;5541.0;4303.0;2630.0;7523.0;12523.0;5474.0;5975.0;6548.0;5150.0;-335.0;-4312.0;514.0;4446.0;2366.0;83.6;6460.0;2236.0;4349.0;575.0;3774.0;-125.0;8826.0;16.0;6.0;558.0;42.31;38.84;-64.0;38.39;1237.0;29.82;1.64;1.64;2622.0;;2339.0;245.0;2585.0;2848.0;1846.0;244.0;3760.0;;224.0;224.0;139.0;877.0;;5000.0;;804.0;117.0;571.0;;4553.0;;;1.0;499.0;500.0;;;;86.0;6708.0;-244.0;-2.0;12523.0;;12523.0;;4303.0;558.0;1237.0;60.0;-349.0;-347.0;-293.0;139.0;-71.0;-660.0;-704.0;;;368.0;-55.0;;;-2383.0;-1928.0;;11.0;2222.0;1708.0;;0.16;33.87;10.1;10.43;4.53;1.65;15.37;2622.0;4.4;0.2;10.2;88806.0;38.8;3435.0;26481.0;22.3;29.8;12604.0;;40294.0;61.1;44.3;65.7;55.2;97.0;0.163
2015.0;15703.0;13348.0;6767.0;7194.0;6327.0;5072.0;2578.0;8023.0;13357.0;5947.0;6523.0;6834.0;5571.0;-887.0;-4380.0;316.0;4639.0;2355.0;85.0;6154.0;1980.0;4681.0;561.0;4119.0;-507.0;8509.0;8.0;10.0;431.0;43.09;45.81;-867.0;40.29;1255.0;32.3;1.97;1.97;2571.0;;2462.0;515.0;2978.0;3145.0;1856.0;44.0;3717.0;;314.0;314.0;313.0;990.0;;5334.0;;717.0;156.0;680.0;;5074.0;;;1.0;575.0;576.0;;;;76.0;6812.0;-52.0;-1.0;13357.0;;13357.0;;5072.0;431.0;1255.0;64.0;-314.0;-356.0;-204.0;-3.0;-26.0;-937.0;-932.0;;-515.0;223.0;165.0;;;-2502.0;-1878.0;;13.0;2306.0;1990.0;;0.15;41.98;13.56;12.4;5.02;2.49;18.27;2571.0;3.9;0.2;9.4;107927.0;45.8;2959.0;34860.0;19.8;32.3;14267.0;;46969.0;68.6;47.4;74.2;63.0;94.4;0.145
