;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (TWD/USD)
2009.0;2685.0;568.0;857.0;282.0;263.0;211.0;1820.0;1922.0;5073.0;1082.0;2734.0;2242.0;486.0;-500.0;-87.0;-112.0;127.0;2117.0;21.16;286.0;113.0;173.0;135.0;38.0;;2403.0;5.0;47.0;552.0;31.92;10.51;-20.0;9.78;46.0;7.86;0.12;0.12;1799.0;;706.0;157.0;863.0;596.0;155.0;308.0;2484.0;295.0;86.0;381.0;162.0;51.0;73.0;3150.0;;280.0;437.0;37.0;;365.0;1536.0;;6.0;110.0;1652.0;;0.0;;1715.0;414.0;96.0;17.0;4976.0;97.0;5073.0;;211.0;552.0;7.0;;-301.0;-203.0;-47.0;119.0;32.0;16.0;-358.0;;-1347.0;1234.0;-29.0;-1045.0;;-41.0;-81.0;1080.0;-11.0;706.0;818.0;;0.03;47.68;3.75;2.26;1.43;6.36;39.81;1799.0;0.8;0.0;45.6;85775.0;10.5;17638.0;6745.0;17.7;7.9;26839.0;49080.0;71616.0;6.4;6.1;9.4;61.8;95.6;0.031
2010.0;6470.0;1390.0;1481.0;826.0;782.0;629.0;1916.0;2934.0;7135.0;2048.0;3987.0;3036.0;1267.0;-1237.0;58.0;29.0;90.0;5080.0;21.48;564.0;211.0;353.0;253.0;100.0;;5644.0;7.0;48.0;681.0;22.89;12.77;-44.0;12.09;124.0;9.72;0.33;0.33;1879.0;;802.0;58.0;860.0;1181.0;799.0;94.0;3423.0;357.0;166.0;523.0;82.0;71.0;102.0;4201.0;;836.0;589.0;94.0;;623.0;1795.0;;13.0;131.0;1939.0;;1.0;;2075.0;856.0;-44.0;149.0;7022.0;113.0;7135.0;;629.0;681.0;2.0;11.0;-91.0;-43.0;-74.0;57.0;-39.0;36.0;-1177.0;-212.0;-573.0;717.0;0.0;-977.0;;-41.0;-67.0;1143.0;-60.0;802.0;773.0;;0.03;100.43;9.76;1.4;1.03;18.27;47.12;1879.0;0.4;0.0;23.6;188743.0;12.8;19854.0;18338.0;15.9;9.7;25864.0;52375.0;88556.0;13.5;11.4;20.7;89.4;119.1;0.034
2011.0;6116.0;1155.0;1365.0;555.0;561.0;453.0;1956.0;2974.0;7388.0;2203.0;4013.0;3339.0;1054.0;-1057.0;-11.0;34.0;45.0;4961.0;18.89;600.0;235.0;365.0;274.0;91.0;;5561.0;11.0;55.0;757.0;22.31;9.08;6.0;9.17;100.0;7.41;0.24;0.23;1908.0;;806.0;28.0;834.0;1029.0;459.0;653.0;3689.0;342.0;178.0;520.0;73.0;48.0;83.0;4414.0;;699.0;872.0;79.0;;632.0;1656.0;;21.0;133.0;1810.0;;2.0;;2230.0;918.0;103.0;88.0;7351.0;37.0;7388.0;;453.0;757.0;15.0;18.0;-244.0;25.0;-168.0;-106.0;5.0;55.0;-1009.0;-70.0;-69.0;78.0;-26.0;291.0;;-91.0;-127.0;-83.0;48.0;806.0;772.0;;0.03;97.14;7.19;0.71;2.02;16.03;53.02;1908.0;0.7;0.0;38.4;185347.0;9.1;22945.0;13726.0;17.8;7.4;23370.0;50167.0;101170.0;9.7;8.3;13.6;71.9;487.6;0.033
2012.0;6671.0;1259.0;1429.0;611.0;571.0;450.0;1894.0;3372.0;8477.0;2913.0;4610.0;3766.0;998.0;-1379.0;291.0;-143.0;-384.0;5411.0;18.88;649.0;271.0;378.0;283.0;95.0;;6060.0;11.0;69.0;805.0;21.42;9.16;-40.0;8.55;105.0;6.75;0.24;0.24;1860.0;;697.0;143.0;840.0;1299.0;1103.0;129.0;4504.0;354.0;60.0;415.0;81.0;63.0;42.0;5106.0;;833.0;1379.0;96.0;6.0;695.0;1534.0;;33.0;131.0;1697.0;;2.0;;2615.0;927.0;-11.0;234.0;8376.0;101.0;8477.0;;450.0;805.0;20.0;15.0;-311.0;-230.0;-85.0;103.0;4.0;18.0;-1382.0;-9.0;-31.0;30.0;-17.0;-652.0;;;-146.0;1089.0;-53.0;697.0;840.0;;0.03;104.31;7.04;-6.01;2.28;21.62;58.89;1860.0;0.6;0.0;52.4;193972.0;9.2;23414.0;13091.0;18.3;6.7;13339.0;44592.0;109515.0;9.3;7.4;12.0;67.6;-37.9;0.034
2013.0;7368.0;1435.0;1564.0;694.0;649.0;516.0;1937.0;4429.0;9608.0;3420.0;5394.0;4075.0;1384.0;-1003.0;429.0;839.0;397.0;5933.0;19.48;690.0;304.0;392.0;292.0;100.0;-6.0;6623.0;7.0;77.0;854.0;21.23;9.42;-45.0;8.81;117.0;7.01;0.29;0.28;1877.0;;1509.0;182.0;1690.0;1468.0;1169.0;102.0;4406.0;347.0;54.0;401.0;90.0;123.0;158.0;5179.0;;971.0;1696.0;;1.0;751.0;1681.0;;89.0;204.0;1974.0;;;;2620.0;844.0;415.0;196.0;9470.0;138.0;9608.0;;516.0;854.0;;9.0;-114.0;-193.0;-109.0;158.0;-6.0;120.0;-987.0;-8.0;-1900.0;1884.0;-2.0;-1052.0;114.0;;-263.0;1629.0;29.0;1509.0;670.0;;0.03;117.11;8.21;6.31;4.17;15.69;64.78;1877.0;0.5;0.0;95.3;219862.0;9.4;25471.0;15405.0;18.1;7.0;30117.0;50163.0;121616.0;9.6;7.5;12.7;49.1;37.5;0.034
2014.0;8108.0;1693.0;1789.0;944.0;902.0;702.0;2055.0;5055.0;10546.0;3592.0;5626.0;4660.0;1449.0;-1227.0;-88.0;211.0;185.0;6415.0;20.88;731.0;325.0;431.0;323.0;109.0;-25.0;7146.0;8.0;74.0;833.0;22.06;11.64;-42.0;11.12;179.0;8.66;0.39;0.37;1921.0;;1634.0;226.0;1860.0;1691.0;1395.0;108.0;4790.0;330.0;46.0;376.0;88.0;135.0;102.0;5491.0;;1119.0;1391.0;;15.0;1067.0;1750.0;;124.0;159.0;2033.0;;;;2487.0;1138.0;431.0;604.0;10286.0;259.0;10546.0;;702.0;833.0;;3.0;-248.0;-307.0;-259.0;203.0;-6.0;159.0;-1264.0;-3.0;-3556.0;3598.0;-14.0;-1427.0;;;-315.0;1653.0;76.0;1634.0;1423.0;;0.03;133.55;11.57;3.05;5.19;20.82;76.76;1921.0;0.5;0.0;88.7;256591.0;11.6;26351.0;22229.0;19.9;8.7;46275.0;55375.0;147482.0;11.4;9.3;15.1;55.2;169.9;0.032
2015.0;8624.0;1526.0;1716.0;750.0;770.0;609.0;2062.0;4771.0;11119.0;3735.0;6059.0;4709.0;1752.0;-1928.0;263.0;108.0;815.0;7098.0;17.7;757.0;333.0;436.0;326.0;109.0;-11.0;7855.0;7.0;77.0;899.0;19.89;8.69;20.0;8.93;131.0;7.06;0.3;0.29;1913.0;;1682.0;127.0;1809.0;1386.0;1491.0;86.0;4566.0;320.0;42.0;362.0;1177.0;157.0;86.0;6348.0;;1039.0;1635.0;;82.0;978.0;2016.0;;152.0;157.0;2325.0;;;;2410.0;1156.0;487.0;656.0;10769.0;350.0;11119.0;;609.0;899.0;;4.0;182.0;243.0;-156.0;-39.0;-8.0;58.0;-937.0;-1086.0;-3108.0;3205.0;-18.0;-958.0;;-162.0;-466.0;1849.0;22.0;1682.0;1574.0;;0.03;148.11;10.46;14.0;8.0;16.09;80.89;1913.0;0.6;0.0;127.8;283303.0;8.7;29519.0;20014.0;17.0;7.1;34037.0;66234.0;154714.0;9.6;7.6;12.9;23.6;77.0;0.03
2016.0;8466.0;1638.0;1807.0;798.0;863.0;658.0;2071.0;4398.0;11025.0;3295.0;5886.0;4770.0;1605.0;-1329.0;-649.0;-519.0;766.0;6828.0;19.35;800.0;351.0;465.0;359.0;106.0;-16.0;7628.0;7.0;77.0;906.0;21.35;9.43;65.0;10.2;166.0;7.77;0.35;0.29;1916.0;;1182.0;120.0;1302.0;1610.0;1405.0;80.0;4432.0;325.0;48.0;373.0;1607.0;140.0;75.0;6627.0;;1103.0;1145.0;;2.0;1045.0;2276.0;;150.0;166.0;2591.0;;;;2451.0;1362.0;553.0;404.0;10656.0;369.0;11025.0;;658.0;906.0;;15.0;-150.0;-190.0;97.0;51.0;-94.0;176.0;-839.0;-496.0;-2046.0;2037.0;-1.0;-2411.0;;;-377.0;2139.0;-145.0;1182.0;1702.0;;0.03;143.45;11.15;12.98;6.39;14.21;80.82;1916.0;0.5;0.0;115.3;274884.0;9.4;29422.0;21362.0;19.2;7.8;35820.0;73890.0;154878.0;9.9;8.5;13.8;42.7;49.2;0.031
2017.0;9788.0;1777.0;2041.0;854.0;1045.0;769.0;2092.0;4884.0;12264.0;3652.0;5480.0;6340.0;1598.0;-542.0;-651.0;259.0;755.0;8011.0;18.16;902.0;396.0;531.0;420.0;112.0;-25.0;8913.0;10.0;68.0;984.0;20.85;8.72;192.0;10.68;220.0;7.86;0.38;0.35;2038.0;;1553.0;195.0;1748.0;1904.0;1149.0;84.0;4555.0;335.0;47.0;382.0;1720.0;135.0;587.0;7380.0;;1404.0;1091.0;;;1157.0;1487.0;;167.0;173.0;1828.0;;;;2945.0;1806.0;678.0;911.0;11820.0;445.0;12264.0;;769.0;984.0;;15.0;-219.0;-137.0;-98.0;160.0;1.0;50.0;-844.0;237.0;-2097.0;2122.0;28.0;-2124.0;347.0;;-378.0;1504.0;-146.0;1553.0;1294.0;;0.03;142.52;11.2;10.99;5.5;12.29;92.31;2038.0;0.6;0.0;88.2;290441.0;8.7;29205.0;22819.0;21.0;7.9;36562.0;44127.0;188120.0;10.2;8.9;12.1;50.9;4.1;0.034
2018.0;12131.0;1999.0;2518.0;883.0;1044.0;857.0;2126.0;6589.0;17458.0;5186.0;10298.0;6583.0;1670.0;-4235.0;2717.0;178.0;298.0;10132.0;16.48;1117.0;489.0;639.0;478.0;161.0;-12.0;11248.0;;118.0;1396.0;20.76;7.28;161.0;8.61;148.0;7.07;0.39;0.38;2123.0;;1684.0;451.0;2135.0;2804.0;1526.0;123.0;7015.0;1634.0;1010.0;2644.0;412.0;167.0;632.0;10870.0;;1860.0;1767.0;;;1559.0;4711.0;;190.0;212.0;5113.0;;;;1413.0;667.0;110.0;4394.0;16882.0;577.0;17458.0;;857.0;1396.0;;7.0;-417.0;-304.0;-302.0;228.0;-9.0;-173.0;-1372.0;-3120.0;-3.0;210.0;31.0;-3936.0;;-2.0;-347.0;7003.0;26.0;1684.0;1506.0;;0.03;174.81;12.35;4.29;5.0;19.77;94.87;2123.0;0.4;0.0;93.3;371092.0;7.3;42689.0;26221.0;14.1;7.1;42927.0;144105.0;201388.0;8.2;6.6;13.0;59.5;117.3;0.033
2019.0;13809.0;2149.0;2568.0;777.0;778.0;570.0;2131.0;6751.0;18622.0;5157.0;11511.0;6665.0;2416.0;-1824.0;-217.0;288.0;461.0;11659.0;15.56;1328.0;615.0;748.0;556.0;192.0;-35.0;12987.0;18.0;144.0;1687.0;18.6;5.63;1.0;5.63;167.0;4.13;0.26;0.26;2128.0;;2010.0;164.0;2173.0;2897.0;1514.0;167.0;8084.0;1678.0;970.0;2648.0;521.0;157.0;462.0;11872.0;;1874.0;1448.0;;;1835.0;5929.0;;193.0;232.0;6354.0;;194.0;;1447.0;703.0;304.0;4210.0;18175.0;447.0;18622.0;;570.0;1687.0;;29.0;213.0;33.0;47.0;-34.0;9.0;-82.0;-1955.0;-73.0;-91.0;287.0;-39.0;-5523.0;;;-355.0;5660.0;-87.0;2010.0;1722.0;;0.03;194.21;8.02;6.48;4.99;27.5;93.74;2128.0;0.5;0.0;113.2;413182.0;5.6;50467.0;17061.0;21.5;4.1;47701.0;177414.0;199427.0;5.3;4.8;8.6;37.7;77.0;0.033
2020.0;16971.0;2775.0;3164.0;1259.0;1273.0;960.0;2144.0;7970.0;20764.0;6212.0;12519.0;7689.0;2671.0;-2168.0;-783.0;-306.0;423.0;14196.0;16.35;1477.0;687.0;847.0;648.0;199.0;-57.0;15674.0;19.0;128.0;1824.0;18.65;7.42;14.0;7.5;253.0;5.65;0.46;0.45;2132.0;;1834.0;174.0;2008.0;3594.0;2206.0;163.0;8604.0;1949.0;954.0;2903.0;600.0;195.0;491.0;12793.0;;2607.0;1470.0;;;2135.0;5572.0;;233.0;501.0;6307.0;;209.0;;1548.0;1070.0;525.0;4546.0;20208.0;556.0;20764.0;;960.0;1824.0;;34.0;-195.0;-334.0;-482.0;499.0;-11.0;48.0;-2248.0;-100.0;-39.0;42.0;141.0;-7440.0;;;-303.0;6961.0;-25.0;1834.0;2139.0;;0.04;223.68;12.65;5.57;4.0;29.63;101.35;2132.0;0.4;0.0;87.4;476979.0;7.4;51259.0;26971.0;19.9;5.7;49421.0;156614.0;216115.0;7.7;6.6;12.5;68.4;71.7;0.036
2021.0;20560.0;3981.0;4870.0;2241.0;2898.0;2305.0;2144.0;10545.0;24273.0;7608.0;14367.0;9381.0;2946.0;-1771.0;-210.0;885.0;447.0;16579.0;19.36;1740.0;759.0;981.0;;;;18319.0;;81.0;1967.0;23.69;10.9;657.0;14.09;517.0;11.21;1.08;1.07;2132.0;;2744.0;111.0;2855.0;4165.0;2642.0;884.0;9037.0;;2741.0;2741.0;839.0;;1111.0;13727.0;;;5047.0;;;2561.0;5927.0;;;832.0;6759.0;;;;;;;;23748.0;525.0;24273.0;;2305.0;1967.0;;;;;;;;-1325.0;-2500.0;;;;729.0;;;;-652.0;443.0;-81.0;2744.0;1859.0;;0.04;267.31;29.97;5.81;8.48;32.5;121.97;2132.0;0.3;0.0;107.9;569997.0;10.9;54524.0;63908.0;17.8;11.2;81430.0;164311.0;260077.0;14.8;12.2;24.6;71.7;146.0;0.036
