;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ZAR/USD)
2007.0;238.0;16.0;-99.0;-34.0;-36.0;-133.0;33.0;126.0;232.0;193.0;240.0;-9.0;-3.0;-40.0;15.0;-36.0;-42.0;222.0;6.74;40.0;;;;;40.0;262.0;3.0;10.0;25.0;-41.47;-14.3;-2.0;-15.25;-0.0;-55.99;-4.01;-4.01;33.0;;19.0;;19.0;6.0;15.0;85.0;94.0;;;;;;12.0;106.0;;36.0;129.0;;;28.0;;;0.0;47.0;47.0;;;;;-656.0;-48.0;;231.0;1.0;232.0;;-133.0;25.0;-0.0;;18.0;;6.0;;;87.0;-39.0;-0.0;-2.0;;1.0;;44.0;;;-29.0;-7.0;19.0;55.0;;0.14;50.35;-28.19;-8.87;;8.24;-1.98;33.0;-0.3;-0.0;;1672.0;-14.3;178.0;-936.0;1.1;-56.0;-472.0;;-66.0;-321.4;-53.7;1425.6;100.0;;0.142
2008.0;235.0;31.0;141.0;13.0;11.0;127.0;38.0;152.0;289.0;55.0;122.0;159.0;23.0;195.0;-107.0;110.0;-13.0;204.0;13.32;0.0;;;;;0.0;204.0;12.0;14.0;9.0;59.97;5.54;-2.0;4.67;-9.0;54.02;3.37;3.37;38.0;;108.0;;108.0;31.0;8.0;5.0;104.0;;;;;10.0;22.0;137.0;;49.0;0.0;;;5.0;;;;68.0;68.0;;;0.0;;-391.0;27.0;;281.0;8.0;289.0;;127.0;9.0;;;2.0;;-0.0;;;-115.0;-37.0;-16.0;-3.0;2.0;249.0;;4.0;;;-111.0;-2.0;108.0;-2.0;;0.13;49.02;26.48;-2.77;;7.62;33.08;38.0;0.3;0.0;;1843.0;5.5;70.0;996.0;-79.3;54.0;762.0;;1244.0;104.7;47.1;80.1;100.0;29.1;0.128
2009.0;247.0;10.0;31.0;-11.0;11.0;17.0;38.0;71.0;340.0;42.0;135.0;192.0;27.0;-77.0;-11.0;-64.0;-18.0;237.0;4.01;11.0;;11.0;11.0;;;248.0;27.0;5.0;13.0;12.65;-4.29;21.0;4.3;-4.0;6.76;0.44;0.44;38.0;;46.0;;46.0;11.0;12.0;2.0;224.0;;;;22.0;21.0;1.0;268.0;;42.0;0.0;0.0;;0.0;8.0;;25.0;59.0;93.0;;;0.0;;-384.0;-151.0;;326.0;13.0;340.0;;17.0;13.0;;1.0;6.0;;-2.0;;0.0;-9.0;-45.0;-39.0;-1.0;6.0;1.0;-7.0;1.0;;-5.0;-0.0;-3.0;46.0;109.0;;0.13;50.73;3.43;-3.63;1.0;9.16;39.33;38.0;2.2;0.0;13.2;1911.0;-4.3;99.0;129.0;-34.6;6.8;225.0;65.0;1481.0;8.7;5.6;8.7;70.8;-22.6;0.129
2010.0;259.0;13.0;56.0;5.0;28.0;27.0;38.0;52.0;336.0;35.0;121.0;202.0;7.0;-29.0;1.0;-21.0;-18.0;246.0;4.96;7.0;;18.0;18.0;;-11.0;254.0;26.0;3.0;25.0;21.65;1.78;23.0;10.63;1.0;10.44;0.71;0.71;38.0;;25.0;2.0;26.0;8.0;17.0;0.0;242.0;;;;23.0;18.0;1.0;284.0;;35.0;;0.0;;0.0;8.0;;22.0;57.0;86.0;;;0.0;;-363.0;26.0;;323.0;13.0;336.0;;27.0;25.0;;1.0;-3.0;;-1.0;;1.0;-42.0;-25.0;-5.0;-1.0;;2.0;-0.0;4.0;;-2.0;-0.0;0.0;25.0;46.0;;0.13;52.33;5.46;-3.69;0.5;5.1;40.76;38.0;0.9;0.0;9.8;1991.0;1.8;191.0;208.0;3.9;10.4;133.0;59.0;1551.0;10.4;9.7;13.4;90.9;8.5;0.13
2011.0;377.0;33.0;-17.0;-61.0;-56.0;-42.0;38.0;75.0;337.0;60.0;157.0;183.0;48.0;-49.0;12.0;10.0;1.0;345.0;8.64;13.0;;13.0;13.0;;;358.0;8.0;2.0;19.0;-4.45;-16.14;5.0;-14.94;5.0;-11.22;-1.1;-1.1;38.0;;38.0;;38.0;19.0;8.0;10.0;226.0;;;;23.0;10.0;1.0;262.0;;49.0;12.0;0.0;;0.0;6.0;;18.0;73.0;97.0;;;0.0;;-454.0;30.0;;341.0;-4.0;337.0;;-42.0;19.0;;1.0;-0.0;;-2.0;;;71.0;-47.0;;;;-3.0;-1.0;;;-3.0;16.0;0.0;38.0;28.0;;0.15;66.65;-7.48;0.18;0.5;8.24;32.41;38.0;-0.7;-0.0;9.4;2565.0;-16.1;131.0;-288.0;-8.4;-11.2;100.0;40.0;1247.0;-13.9;-10.6;-23.1;106.7;;0.147
2012.0;368.0;61.0;56.0;46.0;48.0;38.0;38.0;58.0;305.0;32.0;105.0;183.0;76.0;-51.0;-21.0;5.0;35.0;306.0;16.72;15.0;;15.0;15.0;;;321.0;4.0;2.0;15.0;15.15;12.64;2.0;13.16;1.0;10.27;0.98;0.98;38.0;;37.0;;37.0;8.0;13.0;1.0;201.0;;;;42.0;5.0;;247.0;;28.0;4.0;0.0;;0.0;;;11.0;62.0;73.0;;;0.0;;-342.0;-70.0;;288.0;17.0;305.0;;38.0;15.0;;1.0;8.0;;-0.0;;;15.0;-41.0;-1.0;-8.0;;-1.0;-12.0;2.0;-7.0;-4.0;-0.0;0.0;37.0;32.0;;0.12;78.2;8.03;7.5;0.75;8.67;38.97;38.0;0.8;0.1;11.3;3004.0;12.6;121.0;309.0;2.0;10.3;210.0;;1497.0;15.6;14.2;20.6;90.6;24.9;0.122
2013.0;209.0;44.0;29.0;12.0;15.0;6.0;38.0;61.0;269.0;25.0;103.0;144.0;51.0;-43.0;1.0;8.0;12.0;165.0;21.05;7.0;;8.0;8.0;;-1.0;172.0;2.0;4.0;14.0;13.96;5.83;2.0;6.98;5.0;2.85;0.16;0.16;38.0;;38.0;;38.0;5.0;14.0;4.0;177.0;;;;22.0;0.0;9.0;208.0;;22.0;2.0;;;0.0;14.0;;10.0;54.0;78.0;;;0.0;412.0;-291.0;23.0;;247.0;22.0;269.0;;6.0;14.0;;0.0;-4.0;-2.0;-2.0;-0.0;;34.0;-39.0;;-6.0;0.0;1.0;-3.0;0.0;;-10.0;14.0;0.0;38.0;30.0;;0.1;54.76;1.56;3.16;2.72;10.09;37.63;38.0;3.9;0.2;45.0;2076.0;5.8;144.0;59.0;31.0;2.9;359.0;143.0;1427.0;4.6;6.0;4.1;-74.1;85.7;0.101
2014.0;170.0;11.0;17.0;-1.0;-3.0;-4.0;38.0;44.0;229.0;29.0;90.0;117.0;8.0;-16.0;-7.0;-16.0;-7.0;159.0;6.75;7.0;;7.0;7.0;;-0.0;165.0;1.0;5.0;15.0;10.17;-0.69;-2.0;-2.05;2.0;-2.53;-0.11;-0.11;38.0;;20.0;;20.0;5.0;14.0;6.0;165.0;;;;11.0;0.0;9.0;185.0;;20.0;7.0;;;2.0;7.0;;11.0;43.0;61.0;;;0.0;384.0;-283.0;16.0;;208.0;22.0;229.0;;-4.0;15.0;;0.0;-4.0;-1.0;-2.0;-1.0;;0.0;-15.0;;-0.0;;-1.0;-2.0;0.0;;-5.0;-0.0;;20.0;35.0;;0.09;47.72;-1.21;-2.05;1.4;4.18;32.94;38.0;-2.5;-0.1;45.5;1809.0;-0.7;160.0;-46.0;-47.2;-2.5;163.0;76.0;1249.0;1.9;1.1;-3.7;215.9;;0.094
2015.0;173.0;13.0;28.0;8.0;8.0;6.0;39.0;50.0;206.0;25.0;80.0;126.0;23.0;-3.0;-11.0;9.0;16.0;160.0;7.55;4.0;;5.0;5.0;;-0.0;164.0;1.0;4.0;16.0;16.12;4.51;0.0;4.6;2.0;3.22;0.14;0.14;39.0;;27.0;;27.0;7.0;14.0;3.0;140.0;;;;16.0;0.0;-0.0;156.0;;21.0;2.0;;;2.0;2.0;;12.0;41.0;55.0;;2.0;0.0;343.0;-229.0;11.0;;206.0;;206.0;;6.0;16.0;-0.0;0.0;3.0;0.0;-0.0;3.0;;-1.0;-7.0;;;4.0;1.0;-10.0;;;-1.0;;;27.0;17.0;;0.08;54.02;1.74;4.95;0.19;2.33;39.26;39.0;1.0;0.0;11.4;2105.0;4.5;193.0;68.0;29.5;3.2;305.0;19.0;1530.0;4.7;5.8;4.4;88.8;3.9;0.082
2016.0;165.0;13.0;23.0;8.0;7.0;4.0;42.0;41.0;164.0;21.0;73.0;91.0;28.0;-7.0;-19.0;2.0;21.0;152.0;8.07;5.0;;5.0;5.0;;-0.0;157.0;2.0;3.0;12.0;13.83;4.91;-1.0;4.47;3.0;2.55;0.1;0.1;42.0;;24.0;;24.0;4.0;11.0;2.0;109.0;;;;7.0;0.0;7.0;123.0;;20.0;0.0;;;2.0;1.0;;13.0;38.0;52.0;;1.0;0.0;284.0;-202.0;10.0;;164.0;;164.0;;4.0;12.0;;2.0;6.0;2.0;0.0;3.0;;4.0;-7.0;;;0.0;-1.0;-2.0;0.0;-0.0;-17.0;;-0.0;24.0;22.0;;0.07;57.63;1.47;7.49;5.99;2.36;31.73;42.0;3.3;0.2;122.3;2433.0;4.9;180.0;62.0;43.1;2.5;287.0;17.0;1340.0;4.2;6.5;4.6;-308.4;81.2;0.068
2017.0;179.0;2.0;15.0;-2.0;-3.0;1.0;42.0;42.0;175.0;20.0;75.0;100.0;4.0;-7.0;-4.0;-8.0;-5.0;177.0;1.37;5.0;;5.0;5.0;;-1.0;181.0;2.0;4.0;14.0;8.26;-1.05;-1.0;-1.57;-4.0;0.59;0.02;0.02;42.0;;19.0;;19.0;9.0;14.0;;115.0;;;;18.0;0.0;;133.0;;10.0;;0.0;;10.0;1.0;;11.0;44.0;56.0;;1.0;;320.0;-220.0;;;175.0;;175.0;;1.0;14.0;;1.0;-9.0;-4.0;-1.0;-3.0;;-3.0;-8.0;;;;1.0;-0.0;;;-4.0;;;19.0;27.0;;0.08;55.44;0.32;-1.4;1.2;2.62;30.86;42.0;12.5;0.5;29.6;2340.0;-1.0;180.0;14.0;137.3;0.6;291.0;17.0;1302.0;-0.2;0.6;1.1;-269.3;-85.8;0.077
2018.0;181.0;10.0;18.0;4.0;2.0;0.0;42.0;46.0;172.0;23.0;80.0;92.0;17.0;-10.0;-3.0;4.0;8.0;171.0;5.73;6.0;;7.0;7.0;;-1.0;177.0;2.0;3.0;12.0;9.88;2.09;-1.0;1.3;2.0;0.26;0.01;0.01;42.0;;22.0;;22.0;6.0;17.0;1.0;106.0;;;;18.0;1.0;1.0;126.0;;17.0;;0.0;;7.0;1.0;;12.0;43.0;56.0;;1.0;;304.0;-212.0;;;172.0;;172.0;;0.0;12.0;;1.0;1.0;2.0;-2.0;3.0;-2.0;2.0;-9.0;;;;-1.0;-0.0;;;-3.0;;;22.0;18.0;;0.07;59.0;0.15;2.56;1.0;2.98;30.03;42.0;16.6;0.7;39.2;2490.0;2.1;168.0;7.0;79.9;0.3;306.0;15.0;1267.0;0.8;3.3;0.5;-549.2;39.1;0.073
2019.0;196.0;15.0;24.0;9.0;7.0;6.0;68.0;47.0;288.0;33.0;97.0;191.0;20.0;-22.0;-1.0;-2.0;-4.0;181.0;7.54;4.0;;6.0;6.0;;-2.0;186.0;1.0;5.0;12.0;12.36;4.53;-1.0;3.81;2.0;2.84;0.08;0.08;66.0;;20.0;;20.0;5.0;22.0;0.0;197.0;;;;44.0;1.0;;242.0;;23.0;1.0;0.0;;9.0;;;14.0;51.0;65.0;;1.0;;360.0;-201.0;32.0;;288.0;;288.0;;6.0;12.0;;2.0;5.0;;-2.0;;-1.0;-4.0;-25.0;;;;3.0;-14.0;;-0.0;;13.0;;20.0;21.0;;0.07;41.56;1.18;-0.89;;5.23;40.46;66.0;2.7;0.1;;2762.0;4.5;169.0;79.0;25.3;2.8;198.0;;2689.0;3.6;4.2;2.9;100.0;-0.5;0.071
2020.0;241.0;72.0;76.0;54.0;56.0;37.0;78.0;126.0;327.0;43.0;94.0;233.0;65.0;-12.0;29.0;83.0;55.0;170.0;29.8;16.0;;18.0;18.0;;-2.0;185.0;4.0;3.0;16.0;31.27;22.41;2.0;23.39;20.0;15.17;0.48;0.47;77.0;;99.0;;99.0;7.0;19.0;1.0;151.0;;;;47.0;0.0;2.0;201.0;;20.0;1.0;2.0;;22.0;2.0;;16.0;33.0;51.0;;3.0;;355.0;-122.0;-115.0;115.0;327.0;;327.0;;37.0;16.0;20.0;13.0;-5.0;;-2.0;;-1.0;-15.0;-10.0;;;;-1.0;-1.0;63.0;;-33.0;-0.0;;99.0;16.0;;0.06;54.35;8.25;12.31;7.33;2.35;52.47;77.0;1.3;0.0;70.1;4185.0;22.4;271.0;635.0;35.1;15.2;1444.0;37.0;4040.0;13.7;18.3;15.7;11.1;-55.0;0.058
2021.0;369.0;132.0;159.0;127.0;137.0;101.0;66.0;187.0;444.0;37.0;107.0;338.0;110.0;-31.0;-46.0;33.0;82.0;237.0;35.7;-1.0;;4.0;4.0;;-5.0;236.0;8.0;4.0;18.0;43.18;34.48;10.0;37.27;37.0;27.33;1.52;1.52;66.0;;153.0;;153.0;9.0;24.0;1.0;197.0;;;;57.0;0.0;3.0;257.0;;25.0;1.0;1.0;;11.0;3.0;;26.0;41.0;70.0;;4.0;;431.0;-94.0;;;444.0;;444.0;;101.0;18.0;37.0;-2.0;-14.0;;-3.0;;-1.0;-29.0;-28.0;;;;-4.0;-1.0;;;-45.0;-0.0;-1.0;153.0;120.0;;0.07;79.29;21.67;17.72;9.64;5.95;72.54;66.0;0.5;0.0;96.1;5269.0;34.5;253.0;1440.0;26.7;27.3;2141.0;38.0;4820.0;25.5;31.9;29.9;55.5;54.4;0.07
