;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (GBP/USD)
2003.0;8795.0;5645.0;2284.0;1152.0;927.0;596.0;2562.0;4387.0;14630.0;6204.0;10262.0;4346.0;1350.0;-568.0;-970.0;;1073.0;3150.0;64.18;4364.0;;3575.0;1700.0;1875.0;789.0;7514.0;32.0;332.0;1029.0;25.97;13.1;-225.0;10.54;327.0;6.78;0.24;0.24;2560.0;;121.0;1018.0;1139.0;;939.0;2309.0;861.0;4352.0;4850.0;9202.0;-837.0;;1018.0;10243.0;;407.0;2139.0;577.0;;3657.0;3236.0;98.0;;725.0;4059.0;;41.0;;339.0;;-1407.0;5414.0;14609.0;21.0;14630.0;;596.0;1029.0;;;-232.0;;-91.0;;;-43.0;-277.0;;-12.0;34.0;-312.0;-587.0;25.0;-32.0;-521.0;146.0;;;;;1.79;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;9232.0;5907.0;2375.0;1295.0;1078.0;581.0;2560.0;4035.0;14842.0;6441.0;10468.0;4349.0;1596.0;-1426.0;-173.0;-2.0;1228.0;3325.0;63.99;4612.0;;4612.0;2569.0;2043.0;;7937.0;31.0;284.0;1017.0;25.73;14.03;-217.0;11.68;493.0;6.3;0.36;0.35;2560.0;;127.0;305.0;432.0;;1038.0;2565.0;996.0;4507.0;5098.0;9605.0;-98.0;186.0;119.0;10807.0;;445.0;2016.0;574.0;;3979.0;3273.0;119.0;870.0;-235.0;4027.0;;31.0;;366.0;;;3983.0;14817.0;25.0;14842.0;;581.0;1017.0;;;-77.0;;-75.0;;;75.0;-368.0;;-25.0;771.0;-1803.0;-6.0;40.0;-56.0;-294.0;142.0;;127.0;129.0;;1.92;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;8893.0;5639.0;2198.0;1444.0;1207.0;795.0;2562.0;4171.0;15711.0;5443.0;12294.0;3391.0;1566.0;-783.0;-670.0;122.0;1231.0;3253.0;63.41;4223.0;;4223.0;2295.0;1928.0;;7476.0;17.0;272.0;723.0;24.72;16.24;-238.0;13.57;408.0;8.94;0.32;0.32;2562.0;;510.0;;510.0;;1084.0;2577.0;541.0;5216.0;5128.0;10344.0;;458.0;198.0;11540.0;;1690.0;1549.0;463.0;;2203.0;3897.0;;1687.0;1267.0;6851.0;;26.0;;327.0;;;3064.0;15685.0;26.0;15711.0;;795.0;723.0;;98.0;-133.0;;-96.0;;;83.0;-336.0;;-5.0;62.0;-680.0;-1002.0;43.0;-46.0;-578.0;914.0;9.0;510.0;387.0;;1.72;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;10575.0;6690.0;2647.0;1724.0;1412.0;1220.0;2530.0;5084.0;16714.0;6531.0;12837.0;3851.0;1908.0;-592.0;-848.0;437.0;1524.0;3885.0;63.26;5001.0;;5001.0;2752.0;2249.0;;8886.0;27.0;339.0;899.0;25.03;16.3;-311.0;13.36;188.0;11.54;0.5;0.5;2530.0;;1017.0;;1017.0;;1240.0;2827.0;584.0;5489.0;4945.0;10434.0;;333.0;280.0;11631.0;;1873.0;1393.0;938.0;;3266.0;2517.0;;1665.0;2124.0;6306.0;;24.0;;374.0;;;3477.0;16689.0;25.0;16714.0;;1220.0;899.0;;96.0;-129.0;;-100.0;;;-178.0;-384.0;;-18.0;94.0;-496.0;-660.0;182.0;-558.0;-727.0;915.0;-31.0;1017.0;580.0;;1.96;2.13;0.25;0.31;0.15;0.08;0.78;2530.0;41.3;2.3;1.4;5398.0;16.3;459.0;623.0;13.3;11.5;-739.0;1285.0;1966.0;14.9;10.5;31.7;40.4;72.4;1.959
2007.0;9099.0;5875.0;3297.0;1763.0;1612.0;2382.0;2539.0;8807.0;19408.0;7842.0;13501.0;5885.0;1649.0;-750.0;-889.0;3867.0;1362.0;3223.0;64.57;4144.0;;4144.0;2283.0;1862.0;;7368.0;67.0;349.0;728.0;36.23;19.37;-151.0;17.71;-163.0;26.18;0.99;0.97;2539.0;;4897.0;;4897.0;;538.0;3372.0;474.0;4887.0;4146.0;9033.0;;280.0;814.0;10601.0;;1985.0;1505.0;1493.0;;4353.0;2747.0;;1380.0;1532.0;5659.0;;22.0;;391.0;;;5494.0;19387.0;22.0;19408.0;;2382.0;728.0;;75.0;-117.0;;-22.0;;;-1419.0;-288.0;;-8.0;163.0;-776.0;-617.0;351.0;-542.0;-826.0;744.0;62.0;4897.0;1030.0;;1.98;1.81;0.47;0.27;0.16;0.06;1.17;2539.0;26.2;1.5;1.3;4584.0;19.4;367.0;1200.0;-10.1;26.2;486.0;1384.0;2965.0;24.5;13.2;40.5;65.3;74.6;1.985
2008.0;7803.0;5000.0;1878.0;1318.0;903.0;696.0;2198.0;3705.0;18820.0;6012.0;17385.0;1394.0;1548.0;-3366.0;-1292.0;-3060.0;1296.0;2803.0;64.08;3708.0;;3708.0;2168.0;1540.0;;6511.0;45.0;291.0;664.0;24.07;16.89;-415.0;11.57;227.0;8.92;0.32;0.32;2198.0;;549.0;;549.0;;509.0;2648.0;481.0;7169.0;6442.0;13611.0;;516.0;506.0;15115.0;;2039.0;655.0;810.0;;3318.0;7830.0;;2231.0;1312.0;11373.0;;4.0;;306.0;;;1088.0;18779.0;41.0;18820.0;;696.0;664.0;;67.0;101.0;;6.0;;;19.0;-252.0;;-6.0;12.0;-3288.0;-1197.0;79.0;-138.0;-3517.0;3480.0;120.0;549.0;3609.0;;1.46;2.43;0.22;0.4;1.09;0.08;0.43;2198.0;50.7;2.4;10.0;5334.0;16.9;454.0;476.0;25.1;8.9;-1577.0;5353.0;953.0;7.1;6.5;49.9;-405.0;275.8;1.463
2009.0;9809.0;6170.0;2386.0;1272.0;703.0;632.0;2282.0;4164.0;18312.0;6251.0;15470.0;2798.0;1924.0;-507.0;-931.0;580.0;1533.0;3639.0;62.91;4923.0;;4923.0;3126.0;1797.0;;8562.0;8.0;469.0;1221.0;24.33;12.96;-569.0;7.17;65.0;6.44;0.28;0.28;2282.0;;1186.0;;1186.0;;444.0;2533.0;472.0;7011.0;5868.0;12879.0;;336.0;462.0;14149.0;;2021.0;1095.0;774.0;;3134.0;4660.0;;2055.0;2504.0;9219.0;;44.0;;364.0;;;2435.0;18269.0;44.0;18312.0;;632.0;1221.0;;27.0;95.0;;76.0;;;-52.0;-391.0;;-5.0;;-376.0;-4624.0;1347.0;;-738.0;3084.0;94.0;1186.0;606.0;;1.62;2.66;0.17;0.42;0.2;0.11;0.76;2282.0;44.3;0.6;2.6;6071.0;13.0;756.0;391.0;9.2;6.4;-1292.0;2884.0;1732.0;8.8;6.4;22.6;-16.9;-39.7;1.616
2010.0;9446.0;6000.0;2518.0;1701.0;1198.0;1002.0;2417.0;4023.0;17408.0;6080.0;14334.0;3031.0;2111.0;-513.0;-1598.0;12.0;1626.0;3446.0;63.52;4334.0;;4334.0;2632.0;1702.0;;7780.0;11.0;421.0;908.0;26.66;18.0;-502.0;12.68;187.0;10.6;0.43;0.42;2417.0;;1158.0;;1158.0;;356.0;2510.0;454.0;6928.0;5393.0;12322.0;;236.0;373.0;13384.0;;1991.0;805.0;1008.0;;3284.0;4038.0;;1860.0;2357.0;8254.0;;34.0;;349.0;;;2682.0;17365.0;42.0;17408.0;;1002.0;908.0;;-11.0;9.0;;55.0;;;203.0;-485.0;;-8.0;9.0;-385.0;-838.0;17.0;;-754.0;-23.0;12.0;1158.0;1145.0;;1.56;2.51;0.27;0.43;0.2;0.13;0.8;2417.0;30.2;1.5;2.5;6055.0;18.0;582.0;642.0;15.6;10.6;-1318.0;2588.0;1943.0;12.0;9.3;33.0;24.8;45.3;1.56
2011.0;9324.0;6021.0;2709.0;1872.0;1473.0;1181.0;2422.0;4027.0;17870.0;6899.0;14457.0;3374.0;1992.0;-1120.0;-940.0;-25.0;1448.0;3303.0;64.58;4196.0;;4196.0;2526.0;1670.0;;7499.0;19.0;374.0;873.0;29.06;20.08;-399.0;15.79;281.0;12.66;0.5;0.5;2422.0;;1128.0;;1128.0;;295.0;2604.0;447.0;7347.0;5428.0;12774.0;;329.0;292.0;13843.0;;1934.0;1526.0;1052.0;;3439.0;3256.0;;1920.0;2382.0;7558.0;;12.0;;346.0;;;3028.0;17831.0;39.0;17870.0;;1181.0;873.0;;42.0;-45.0;;50.0;;;-59.0;-544.0;;-16.0;124.0;-1097.0;-385.0;14.0;;-772.0;204.0;43.0;1128.0;1153.0;;1.55;2.48;0.31;0.38;0.21;0.14;0.9;2422.0;27.2;1.7;2.4;6002.0;20.1;562.0;760.0;19.1;12.7;-1849.0;2096.0;2172.0;13.6;10.3;35.0;34.6;52.4;1.554
2012.0;9939.0;6463.0;3187.0;2207.0;1929.0;1737.0;2355.0;4118.0;17899.0;6523.0;14138.0;3705.0;2287.0;-774.0;-1630.0;-138.0;1745.0;3476.0;65.03;4295.0;;4295.0;2646.0;1649.0;;7771.0;11.0;364.0;902.0;32.06;22.2;-278.0;19.41;184.0;17.48;0.75;0.74;2324.0;;1042.0;;1042.0;;258.0;2818.0;429.0;7386.0;5322.0;12708.0;;128.0;515.0;13781.0;;4134.0;1021.0;980.0;;1368.0;3455.0;;1493.0;2667.0;7615.0;;26.0;;362.0;;;3343.0;17844.0;55.0;17899.0;;1737.0;902.0;;50.0;-119.0;;34.0;;;-284.0;-541.0;;-11.0;382.0;-1030.0;-1415.0;78.0;-406.0;-847.0;960.0;-21.0;1042.0;1180.0;;1.63;2.63;0.46;0.46;0.22;0.14;0.98;2324.0;19.3;1.3;2.5;6116.0;22.2;555.0;1069.0;9.5;17.5;-1480.0;2126.0;2280.0;18.3;12.8;46.9;51.3;67.3;1.625
