;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CLP/USD)
2010.0;1791.0;971.0;318.0;346.0;315.0;236.0;160.0;953.0;2460.0;506.0;1146.0;1080.0;340.0;-140.0;-170.0;30.0;203.0;820.0;54.21;644.0;;644.0;369.0;276.0;;1464.0;5.0;23.0;;17.78;19.33;-31.0;17.61;59.0;13.21;1.48;1.48;160.0;;324.0;5.0;329.0;372.0;231.0;21.0;1085.0;145.0;75.0;219.0;91.0;40.0;71.0;1507.0;;289.0;27.0;18.0;;190.0;470.0;;114.0;56.0;640.0;;;;;666.0;-79.0;;2226.0;234.0;2460.0;;236.0;;;;;;;;;104.0;-138.0;-23.0;;;21.0;-25.0;;;-155.0;10.0;-1.0;324.0;293.0;;0.0;5250.04;693.32;594.17;453.26;403.32;3166.93;160.0;0.0;0.0;2359.5;838258.0;19.3;;110700.0;18.7;13.2;209324.0;220145.0;505655.0;15.0;14.3;21.9;34.6;76.3;0.002
2011.0;1865.0;999.0;350.0;;346.0;236.0;160.0;1044.0;2498.0;675.0;1181.0;1095.0;;-147.0;-126.0;50.0;172.0;867.0;53.53;673.0;;673.0;384.0;289.0;;1539.0;14.0;28.0;;18.78;;20.0;18.53;86.0;12.66;1.48;1.48;160.0;;342.0;8.0;349.0;424.0;247.0;23.0;1072.0;134.0;79.0;213.0;77.0;36.0;57.0;1454.0;;319.0;129.0;32.0;;228.0;45.0;;116.0;346.0;506.0;;31.0;;;718.0;-68.0;;2275.0;223.0;2498.0;;236.0;;;;;;;;;-236.0;-150.0;-11.0;;;14.0;-28.0;;;-121.0;24.0;0.0;342.0;292.0;;0.0;6072.28;768.79;560.68;393.27;487.55;3563.49;160.0;0.0;0.0;1740.2;969551.0;;;122752.0;25.0;12.7;191775.0;23200.0;568976.0;16.4;15.4;21.6;48.8;70.1;0.002
2012.0;2245.0;1216.0;352.0;369.0;336.0;239.0;160.0;1035.0;2768.0;656.0;1285.0;1280.0;290.0;-280.0;-167.0;-158.0;44.0;1029.0;54.16;849.0;;568.0;178.0;389.0;282.0;1878.0;16.0;36.0;;15.68;16.43;-33.0;14.98;77.0;10.64;1.5;1.5;160.0;;214.0;3.0;216.0;487.0;296.0;35.0;1278.0;146.0;122.0;269.0;36.0;50.0;101.0;1733.0;;345.0;88.0;15.0;;223.0;436.0;;155.0;37.0;629.0;;34.0;;482.0;898.0;-100.0;;2565.0;203.0;2768.0;;239.0;;;;;;;;;51.0;-246.0;-41.0;;;2.0;-134.0;;;-138.0;105.0;-0.0;214.0;372.0;;0.0;6737.09;716.7;132.09;414.1;737.5;3840.62;160.0;0.0;0.0;1499.8;1075690.0;16.4;;114433.0;23.0;10.6;181358.0;208966.0;613220.0;14.2;13.7;18.7;42.2;313.5;0.002
2013.0;2278.0;1257.0;346.0;360.0;319.0;234.0;166.0;1558.0;3288.0;779.0;1225.0;1881.0;369.0;-261.0;479.0;583.0;132.0;1021.0;55.17;909.0;;599.0;178.0;422.0;309.0;1930.0;16.0;46.0;;15.19;15.81;-41.0;14.0;66.0;10.28;1.41;1.41;166.0;;778.0;9.0;787.0;438.0;291.0;42.0;1296.0;156.0;122.0;278.0;33.0;47.0;76.0;1730.0;;349.0;206.0;21.0;;223.0;272.0;;139.0;35.0;446.0;;32.0;;1071.0;936.0;-125.0;;3106.0;182.0;3288.0;;234.0;;;;;;;;;135.0;-237.0;-28.0;;;0.0;-48.0;622.0;;-121.0;27.0;-4.0;778.0;195.0;;0.0;7216.42;741.61;419.5;383.84;750.79;5959.35;166.0;0.0;0.0;1322.7;1197227.0;15.8;;123036.0;20.7;10.3;409368.0;142698.0;988676.0;11.8;11.1;12.4;48.2;-377.9;0.002
2014.0;2136.0;1141.0;289.0;303.0;276.0;175.0;185.0;1128.0;2912.0;623.0;1021.0;1688.0;286.0;-393.0;-218.0;-319.0;-93.0;995.0;53.42;887.0;;578.0;181.0;396.0;309.0;1882.0;20.0;38.0;;13.55;14.17;-27.0;12.9;77.0;8.18;0.95;0.95;185.0;;354.0;2.0;355.0;444.0;288.0;41.0;1371.0;143.0;113.0;256.0;53.0;50.0;54.0;1783.0;;335.0;87.0;19.0;;201.0;221.0;;144.0;33.0;398.0;;29.0;;926.0;885.0;-124.0;;2709.0;202.0;2912.0;;175.0;;;;;;;;;111.0;-379.0;-25.0;;;7.0;-37.0;;;-108.0;-73.0;6.0;354.0;673.0;;0.0;7025.47;575.03;-305.59;353.53;1245.35;5551.18;185.0;0.0;0.0;1608.4;1297966.0;14.2;;106238.0;27.9;8.2;307059.0;134467.0;1025588.0;10.0;10.7;10.4;38.5;-115.7;0.002
2015.0;2113.0;1147.0;274.0;301.0;269.0;170.0;185.0;965.0;2571.0;548.0;897.0;1492.0;310.0;-234.0;-117.0;-31.0;124.0;966.0;54.28;867.0;;572.0;181.0;391.0;295.0;1833.0;11.0;33.0;;12.95;14.25;-32.0;12.72;71.0;8.06;0.92;0.92;185.0;;272.0;19.0;291.0;384.0;256.0;34.0;1230.0;117.0;90.0;208.0;71.0;49.0;48.0;1606.0;;321.0;44.0;17.0;;183.0;193.0;;124.0;31.0;348.0;;25.0;;793.0;844.0;-146.0;;2388.0;183.0;2571.0;;170.0;;;;;;;;;139.0;-186.0;-53.0;-59.0;;61.0;-81.0;;;-93.0;57.0;10.0;272.0;303.0;;0.0;8110.2;653.9;475.12;358.03;713.02;5725.62;185.0;0.0;0.0;1664.5;1498372.0;14.2;;120808.0;26.3;8.1;295621.0;136927.0;1057816.0;11.0;11.5;11.4;45.2;75.4;0.001
2016.0;2326.0;1219.0;252.0;287.0;254.0;177.0;185.0;1017.0;2792.0;660.0;1002.0;1607.0;;-231.0;-142.0;-88.0;91.0;1107.0;52.41;927.0;;636.0;232.0;404.0;292.0;2034.0;8.0;30.0;;10.84;12.34;-33.0;10.93;45.0;7.6;0.96;0.96;185.0;;200.0;13.0;212.0;468.0;309.0;27.0;1349.0;144.0;116.0;260.0;96.0;48.0;23.0;1776.0;;314.0;63.0;18.0;;283.0;176.0;;129.0;36.0;342.0;;26.0;;840.0;981.0;-213.0;;2609.0;184.0;2792.0;;177.0;;;;;;;;;-177.0;-192.0;-44.0;;;0.0;-41.0;;;-104.0;3.0;2.0;200.0;287.0;;0.0;8437.81;641.17;330.88;377.91;697.6;5831.07;185.0;0.0;0.0;1774.2;1558898.0;12.3;;118457.0;17.8;7.6;239075.0;117944.0;1077298.0;10.6;9.7;11.0;41.1;114.2;0.001
2017.0;2756.0;1460.0;328.0;369.0;319.0;210.0;185.0;1185.0;3207.0;761.0;1216.0;1787.0;425.0;-282.0;-86.0;58.0;221.0;1296.0;52.97;1089.0;;702.0;231.0;471.0;387.0;2385.0;8.0;39.0;;11.9;13.38;-50.0;11.57;78.0;7.63;1.14;1.14;185.0;;276.0;12.0;288.0;522.0;341.0;34.0;1490.0;154.0;125.0;279.0;161.0;65.0;27.0;2022.0;;364.0;46.0;37.0;;351.0;261.0;;153.0;41.0;455.0;;29.0;;913.0;1163.0;-289.0;;3003.0;204.0;3207.0;;210.0;;;;;;;;;215.0;-204.0;-80.0;-80.0;2.0;77.0;-41.0;;;-122.0;77.0;1.0;276.0;218.0;;0.0;9192.68;701.52;738.27;406.64;680.73;5959.78;185.0;0.0;0.0;1576.1;1698361.0;13.4;;129607.0;24.6;7.6;261530.0;161002.0;1101077.0;11.0;10.9;11.8;42.0;55.1;0.002
2018.0;2566.0;1329.0;671.0;680.0;659.0;442.0;185.0;1354.0;3462.0;929.0;1463.0;1842.0;;-286.0;-76.0;214.0;429.0;1238.0;51.77;982.0;;672.0;219.0;452.0;311.0;2220.0;23.0;34.0;;26.16;26.51;-21.0;25.69;196.0;17.21;2.39;2.39;185.0;;459.0;16.0;475.0;491.0;340.0;47.0;1470.0;177.0;171.0;348.0;204.0;54.0;31.0;2108.0;;356.0;61.0;109.0;4.0;508.0;328.0;;156.0;50.0;534.0;;26.0;;810.0;1250.0;-217.0;;3305.0;157.0;3462.0;;442.0;;;;;;;;;-442.0;-189.0;-94.0;;;-8.0;-164.0;;;-108.0;195.0;-41.0;459.0;245.0;;0.0;9652.33;1661.1;1612.29;405.0;711.44;6928.91;185.0;0.0;0.0;1496.7;1783282.0;26.5;;306891.0;29.7;17.2;295283.0;228028.0;1280127.0;19.9;20.3;24.0;75.6;25.1;0.001
2019.0;2422.0;1215.0;263.0;311.0;247.0;173.0;185.0;1049.0;3128.0;642.0;1210.0;1765.0;;-192.0;-265.0;-163.0;135.0;1207.0;50.16;938.0;;617.0;182.0;435.0;321.0;2145.0;17.0;37.0;;10.86;12.84;-64.0;10.18;53.0;7.14;0.94;0.94;185.0;;261.0;8.0;269.0;424.0;321.0;34.0;1459.0;166.0;167.0;333.0;181.0;72.0;34.0;2079.0;;330.0;72.0;27.0;2.0;238.0;348.0;;175.0;45.0;568.0;;44.0;;748.0;1200.0;-183.0;;2975.0;153.0;3128.0;;173.0;;;;;;;;;-173.0;-187.0;-28.0;;15.0;0.0;-44.0;;;-290.0;69.0;-28.0;261.0;424.0;;0.0;9864.83;704.42;551.18;1180.16;760.42;7188.33;185.0;0.0;0.0;4703.7;1822541.0;12.8;;130142.0;21.5;7.1;306000.0;261769.0;1328054.0;8.8;8.8;9.8;-67.5;214.1;0.001
2020.0;2612.0;1228.0;225.0;246.0;202.0;135.0;185.0;1350.0;3551.0;733.0;1570.0;1823.0;;-198.0;91.0;281.0;222.0;1384.0;47.03;993.0;;669.0;195.0;474.0;324.0;2377.0;5.0;40.0;;8.63;9.43;-44.0;7.73;50.0;5.18;0.73;0.73;185.0;;557.0;10.0;568.0;411.0;341.0;31.0;1557.0;165.0;180.0;345.0;184.0;72.0;42.0;2201.0;;360.0;71.0;30.0;2.0;300.0;619.0;;167.0;51.0;837.0;;45.0;;791.0;1296.0;-264.0;;3393.0;158.0;3551.0;;135.0;;;;;;;;;-135.0;-173.0;-27.0;;;-6.0;-145.0;;;-144.0;379.0;-7.0;557.0;276.0;;0.0;10054.56;520.44;854.57;552.83;664.61;7017.94;185.0;0.0;0.0;3768.4;1857594.0;9.4;;96152.0;24.7;5.2;438482.0;440077.0;1296574.0;6.4;6.6;7.4;-6.2;64.7;0.001
2021.0;2912.0;1398.0;372.0;387.0;354.0;233.0;185.0;1279.0;3336.0;915.0;1666.0;1533.0;;-210.0;-274.0;-153.0;142.0;1514.0;48.02;1036.0;;703.0;189.0;514.0;333.0;2550.0;17.0;42.0;;12.78;13.3;-34.0;12.14;97.0;8.02;1.26;1.26;185.0;;311.0;16.0;328.0;474.0;429.0;48.0;1466.0;154.0;178.0;332.0;162.0;36.0;62.0;2057.0;;514.0;106.0;41.0;0.0;295.0;566.0;;138.0;45.0;750.0;;41.0;;659.0;975.0;-102.0;;3198.0;138.0;3336.0;;233.0;;;;;;;;;-233.0;-201.0;-7.0;;;-4.0;-63.0;;;-321.0;110.0;-14.0;311.0;465.0;;0.0;13448.95;1078.0;657.65;1483.81;930.19;7077.72;185.0;0.0;0.0;8193.3;2484712.0;13.3;;199163.0;27.4;8.0;310257.0;483242.0;1307618.0;11.8;11.6;15.2;-37.6;225.6;0.001
