;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (INR/USD)
2012.0;;;;;;;566.0;;;;;;;;;;;;33.9;;;;;;;;;;;12.8;4.71;;7.28;;6.95;;;544.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3059.93;212.58;146.09;26.92;255.01;603.61;544.0;0.1;0.0;113.4;1664853.0;4.7;54435.0;115659.0;3.9;6.9;-71372.0;287148.0;328413.0;21.7;11.1;35.2;87.3;18.4;
2013.0;;;;;;;645.0;;;;;;;;;;;;31.93;;;;;;;;;;;12.82;;;6.81;;4.69;;;644.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2932.59;137.64;57.82;23.03;288.12;574.56;644.0;0.2;0.0;86.2;1889860.0;;73723.0;88697.0;30.4;4.7;-103156.0;327291.0;370269.0;14.0;10.1;24.0;83.3;39.8;
2014.0;;;;;;;650.0;;;;;;;;;;;;33.88;;;;;;;;;;;14.63;;;7.66;;5.58;;;650.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3604.06;201.18;173.32;10.5;398.32;965.71;650.0;0.2;0.0;26.8;2341761.0;;110463.0;130717.0;26.9;5.6;43120.0;455636.0;627478.0;13.4;10.6;20.8;94.8;6.1;
2015.0;42004.0;14575.0;6147.0;;3172.0;2053.0;658.0;15896.0;37530.0;15882.0;28901.0;8559.0;5846.0;-5507.0;490.0;600.0;1021.0;27429.0;34.7;13081.0;456.0;5425.0;4053.0;1372.0;7200.0;40510.0;108.0;836.0;2152.0;14.63;;1677.0;7.55;1106.0;4.89;3.12;3.12;658.0;;3159.0;3922.0;7081.0;3578.0;4596.0;640.0;9390.0;117.0;8494.0;8612.0;668.0;648.0;2317.0;21634.0;;9110.0;2897.0;425.0;466.0;3410.0;8732.0;148.0;375.0;3763.0;13018.0;;24.0;;103.0;;6411.0;2046.0;37460.0;71.0;37530.0;;2053.0;2152.0;1106.0;;-609.0;-506.0;-591.0;644.0;-372.0;1144.0;-4826.0;-196.0;-5474.0;4898.0;-1994.0;-4568.0;;;-108.0;5165.0;-229.0;3159.0;2559.0;;0.02;3992.59;195.11;97.03;10.26;458.69;813.56;658.0;0.2;0.0;28.6;2625265.0;;134496.0;128291.0;34.9;4.9;837.0;545770.0;534942.0;12.1;10.7;24.0;94.7;10.6;0.016
2016.0;40731.0;14346.0;5125.0;;1878.0;1448.0;676.0;16602.0;39562.0;16122.0;27964.0;11530.0;5658.0;-5595.0;-573.0;-391.0;953.0;26386.0;35.22;13924.0;524.0;5731.0;4407.0;1324.0;7670.0;40310.0;109.0;723.0;2538.0;12.58;;1457.0;4.61;415.0;3.55;2.14;2.14;676.0;;2590.0;4834.0;7424.0;3689.0;4928.0;560.0;10118.0;115.0;9065.0;9179.0;732.0;598.0;2333.0;22960.0;;9262.0;2845.0;478.0;496.0;3520.0;7629.0;299.0;656.0;3259.0;11842.0;;19.0;;103.0;;8066.0;3361.0;39495.0;67.0;39562.0;;1448.0;2538.0;415.0;;201.0;-120.0;-866.0;616.0;201.0;1056.0;-4705.0;;-7274.0;6285.0;-2197.0;-3561.0;1131.0;;;1858.0;118.0;2590.0;2981.0;;0.02;3991.15;141.87;93.38;;461.05;1129.83;676.0;0.2;0.0;;2697422.0;;168075.0;95883.0;22.1;3.6;31751.0;505202.0;763597.0;8.6;6.5;12.6;100.0;-118.7;0.015
2017.0;40777.0;13168.0;4937.0;;1503.0;940.0;679.0;17857.0;40933.0;17697.0;32662.0;8200.0;4653.0;-5875.0;953.0;-486.0;-54.0;27609.0;32.29;14150.0;524.0;5752.0;4416.0;1335.0;7875.0;41759.0;87.0;650.0;2800.0;12.11;;2485.0;3.69;548.0;2.3;1.38;1.38;679.0;;2147.0;5669.0;7816.0;3993.0;5418.0;630.0;9996.0;103.0;8773.0;8876.0;924.0;679.0;2601.0;23076.0;;9367.0;2759.0;622.0;480.0;5091.0;9305.0;460.0;181.0;5019.0;14965.0;;12.0;;104.0;7878.0;8120.0;-7903.0;40862.0;71.0;40933.0;;940.0;2800.0;548.0;;519.0;-363.0;-1018.0;1304.0;454.0;-154.0;-4706.0;-16.0;-6869.0;5436.0;-1926.0;-3336.0;1.0;;-11.0;4299.0;-216.0;2147.0;2633.0;;0.02;3911.56;90.13;-5.14;1.07;451.45;786.58;679.0;0.4;0.0;3.2;2656495.0;;182405.0;61211.0;36.4;2.3;10450.0;606185.0;534197.0;5.9;5.2;11.5;98.8;-19.4;0.015
2018.0;44311.0;13469.0;5547.0;;1625.0;1025.0;679.0;20944.0;49736.0;21945.0;35689.0;13965.0;3667.0;-4027.0;309.0;112.0;-1725.0;30842.0;30.4;15248.0;543.0;6081.0;4703.0;1378.0;8624.0;46090.0;109.0;713.0;3225.0;12.52;;3404.0;3.67;585.0;2.31;1.51;1.51;679.0;;2262.0;5306.0;7568.0;5316.0;6521.0;1538.0;13071.0;18.0;10531.0;10549.0;1012.0;631.0;3529.0;28792.0;;12367.0;4265.0;728.0;577.0;4736.0;9405.0;632.0;942.0;2766.0;13744.0;;11.0;;104.0;;9756.0;4104.0;49654.0;82.0;49736.0;;1025.0;3225.0;585.0;;-896.0;-665.0;-547.0;1115.0;1061.0;-271.0;-5392.0;2.0;-7408.0;8411.0;-1979.0;-4605.0;;;;4915.0;201.0;2262.0;2150.0;;0.02;4244.81;98.15;-165.22;;516.5;1337.79;679.0;0.2;0.0;;2882951.0;;209818.0;66661.0;36.0;2.3;-65134.0;611887.0;908590.0;5.4;4.7;7.3;100.0;;0.015
2019.0;43109.0;13137.0;-443.0;;-4573.0;-4221.0;679.0;17687.0;43015.0;20848.0;34978.0;7959.0;2720.0;-2838.0;1272.0;985.0;-2363.0;29971.0;30.48;16062.0;608.0;6294.0;5037.0;1257.0;9159.0;46033.0;113.0;829.0;3315.0;-1.03;;-1648.0;-10.61;-366.0;-9.79;-6.21;-6.21;679.0;;3105.0;2810.0;5914.0;5241.0;5616.0;916.0;10977.0;108.0;8360.0;8468.0;1015.0;742.0;4126.0;25327.0;;10939.0;5069.0;710.0;659.0;4180.0;10219.0;673.0;215.0;3024.0;14131.0;;25.0;;98.0;;4578.0;3283.0;42938.0;77.0;43015.0;;-4221.0;3315.0;-366.0;;-912.0;137.0;298.0;-386.0;-50.0;4905.0;-5084.0;75.0;-3485.0;5543.0;-2463.0;-5069.0;;;;6340.0;-203.0;3105.0;2119.0;;0.01;4407.82;-431.62;-241.66;;519.8;813.84;679.0;-0.0;-0.0;;2993662.0;;230198.0;-293143.0;8.0;-9.8;-219475.0;709629.0;552739.0;-15.7;-8.8;-53.0;100.0;;0.014
2020.0;34426.0;11030.0;2254.0;;-1451.0;-1512.0;692.0;15869.0;41678.0;18543.0;33743.0;7827.0;3534.0;-4534.0;450.0;-410.0;-407.0;23396.0;32.04;13703.0;556.0;5147.0;4136.0;1010.0;8000.0;37099.0;155.0;963.0;2755.0;6.55;;1222.0;-4.21;48.0;-4.39;-2.18;-2.18;692.0;;2451.0;3409.0;5860.0;4030.0;4970.0;1009.0;11657.0;103.0;8819.0;8922.0;754.0;724.0;3753.0;25810.0;;9364.0;4818.0;623.0;565.0;3796.0;11740.0;666.0;258.0;2536.0;15199.0;;793.0;;95.0;;3667.0;4064.0;41569.0;109.0;41678.0;;-1512.0;2755.0;48.0;1.0;678.0;1050.0;309.0;-1019.0;1298.0;1563.0;-3941.0;-81.0;-5336.0;4583.0;-1799.0;-4078.0;;;;4528.0;140.0;2451.0;2861.0;;0.01;3747.99;-164.61;-44.34;;429.11;852.1;692.0;-0.1;-0.0;;2594251.0;;207632.0;-113940.0;-3.3;-4.4;-201563.0;884678.0;589801.0;-2.2;-1.2;-19.3;100.0;;0.013
2021.0;33924.0;11176.0;2641.0;;-1596.0;-1951.0;692.0;20079.0;45696.0;21465.0;38599.0;6880.0;3964.0;-3571.0;1354.0;1809.0;1202.0;22748.0;32.94;12227.0;714.0;4499.0;3900.0;599.0;7013.0;34974.0;67.0;1105.0;3139.0;7.78;;-545.0;-4.7;347.0;-5.75;-2.82;-2.82;692.0;;4333.0;4565.0;8899.0;4972.0;4933.0;1275.0;12138.0;110.0;8400.0;8510.0;863.0;618.0;3488.0;25617.0;;10112.0;5961.0;658.0;784.0;4608.0;13467.0;663.0;213.0;2792.0;17134.0;;851.0;;105.0;;1021.0;5755.0;45480.0;216.0;45696.0;;-1951.0;3139.0;347.0;1.0;259.0;-153.0;519.0;90.0;-1063.0;2169.0;-2762.0;30.0;-6125.0;5206.0;-1072.0;-4817.0;;;-0.0;6171.0;62.0;4333.0;2525.0;;0.01;3585.29;-206.16;127.07;0.02;291.91;727.14;692.0;-0.1;-0.0;0.1;2481631.0;;229638.0;-142701.0;-21.8;-5.8;-101369.0;985140.0;503303.0;-2.5;-1.1;-28.4;100.0;;0.014
