;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno
2002.0;60.0;31.0;-1.0;-6.0;-5.0;-6.0;30.0;43.0;85.0;20.0;22.0;61.0;-2.0;-3.0;2.0;-3.0;-3.0;29.0;51.68;36.0;5.0;31.0;31.0;;;65.0;1.0;;5.0;-1.29;-10.23;1.0;-8.8;0.0;-9.44;-0.19;-0.19;30.0;;25.0;;25.0;17.0;0.0;1.0;8.0;;31.0;31.0;;;2.0;41.0;;3.0;3.0;;4.0;9.0;0.0;;;2.0;2.0;;;;1.0;-49.0;-12.0;121.0;83.0;1.0;85.0;;-6.0;5.0;;;-1.0;;0.0;;;-0.0;-1.0;;;;-2.0;;0.0;-0.0;-0.0;2.0;-0.0;25.0;28.0;;
2003.0;63.0;39.0;8.0;4.0;4.0;3.0;31.0;37.0;78.0;20.0;22.0;54.0;4.0;-3.0;-12.0;-11.0;3.0;24.0;61.92;36.0;5.0;31.0;31.0;;;60.0;0.0;;5.0;12.68;5.78;0.0;6.19;0.0;4.84;0.1;0.1;31.0;;14.0;;14.0;22.0;0.0;1.0;8.0;;31.0;31.0;;;2.0;41.0;;3.0;2.0;;4.0;10.0;0.0;;;2.0;2.0;;;;1.0;-46.0;-14.0;113.0;76.0;1.0;78.0;;3.0;5.0;;;-4.0;;0.0;;;1.0;-1.0;;;;-2.0;;1.0;-0.0;-12.0;-1.0;-0.0;14.0;25.0;;
2004.0;65.0;40.0;9.0;3.0;4.0;4.0;33.0;37.0;80.0;17.0;20.0;60.0;5.0;-12.0;1.0;-6.0;4.0;25.0;60.9;36.0;4.0;33.0;33.0;;;62.0;1.0;;5.0;13.76;5.07;1.0;6.47;0.0;6.28;0.13;0.13;31.0;;8.0;5.0;13.0;21.0;0.0;3.0;8.0;;33.0;33.0;;;3.0;43.0;;3.0;2.0;;4.0;8.0;0.0;;;2.0;3.0;;;;1.0;-42.0;-15.0;116.0;79.0;1.0;80.0;;4.0;5.0;;;-4.0;;-0.0;;;-0.0;-1.0;;-6.0;1.0;-5.0;;1.0;-0.0;;-0.0;-0.0;8.0;14.0;;
2005.0;61.0;34.0;1.0;-4.0;-4.0;-5.0;31.0;32.0;74.0;18.0;21.0;52.0;6.0;-5.0;1.0;2.0;4.0;27.0;56.26;39.0;4.0;35.0;35.0;;;65.0;;;5.0;1.79;-6.99;0.0;-6.4;0.0;-7.55;-0.15;-0.15;31.0;;9.0;5.0;14.0;15.0;0.0;3.0;7.0;;32.0;32.0;;;3.0;42.0;;3.0;4.0;;3.0;7.0;0.0;;;3.0;3.0;;;;1.0;-46.0;-16.0;114.0;73.0;1.0;74.0;;-5.0;5.0;;;5.0;;-0.0;;;0.0;-1.0;;-1.0;1.0;-4.0;;0.0;-1.0;-1.0;2.0;0.0;9.0;8.0;;
2006.0;62.0;33.0;1.0;-5.0;-5.0;-5.0;31.0;28.0;70.0;19.0;22.0;48.0;4.0;-5.0;1.0;-1.0;-1.0;29.0;53.47;36.0;4.0;32.0;32.0;;;65.0;;;6.0;1.36;-8.81;1.0;-7.7;0.0;-8.11;-0.16;-0.16;31.0;;8.0;5.0;13.0;13.0;0.0;2.0;6.0;22.0;11.0;32.0;;;3.0;42.0;;3.0;5.0;;4.0;7.0;0.0;;;2.0;3.0;;;;1.0;-51.0;-17.0;115.0;70.0;0.0;70.0;;-5.0;6.0;;;3.0;;0.0;;;-0.0;-5.0;;-2.0;1.0;1.0;;0.0;;;0.0;-0.0;8.0;9.0;;
2007.0;58.0;31.0;17.0;1.0;2.0;13.0;32.0;47.0;82.0;19.0;21.0;61.0;9.0;-2.0;-1.0;5.0;5.0;27.0;53.21;30.0;3.0;27.0;27.0;;;57.0;;;4.0;28.8;2.19;0.0;2.76;0.0;21.58;0.4;0.39;32.0;;12.0;4.0;16.0;30.0;;1.0;6.0;16.0;11.0;27.0;;;3.0;35.0;;3.0;4.0;;2.0;10.0;0.0;;;2.0;2.0;;;;1.0;-39.0;-16.0;116.0;82.0;;82.0;;13.0;4.0;;;4.0;;;;;-11.0;-4.0;0.0;;1.0;1.0;;0.0;;;-1.0;-0.0;12.0;7.0;;
2008.0;62.0;35.0;9.0;-4.0;-5.0;5.0;32.0;48.0;83.0;14.0;16.0;67.0;8.0;11.0;-3.0;15.0;7.0;27.0;56.21;31.0;2.0;28.0;11.0;17.0;;58.0;;0.0;4.0;14.21;-6.88;-0.0;-7.59;0.0;7.27;0.14;0.14;32.0;;27.0;5.0;33.0;15.0;;0.0;5.0;17.0;11.0;27.0;2.0;;;35.0;;3.0;0.0;;2.0;9.0;0.0;;;2.0;2.0;;;;1.0;-35.0;-16.0;117.0;83.0;;83.0;;5.0;4.0;;0.0;-1.0;0.0;;-0.0;;-0.0;-1.0;0.0;-1.0;2.0;11.0;-4.0;;;;0.0;-0.0;27.0;12.0;;
2009.0;55.0;29.0;11.0;6.0;7.0;6.0;32.0;58.0;88.0;30.0;30.0;57.0;8.0;-10.0;-0.0;-3.0;7.0;26.0;52.55;23.0;1.0;24.0;8.0;15.0;-2.0;49.0;0.0;;5.0;20.1;11.26;0.0;11.76;0.0;11.16;0.19;0.19;32.0;;24.0;18.0;42.0;16.0;;0.0;2.0;17.0;10.0;27.0;1.0;;;30.0;;3.0;0.0;;2.0;25.0;0.0;;;1.0;1.0;;;;1.0;-45.0;-12.0;113.0;88.0;;88.0;;6.0;5.0;;0.0;-1.0;1.0;;-0.0;-1.0;-2.0;-1.0;0.0;-2.0;2.0;-10.0;-0.0;;;;0.0;-0.0;24.0;27.0;;
2010.0;89.0;37.0;14.0;9.0;9.0;9.0;33.0;68.0;112.0;20.0;23.0;89.0;14.0;-0.0;5.0;19.0;14.0;51.0;41.92;28.0;2.0;26.0;8.0;18.0;;79.0;0.0;0.0;5.0;15.8;10.54;-0.0;10.47;-0.0;10.58;0.29;0.29;32.0;;44.0;3.0;47.0;22.0;;;2.0;25.0;15.0;39.0;;;2.0;44.0;;3.0;0.0;;2.0;15.0;0.0;;;4.0;4.0;;;;1.0;-35.0;-12.0;135.0;112.0;;112.0;;9.0;5.0;-2.0;0.0;2.0;0.0;;;-0.0;-0.0;-1.0;-10.0;-3.0;16.0;-3.0;-1.0;;;-16.0;22.0;0.0;44.0;24.0;;
2011.0;113.0;46.0;20.0;15.0;15.0;15.0;37.0;63.0;134.0;26.0;28.0;105.0;15.0;-30.0;-1.0;-15.0;10.0;67.0;40.65;31.0;2.0;29.0;9.0;20.0;;99.0;;-0.0;5.0;17.23;12.99;0.0;13.29;-0.0;13.27;0.41;0.41;36.0;;29.0;3.0;32.0;28.0;;3.0;2.0;39.0;26.0;64.0;;;4.0;71.0;;4.0;0.0;;4.0;18.0;0.0;;;3.0;3.0;;;;1.0;-20.0;;125.0;134.0;0.0;134.0;;15.0;5.0;;1.0;-6.0;-7.0;;0.0;-0.0;0.0;-6.0;-24.0;-24.0;24.0;-5.0;;;-0.0;;-0.0;0.0;29.0;44.0;;
2012.0;126.0;53.0;24.0;16.0;17.0;16.0;37.0;74.0;152.0;29.0;34.0;118.0;23.0;-10.0;-3.0;9.0;17.0;73.0;41.93;37.0;3.0;34.0;11.0;23.0;;110.0;0.0;0.0;7.0;18.79;12.98;0.0;13.1;0.0;12.81;0.44;0.44;37.0;;38.0;1.0;39.0;35.0;;;2.0;44.0;30.0;74.0;;;3.0;79.0;;5.0;0.0;;4.0;20.0;0.0;;1.0;5.0;5.0;;;;1.0;-8.0;-13.0;138.0;152.0;0.0;152.0;;16.0;7.0;;1.0;-1.0;0.0;;1.0;-0.0;0.0;-5.0;-7.0;-1.0;4.0;-5.0;;;;-4.0;0.0;-0.0;38.0;29.0;;
2013.0;145.0;59.0;26.0;19.0;18.0;16.0;37.0;73.0;167.0;28.0;38.0;128.0;22.0;-22.0;-3.0;-3.0;17.0;86.0;40.75;40.0;4.0;36.0;13.0;23.0;;126.0;0.0;1.0;8.0;18.22;13.19;-1.0;12.71;2.0;10.95;0.43;0.43;37.0;;35.0;1.0;36.0;33.0;;4.0;2.0;55.0;33.0;88.0;;2.0;3.0;94.0;;4.0;1.0;;3.0;20.0;2.0;;2.0;5.0;10.0;;;;1.0;0.0;-14.0;140.0;166.0;1.0;167.0;;16.0;8.0;;0.0;-3.0;0.0;;-1.0;-1.0;1.0;-5.0;-17.0;;;-5.0;-0.0;;;-8.0;5.0;0.0;35.0;38.0;;
2014.0;164.0;65.0;27.0;21.0;19.0;16.0;43.0;129.0;224.0;26.0;36.0;185.0;18.0;-26.0;46.0;37.0;13.0;100.0;39.3;44.0;5.0;39.0;15.0;25.0;;144.0;0.0;0.0;9.0;16.31;12.61;-2.0;11.49;2.0;9.45;0.36;0.36;43.0;;73.0;12.0;84.0;42.0;;2.0;2.0;55.0;33.0;88.0;;2.0;4.0;95.0;;4.0;3.0;;3.0;16.0;0.0;;4.0;6.0;11.0;;;;1.0;7.0;-5.0;182.0;222.0;3.0;224.0;;16.0;9.0;;2.0;-9.0;-9.0;;-0.0;1.0;1.0;-5.0;-9.0;-12.0;1.0;-4.0;-3.0;55.0;;-9.0;3.0;-1.0;73.0;35.0;;
2015.0;176.0;63.0;30.0;21.0;21.0;16.0;44.0;135.0;240.0;28.0;47.0;191.0;20.0;-17.0;-12.0;-10.0;15.0;113.0;35.68;41.0;5.0;36.0;13.0;23.0;;155.0;0.0;-0.0;10.0;16.87;12.18;-1.0;11.79;4.0;9.2;0.37;0.36;44.0;;62.0;14.0;77.0;56.0;;2.0;2.0;63.0;34.0;97.0;;3.0;3.0;105.0;;6.0;0.0;;4.0;18.0;3.0;;6.0;9.0;18.0;;;;1.0;16.0;-7.0;181.0;238.0;2.0;240.0;;16.0;10.0;;0.0;-8.0;-10.0;;2.0;1.0;1.0;-5.0;-9.0;-5.0;3.0;-4.0;-3.0;;;-8.0;-1.0;-1.0;62.0;73.0;;
2016.0;202.0;68.0;28.0;21.0;21.0;12.0;45.0;158.0;316.0;45.0;120.0;196.0;28.0;-36.0;22.0;13.0;23.0;133.0;33.85;47.0;6.0;41.0;18.0;24.0;;181.0;0.0;0.0;12.0;13.85;10.46;-0.0;10.24;4.0;5.9;0.27;0.27;44.0;;75.0;13.0;88.0;68.0;;3.0;3.0;91.0;56.0;147.0;;4.0;4.0;158.0;;8.0;6.0;;4.0;27.0;30.0;;12.0;33.0;75.0;;;;1.0;20.0;-7.0;182.0;316.0;0.0;316.0;;12.0;12.0;;0.0;-1.0;-3.0;;1.0;-1.0;5.0;-5.0;-31.0;-9.0;11.0;-5.0;;;;-8.0;30.0;-1.0;75.0;62.0;;
2017.0;258.0;83.0;37.0;26.0;24.0;15.0;45.0;182.0;343.0;59.0;129.0;210.0;26.0;-12.0;-14.0;1.0;20.0;175.0;32.14;57.0;7.0;50.0;23.0;27.0;;232.0;0.0;1.0;14.0;14.17;10.06;-2.0;9.39;6.0;5.98;0.35;0.35;44.0;;76.0;15.0;91.0;88.0;;3.0;3.0;98.0;51.0;149.0;;3.0;5.0;161.0;;12.0;10.0;;6.0;32.0;28.0;;11.0;31.0;70.0;;;;1.0;26.0;-20.0;204.0;339.0;3.0;343.0;;15.0;14.0;;0.0;-6.0;-18.0;;4.0;3.0;3.0;-5.0;-7.0;-6.0;4.0;-3.0;-8.0;;;-9.0;3.0;2.0;76.0;75.0;;
2018.0;284.0;89.0;41.0;32.0;32.0;20.0;47.0;211.0;362.0;53.0;114.0;244.0;24.0;-20.0;8.0;11.0;20.0;196.0;31.23;57.0;6.0;51.0;24.0;27.0;;253.0;0.0;1.0;13.0;14.24;11.15;0.0;11.2;7.0;6.99;0.39;0.39;47.0;;87.0;27.0;114.0;94.0;;4.0;3.0;95.0;41.0;136.0;;2.0;10.0;151.0;;14.0;9.0;;5.0;25.0;19.0;;10.0;31.0;61.0;;;;1.0;31.0;-6.0;218.0;358.0;4.0;362.0;;20.0;13.0;;0.0;-14.0;-16.0;;2.0;-2.0;5.0;-5.0;-1.0;-18.0;4.0;-4.0;-7.0;35.0;;-14.0;-6.0;-2.0;87.0;76.0;;
2019.0;326.0;102.0;42.0;34.0;32.0;20.0;49.0;205.0;405.0;67.0;140.0;248.0;46.0;-15.0;-37.0;-5.0;40.0;224.0;31.36;68.0;8.0;60.0;30.0;30.0;;292.0;0.0;0.0;14.0;12.76;10.33;-1.0;9.97;7.0;6.22;0.26;0.26;49.0;;82.0;14.0;96.0;105.0;;4.0;19.0;118.0;51.0;169.0;;2.0;10.0;200.0;;11.0;7.0;;9.0;40.0;16.0;;11.0;46.0;73.0;;15.0;;1.0;28.0;-23.0;242.0;388.0;17.0;405.0;;20.0;14.0;;0.0;6.0;16.0;;-5.0;1.0;5.0;-6.0;-23.0;-1.0;13.0;-4.0;-14.0;0.0;;-15.0;-8.0;1.0;82.0;87.0;;
2020.0;371.0;110.0;47.0;41.0;37.0;25.0;49.0;211.0;447.0;85.0;178.0;260.0;52.0;-10.0;-40.0;6.0;46.0;262.0;29.52;68.0;9.0;59.0;28.0;31.0;;330.0;0.0;1.0;14.0;12.67;10.93;-3.0;10.08;7.0;6.79;0.49;0.49;49.0;;88.0;2.0;90.0;118.0;;4.0;30.0;136.0;53.0;189.0;;6.0;10.0;236.0;;14.0;;;9.0;62.0;13.0;;18.0;63.0;94.0;;25.0;;1.0;40.0;-11.0;231.0;439.0;9.0;447.0;;25.0;14.0;;;8.0;-1.0;;2.0;-3.0;5.0;-6.0;-17.0;;13.0;-3.0;-9.0;;;-13.0;-18.0;3.0;88.0;82.0;;
2021.0;480.0;133.0;58.0;51.0;45.0;29.0;49.0;247.0;492.0;106.0;216.0;265.0;40.0;-18.0;-21.0;-0.0;36.0;347.0;27.69;79.0;9.0;70.0;;;;427.0;;3.0;15.0;11.97;10.67;-6.0;9.42;10.0;6.11;0.52;0.52;49.0;;88.0;7.0;95.0;152.0;;;30.0;;;198.0;;8.0;9.0;245.0;;25.0;19.0;;11.0;52.0;43.0;;18.0;49.0;110.0;;25.0;;;;;;482.0;10.0;492.0;;29.0;15.0;;1.0;-10.0;-25.0;;9.0;-1.0;6.0;-5.0;-8.0;-5.0;;-3.0;-14.0;;;-22.0;15.0;-1.0;88.0;88.0;;
