;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CLP/USD)
2010.0;698.0;;669.0;294.0;303.0;262.0;161.0;12460.0;15231.0;1076.0;14052.0;1173.0;-252.0;-9.0;586.0;325.0;-265.0;;;;;252.0;252.0;;;;828.0;349.0;15.0;95.89;42.15;9.0;43.45;43.0;37.52;1.65;1.58;154.0;;432.0;170.0;602.0;;;11857.0;114.0;;28.0;28.0;2630.0;;;2772.0;18003.0;;1076.0;;;;2596.0;;45.0;;2642.0;15618.0;;;731.0;392.0;-6.0;56.0;15225.0;6.0;15231.0;;262.0;15.0;;;-66.0;;;;-15.0;-463.0;-13.0;;;;4.0;-128.0;;;-182.0;896.0;;841.0;516.0;;0.0;2116.56;794.04;-803.27;551.45;38.49;3559.18;154.0;0.0;0.0;3202.4;326664.0;42.2;7117.0;122550.0;14.3;37.5;5329464.0;1215435.0;549314.0;4.0;4.3;22.3;30.6;-68.7;0.002
2011.0;642.0;;934.0;;271.0;229.0;170.0;14977.0;17102.0;1277.0;15673.0;1423.0;-352.0;-20.0;642.0;271.0;-373.0;;;;;279.0;279.0;;;;1017.0;646.0;14.0;145.44;;;42.12;45.0;35.69;1.39;1.39;170.0;;696.0;;696.0;;;14281.0;110.0;;24.0;24.0;1991.0;;;2125.0;19226.0;;1277.0;;;;2930.0;;49.0;;2979.0;17375.0;;;976.0;191.0;-11.0;268.0;17097.0;5.0;17102.0;;229.0;14.0;;;-248.0;;;;-27.0;-348.0;-21.0;;;;1.0;-119.0;;;-229.0;990.0;;1028.0;758.0;;0.0;1969.2;702.8;-1142.74;702.21;64.36;4363.9;170.0;0.0;0.0;3178.9;333831.0;;7461.0;119142.0;16.6;35.7;7120760.0;1522773.0;739793.0;4.9;5.4;16.1;0.1;-61.4;0.002
2012.0;933.0;;1390.0;298.0;296.0;249.0;197.0;24166.0;28230.0;643.0;26125.0;1991.0;574.0;-1022.0;863.0;415.0;525.0;;;;;453.0;437.0;16.0;39.0;;1592.0;1056.0;38.0;149.07;31.92;-1.0;31.79;48.0;26.65;1.27;1.27;197.0;;1344.0;2322.0;3666.0;810.0;;19691.0;172.0;420.0;586.0;1005.0;2887.0;;;4063.0;32293.0;96.0;308.0;19.0;238.0;;5961.0;5.0;246.0;;6211.0;31694.0;;;1332.0;151.0;509.0;;28116.0;113.0;28230.0;;249.0;38.0;-26.0;;202.0;1592.0;;-1051.0;4345.0;111.0;-49.0;-994.0;;;21.0;-1457.0;558.0;;-256.0;2017.0;;1530.0;1115.0;;0.0;2264.26;603.42;1274.56;622.4;119.03;4834.13;197.0;0.0;0.0;3151.4;446918.0;31.9;18092.0;119102.0;16.1;26.6;11271525.0;2856125.0;954157.0;4.1;4.8;12.5;-3.1;-57.5;0.002
2013.0;1337.0;;1558.0;454.0;456.0;309.0;240.0;28495.0;33269.0;501.0;29974.0;2714.0;424.0;-528.0;1236.0;1131.0;358.0;;;;;593.0;580.0;13.0;75.0;;1917.0;1046.0;80.0;116.49;33.94;2.0;34.12;123.0;23.11;1.29;1.29;240.0;;1948.0;1692.0;3640.0;2272.0;;22582.0;187.0;784.0;809.0;1593.0;2995.0;;;4774.0;38044.0;276.0;225.0;86.0;;;7019.0;11.0;342.0;;7372.0;36844.0;;;1487.0;299.0;928.0;;32688.0;582.0;33269.0;;309.0;80.0;-10.0;;-31.0;1918.0;;-1059.0;-909.0;75.0;-65.0;-486.0;;;23.0;-513.0;554.0;;-114.0;1310.0;;2526.0;1395.0;;0.0;2931.23;677.52;785.36;250.45;143.35;5949.17;240.0;0.0;0.0;1355.2;702706.0;33.9;42288.0;162422.0;26.9;23.1;14710193.0;3688397.0;1426199.0;3.4;4.5;11.4;63.0;-122.8;0.002
2014.0;1632.0;;1741.0;564.0;587.0;385.0;242.0;28735.0;33508.0;425.0;30559.0;2413.0;-557.0;-176.0;849.0;170.0;-602.0;;;;;725.0;712.0;13.0;48.0;;2173.0;1134.0;85.0;106.66;34.58;22.0;35.95;136.0;23.6;1.6;1.6;242.0;;2275.0;1904.0;4179.0;2116.0;;22439.0;152.0;636.0;612.0;1247.0;3373.0;;;4773.0;38281.0;263.0;162.0;;;;7425.0;12.0;298.0;;7734.0;37867.0;;;1286.0;440.0;686.0;;32971.0;536.0;33508.0;;385.0;85.0;-32.0;;-1181.0;1996.0;;-1210.0;725.0;185.0;-45.0;-138.0;;;7.0;-113.0;;;-146.0;1108.0;53.0;2355.0;2185.0;;0.0;4103.26;968.19;-1512.52;365.78;112.51;6064.59;242.0;0.0;0.0;2005.4;991699.0;34.6;51613.0;233997.0;23.2;23.6;17198801.0;4510973.0;1465725.0;3.9;5.0;16.0;62.2;-24.2;0.002
2015.0;1388.0;;1459.0;471.0;473.0;305.0;242.0;24837.0;29336.0;302.0;27171.0;1721.0;338.0;-48.0;-579.0;-299.0;285.0;;;;;595.0;584.0;11.0;33.0;;1832.0;957.0;60.0;105.1;33.93;2.0;34.06;136.0;21.97;1.27;1.27;242.0;;1666.0;2714.0;4380.0;1831.0;;18626.0;129.0;487.0;451.0;938.0;3431.0;;;4498.0;33834.0;190.0;112.0;60.0;;;6706.0;11.0;57.0;;6774.0;33643.0;;;1102.0;201.0;418.0;;28892.0;444.0;29336.0;;305.0;60.0;-59.0;;-503.0;1747.0;;-975.0;266.0;535.0;-53.0;;-1.0;;6.0;-354.0;;;-498.0;272.0;-10.0;1718.0;2017.0;;0.0;4073.8;895.05;837.07;1460.53;154.18;5050.16;242.0;0.0;0.0;9453.3;984579.0;33.9;42905.0;216321.0;28.8;22.0;17400445.0;4756139.0;1220552.0;3.5;4.8;17.7;-63.2;174.5;0.001
2016.0;1303.0;;1409.0;16.0;16.0;21.0;295.0;36167.0;43133.0;412.0;38025.0;4752.0;-1461.0;2371.0;1305.0;2225.0;-1617.0;;;;;720.0;720.0;;29.0;;2252.0;1298.0;95.0;108.13;1.25;;1.25;-5.0;1.65;0.07;0.07;295.0;;2436.0;3095.0;5531.0;2457.0;;28180.0;181.0;1709.0;700.0;2409.0;4376.0;;;6966.0;50098.0;284.0;129.0;3.0;;;11399.0;10.0;86.0;;11495.0;49107.0;;;2779.0;18.0;1954.0;;42776.0;357.0;43133.0;;21.0;95.0;;;-964.0;;;;-1438.0;-613.0;-157.0;;;;2528.0;-412.0;586.0;;-78.0;1209.0;9.0;3158.0;933.0;;0.0;2963.04;48.87;-3677.18;176.96;356.7;10802.85;295.0;0.3;0.0;1395.6;873522.0;1.2;63692.0;14407.0;-32.7;1.6;23964431.0;7640123.0;3184743.0;4.1;3.1;0.5;-262.1;31.4;0.001
2017.0;1715.0;;1558.0;;16.0;110.0;364.0;37425.0;45497.0;675.0;39932.0;5212.0;-2257.0;-141.0;567.0;-1691.0;-2399.0;;;;;955.0;955.0;;67.0;;2672.0;1401.0;133.0;90.88;;;0.94;-86.0;6.42;0.3;0.3;364.0;;1819.0;4323.0;6142.0;2672.0;;28610.0;212.0;1829.0;708.0;2536.0;5324.0;;;8072.0;53570.0;565.0;110.0;1.0;;;13221.0;13.0;43.0;;13277.0;52534.0;;;3023.0;103.0;2086.0;;45145.0;353.0;45497.0;;110.0;133.0;;;-2863.0;;;;-3561.0;363.0;-141.0;;;;;-1179.0;;;-1.0;1747.0;141.0;1745.0;3435.0;;0.0;2903.67;186.39;-4062.09;1.7;239.53;8826.22;364.0;0.1;0.0;12.6;1056518.0;;81845.0;67821.0;-531.2;6.4;22642997.0;8146168.0;3211477.0;20.2;3.2;2.1;99.1;-0.0;0.002
2018.0;1758.0;;1694.0;;337.0;247.0;364.0;35424.0;42196.0;643.0;37250.0;4633.0;1001.0;-60.0;-647.0;414.0;882.0;;;;;705.0;682.0;22.0;38.0;;2503.0;1226.0;125.0;96.31;;;19.14;96.0;14.02;0.68;0.68;364.0;;1880.0;3824.0;5703.0;2152.0;;27569.0;186.0;1634.0;702.0;2336.0;4249.0;;;6772.0;48968.0;566.0;77.0;;;;11998.0;13.0;1.0;;12012.0;48618.0;;;2681.0;72.0;1880.0;;41882.0;314.0;42196.0;;247.0;125.0;;;-160.0;;;;1418.0;790.0;-119.0;;;0.0;59.0;-1311.0;;;-33.0;698.0;120.0;1961.0;1547.0;;0.0;3358.34;470.88;1684.19;63.15;227.98;8848.21;364.0;0.0;0.0;429.6;1221953.0;;86817.0;171331.0;28.7;14.0;24170400.0;8337847.0;3219478.0;2.7;3.7;5.3;86.6;3.7;0.001
2019.0;1625.0;;1544.0;;229.0;151.0;364.0;36797.0;44668.0;750.0;40247.0;4295.0;471.0;-419.0;-93.0;113.0;384.0;;;;;606.0;587.0;19.0;41.0;;2357.0;1161.0;169.0;95.04;;;14.1;64.0;9.3;0.42;0.42;364.0;;1649.0;4783.0;6432.0;1937.0;;28428.0;374.0;1530.0;774.0;2303.0;5194.0;;;7871.0;52538.0;695.0;54.0;27.0;;;12281.0;19.0;0.0;;12300.0;51798.0;230.0;;2476.0;167.0;1652.0;;44542.0;126.0;44668.0;;151.0;169.0;;;-744.0;;;;1485.0;895.0;-87.0;-356.0;;2.0;22.0;-888.0;;;-68.0;863.0;154.0;1924.0;1811.0;;0.0;3360.0;312.44;793.67;141.12;180.61;8882.33;364.0;0.0;0.0;1194.9;1222556.0;;127166.0;113684.0;27.8;9.3;27123833.0;9240992.0;3231893.0;2.3;3.1;3.5;54.8;17.8;0.001
2020.0;1421.0;;-161.0;;-1324.0;-1137.0;364.0;41943.0;49894.0;;46543.0;3254.0;2014.0;-93.0;2207.0;4300.0;1919.0;;;;;688.0;670.0;18.0;82.0;;2179.0;961.0;178.0;-11.31;;;-93.15;-162.0;-80.03;-3.12;-3.12;364.0;;4587.0;5583.0;10170.0;1912.0;;29862.0;334.0;692.0;355.0;1048.0;6569.0;;;7951.0;57845.0;471.0;;2.0;;;14279.0;19.0;0.0;;14298.0;60841.0;214.0;;2619.0;-1084.0;1719.0;;49797.0;97.0;49894.0;;-1137.0;178.0;-154.0;;422.0;;;;-673.0;2706.0;-95.0;;-0.0;;2.0;-1362.0;;;-179.0;3748.0;172.0;6336.0;2036.0;;0.0;2777.55;-2222.81;3751.7;349.28;185.99;6360.33;364.0;-0.0;-0.0;7113.5;1010628.0;;126444.0;-808784.0;12.2;-80.0;29831446.0;10155719.0;2314248.0;-0.6;-0.7;-34.9;115.7;;0.001
