;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CLP/USD)
2010.0;2491.0;;1759.0;;991.0;892.0;491.0;35283.0;39039.0;2737.0;35419.0;3619.0;-235.0;280.0;-144.0;-99.0;-294.0;;;;;1005.0;1005.0;;;;2333.0;693.0;75.0;70.63;;;39.8;99.0;35.82;1.82;1.82;491.0;;2568.0;;2568.0;;;32715.0;439.0;;;186.0;3130.0;;;3756.0;42794.0;;2737.0;;;;3768.0;;;;3768.0;36451.0;;;2475.0;1126.0;18.0;;39039.0;0.0;39039.0;;892.0;75.0;;;-1038.0;;;;-322.0;-163.0;-59.0;-0.0;;;339.0;-2545.0;;;-617.0;3017.0;;2226.0;2324.0;;0.0;2376.35;851.11;-280.3;588.31;56.0;3453.07;491.0;0.0;0.0;2686.4;1166006.0;;34964.0;417614.0;10.0;35.8;15236876.0;1764165.0;1694323.0;4.2;4.3;24.6;30.9;-209.9;0.002
2011.0;2426.0;;2238.0;;969.0;843.0;499.0;37879.0;41877.0;3253.0;37951.0;3926.0;-861.0;-644.0;1755.0;250.0;-922.0;;;;;1057.0;1006.0;51.0;;;2889.0;1201.0;68.0;92.22;;;39.94;126.0;34.75;1.65;1.65;499.0;;2414.0;;2414.0;37.0;;35427.0;400.0;32.0;124.0;156.0;3442.0;;;3998.0;45875.0;;3253.0;;;;4595.0;10.0;45.0;;4650.0;39347.0;;;2763.0;721.0;1.0;441.0;41877.0;0.0;41877.0;;843.0;68.0;;;-1968.0;;;;-44.0;196.0;-61.0;;;;-602.0;-893.0;;;-537.0;3185.0;;2254.0;2005.0;;0.0;2525.06;877.36;-959.36;559.06;63.41;4085.92;499.0;0.0;0.0;2204.5;1261111.0;;35130.0;438186.0;13.0;34.7;17996477.0;2388341.0;2040667.0;4.9;5.2;21.5;36.3;-58.3;0.002
2012.0;2798.0;;2683.0;;1130.0;998.0;539.0;44590.0;48415.0;;43499.0;4916.0;-868.0;401.0;100.0;-433.0;-925.0;;;;;1144.0;1080.0;64.0;;;3491.0;1479.0;73.0;95.86;;;40.39;132.0;35.66;1.81;1.81;539.0;;2131.0;2655.0;4786.0;69.0;;39735.0;585.0;35.0;123.0;158.0;3082.0;;;3824.0;52239.0;232.0;;53.0;;;9146.0;23.0;58.0;;9228.0;52726.0;;;3400.0;842.0;673.0;;48415.0;0.0;48415.0;;998.0;73.0;;;-2549.0;;;;2084.0;610.0;-57.0;-0.0;-0.0;;439.0;-3002.0;249.0;;-619.0;3473.0;-66.0;2013.0;2445.0;;0.0;2489.87;887.85;-822.79;551.15;50.32;4374.0;539.0;0.0;0.0;2012.2;1340829.0;;35146.0;478120.0;11.7;35.7;21365701.0;4382596.0;2355460.0;4.8;5.4;20.3;37.9;-40.1;0.002
2013.0;2809.0;;2610.0;;1217.0;1047.0;522.0;44606.0;49238.0;;44139.0;5098.0;-266.0;-779.0;1467.0;537.0;-300.0;;;;;1072.0;1017.0;55.0;;;3361.0;1340.0;53.0;92.9;;;43.31;170.0;37.27;1.87;1.87;522.0;;2348.0;3201.0;5548.0;45.0;;39012.0;518.0;32.0;106.0;137.0;3976.0;;;4632.0;53869.0;190.0;;20.0;;;10193.0;17.0;70.0;;10280.0;54419.0;;;3519.0;878.0;701.0;;49238.0;0.0;49238.0;;1047.0;53.0;;;-1626.0;;;;2024.0;260.0;-34.0;-3.0;-3.0;;-750.0;-2905.0;255.0;;-654.0;4770.0;115.0;2373.0;1835.0;;0.0;2828.41;1054.17;-301.9;658.06;34.03;5133.07;522.0;0.0;0.0;2284.9;1476195.0;;27677.0;550188.0;13.9;37.3;23439760.0;5356415.0;2679037.0;4.5;5.2;20.5;37.6;-132.9;0.002
2014.0;2734.0;;2464.0;;1111.0;980.0;519.0;41219.0;45399.0;;40608.0;4791.0;-378.0;81.0;621.0;401.0;-430.0;;;;;1059.0;1010.0;48.0;;;3367.0;1298.0;54.0;90.13;;;40.66;131.0;35.86;1.87;1.87;519.0;;2329.0;2648.0;4977.0;46.0;;36197.0;481.0;28.0;83.0;110.0;3589.0;;;4180.0;49580.0;199.0;;38.0;;;10134.0;20.0;58.0;;10211.0;50819.0;;;3201.0;796.0;794.0;;45399.0;0.0;45399.0;;980.0;54.0;;;-1299.0;;;;468.0;-113.0;-52.0;-11.0;-11.0;;155.0;-3277.0;;;-606.0;4504.0;76.0;2453.0;2052.0;;0.0;3198.27;1146.89;-502.76;708.95;60.69;5606.13;519.0;0.0;0.0;2900.8;1660695.0;;32787.0;595518.0;11.8;35.9;25042004.0;6156663.0;2910973.0;4.7;5.3;20.5;38.2;-141.0;0.002
2015.0;2338.0;;1980.0;;976.0;860.0;527.0;40552.0;43791.0;;39314.0;4477.0;-2312.0;800.0;1711.0;310.0;-2368.0;;;;;929.0;883.0;46.0;;;2691.0;959.0;45.0;84.7;;;41.75;116.0;36.79;1.49;1.49;527.0;;2689.0;1420.0;4109.0;41.0;;36402.0;470.0;24.0;68.0;91.0;2679.0;;;3239.0;47031.0;171.0;;39.0;;;10761.0;18.0;46.0;;10825.0;50139.0;;;2878.0;715.0;884.0;;43791.0;0.0;43791.0;;860.0;45.0;;;-3059.0;;;;1169.0;-158.0;-56.0;-0.0;-0.0;;845.0;-1866.0;;;-518.0;4096.0;110.0;2411.0;2101.0;;0.0;3144.18;1156.72;-3185.68;696.88;75.85;6022.2;527.0;0.0;0.0;3276.4;1657830.0;;31822.0;609903.0;11.9;36.8;28760127.0;7631829.0;3175322.0;3.9;4.4;19.2;39.8;-21.9;0.001
2016.0;2557.0;;2090.0;;1007.0;858.0;512.0;43506.0;46785.0;;41850.0;4935.0;243.0;781.0;-1062.0;-82.0;184.0;;;;;1059.0;1011.0;49.0;;;2860.0;1030.0;53.0;81.77;;;39.41;150.0;33.56;1.61;1.61;512.0;;2676.0;559.0;3235.0;107.0;;40164.0;481.0;25.0;72.0;97.0;2701.0;;;3279.0;50064.0;213.0;;;;;10769.0;15.0;36.0;;10820.0;52670.0;;;3190.0;708.0;1037.0;;46785.0;0.0;46785.0;;858.0;53.0;-69.0;;-929.0;;;;338.0;330.0;-58.0;-2.0;-2.0;;826.0;-2686.0;;;-547.0;2171.0;-43.0;2470.0;2551.0;;0.0;3344.68;1122.46;241.01;715.69;76.26;6456.38;512.0;0.0;0.0;3330.3;1713518.0;;35575.0;575051.0;14.8;33.6;29159543.0;7217950.0;3307673.0;3.7;4.4;17.4;36.2;297.0;0.001
2017.0;2734.0;;2235.0;;1116.0;928.0;508.0;47012.0;52847.0;;47093.0;5754.0;1416.0;-1921.0;215.0;-352.0;1348.0;;;;;1163.0;1113.0;50.0;;;3062.0;1058.0;61.0;81.74;;;40.81;187.0;33.96;1.83;1.83;508.0;;2414.0;2477.0;4892.0;247.0;;41873.0;559.0;27.0;90.0;118.0;5159.0;;;5835.0;58683.0;309.0;;7.0;;;12471.0;9.0;;;12480.0;59573.0;;;3686.0;753.0;1314.0;;52847.0;0.0;52847.0;;928.0;61.0;23.0;;-23.0;;;;56.0;426.0;-68.0;;;;-1883.0;-1678.0;;;-555.0;2448.0;-62.0;2335.0;2686.0;;0.0;3313.66;1125.37;1633.84;672.83;82.63;6974.25;508.0;0.0;0.0;2494.7;1684492.0;;37536.0;572080.0;16.8;34.0;28966011.0;7684002.0;3545347.0;3.4;4.1;16.1;40.2;41.2;0.002
2018.0;2630.0;;2131.0;;1099.0;869.0;505.0;46585.0;51254.0;;45967.0;5286.0;-1921.0;599.0;928.0;-226.0;-1995.0;;;;;1096.0;1051.0;45.0;;;2879.0;978.0;54.0;81.03;;;41.77;230.0;33.03;1.7;1.7;505.0;;2167.0;1516.0;3682.0;133.0;;42770.0;457.0;24.0;99.0;123.0;4088.0;;;4668.0;55922.0;254.0;;30.0;;;12940.0;8.0;;;12948.0;58915.0;;;3481.0;609.0;1197.0;;51254.0;0.0;51254.0;;869.0;54.0;-7.0;;-3357.0;;;;1565.0;520.0;-74.0;;;;640.0;-1626.0;;;-538.0;3092.0;167.0;1844.0;2070.0;;0.0;3618.15;1195.11;-2744.73;740.63;102.12;7273.45;505.0;0.0;0.0;2371.5;1827476.0;;37681.0;603633.0;20.9;33.0;32373447.0;8992311.0;3673715.0;3.2;4.1;16.4;38.0;-27.0;0.001
2019.0;2658.0;;2113.0;;1033.0;802.0;505.0;49339.0;54507.0;;49317.0;5191.0;1846.0;-527.0;1066.0;2431.0;1758.0;;;;;1056.0;1019.0;37.0;;;2809.0;986.0;94.0;79.51;;;38.87;231.0;30.19;1.56;1.56;505.0;;4252.0;1816.0;6068.0;123.0;;43148.0;678.0;22.0;100.0;122.0;4369.0;;;5169.0;59676.0;308.0;;107.0;;;13985.0;167.0;;;14151.0;63468.0;194.0;;3215.0;766.0;1210.0;;54507.0;0.0;54507.0;;802.0;94.0;-78.0;;287.0;;;;2927.0;741.0;-88.0;-1.0;;;-466.0;-2006.0;;;-474.0;3546.0;46.0;4134.0;1703.0;;0.0;3959.71;1195.33;2618.97;705.45;131.0;7732.87;505.0;0.0;0.0;2508.7;1999993.0;;70541.0;603744.0;22.3;30.2;37124701.0;10522704.0;3905760.0;2.9;3.7;15.5;41.0;26.9;0.001
2020.0;2696.0;;1600.0;;710.0;565.0;505.0;55196.0;64045.0;;58425.0;5620.0;-3476.0;296.0;2055.0;-1174.0;-3544.0;;;;;1044.0;1011.0;33.0;;;2639.0;787.0;103.0;59.36;;;26.33;145.0;20.95;1.29;1.29;505.0;;4156.0;1502.0;5658.0;2319.0;;47219.0;594.0;23.0;109.0;132.0;8122.0;;;8848.0;72893.0;384.0;;9.0;;;13030.0;97.0;;;13127.0;71552.0;162.0;;3401.0;922.0;1297.0;;64045.0;0.0;64045.0;;565.0;103.0;-83.0;;-4951.0;;;;-769.0;890.0;-67.0;;;;337.0;-3150.0;;;-493.0;5698.0;-48.0;3199.0;4373.0;;0.0;3796.47;795.17;-4989.87;694.02;94.93;7913.67;505.0;0.0;0.0;3872.9;1917540.0;;73357.0;401629.0;20.4;20.9;39257819.0;9267765.0;3997080.0;1.9;2.3;10.0;12.7;-13.9;0.001
2021.0;2591.0;;2183.0;;1139.0;929.0;505.0;50830.0;60595.0;;55646.0;4949.0;2847.0;-3399.0;1577.0;1406.0;2770.0;;;;;862.0;826.0;36.0;;;2793.0;955.0;90.0;84.24;;;43.94;209.0;35.86;1.84;1.84;505.0;;5372.0;3580.0;8952.0;145.0;;41734.0;489.0;;85.0;85.0;9191.0;;;9765.0;70360.0;258.0;;154.0;;;11823.0;81.0;;;11904.0;67550.0;112.0;;2835.0;1318.0;797.0;;60595.0;0.0;60595.0;;929.0;90.0;-91.0;;1956.0;;;;3915.0;-37.0;-77.0;-9.0;;;-3348.0;-1659.0;;;-258.0;3495.0;381.0;8542.0;7135.0;;0.0;4377.77;1569.88;4679.78;436.11;130.28;8360.99;505.0;0.0;0.0;2168.6;2211149.0;;76798.0;792922.0;18.4;35.9;43370674.0;10087980.0;4223013.0;2.8;3.5;18.8;72.2;9.3;0.001
