;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (TWD/USD)
2011.0;7177.0;2837.0;2938.0;1818.0;1871.0;1587.0;781.0;3516.0;14616.0;1956.0;2306.0;12168.0;2487.0;-1092.0;-2169.0;-775.0;1582.0;4341.0;39.52;1019.0;116.0;903.0;138.0;765.0;;5359.0;23.0;1.0;1066.0;40.94;25.33;53.0;26.07;284.0;22.11;1.99;1.99;779.0;;2224.0;40.0;2264.0;740.0;172.0;340.0;9986.0;8.0;201.0;209.0;621.0;11.0;273.0;11101.0;;471.0;26.0;117.0;;1460.0;35.0;85.0;;230.0;350.0;;;;2560.0;3824.0;190.0;5595.0;14474.0;142.0;14616.0;;1587.0;1066.0;2.0;;-163.0;-274.0;-22.0;78.0;6.0;-5.0;-905.0;;-385.0;208.0;-29.0;-56.0;;-640.0;-1414.0;-59.0;-0.0;2224.0;2999.0;;0.03;279.22;61.74;61.53;55.02;35.22;473.38;779.0;0.5;0.0;169.0;217493.0;25.3;32306.0;48095.0;15.2;22.1;47259.0;1058.0;368731.0;12.7;12.9;13.0;10.9;129.9;0.033
2012.0;7570.0;2715.0;2762.0;1682.0;1682.0;1372.0;778.0;3473.0;15113.0;1953.0;2391.0;12568.0;2323.0;-1337.0;-1473.0;-488.0;1159.0;4855.0;35.87;1033.0;127.0;906.0;138.0;768.0;;5888.0;26.0;1.0;1119.0;36.48;22.22;-1.0;22.21;270.0;18.13;2.1;2.09;776.0;;1830.0;224.0;2053.0;914.0;384.0;122.0;10443.0;8.0;191.0;200.0;715.0;15.0;267.0;11639.0;;530.0;4.0;114.0;425.0;994.0;70.0;261.0;;108.0;439.0;;;;2668.0;3900.0;169.0;5831.0;14959.0;154.0;15113.0;;1372.0;1119.0;-4.0;0.0;-220.0;-17.0;-67.0;0.0;8.0;57.0;-1165.0;1.0;-289.0;150.0;-55.0;-4.0;;;-1457.0;-13.0;-1.0;1830.0;2318.0;;0.03;283.77;51.44;43.43;54.61;43.66;471.09;776.0;0.6;0.0;176.0;220131.0;22.2;32525.0;39904.0;16.1;18.1;44211.0;2050.0;365442.0;10.6;11.0;10.9;-6.2;125.7;0.034
2013.0;7640.0;2704.0;2688.0;1597.0;1645.0;1390.0;777.0;2028.0;14777.0;2039.0;2608.0;12006.0;2523.0;-1648.0;-1423.0;-548.0;-32.0;4936.0;35.39;1109.0;125.0;984.0;140.0;843.0;;6044.0;19.0;1.0;1079.0;35.18;20.91;48.0;21.54;217.0;18.2;1.72;1.71;776.0;;489.0;255.0;744.0;814.0;364.0;107.0;10144.0;5.0;1482.0;1488.0;547.0;50.0;520.0;12749.0;;522.0;19.0;207.0;317.0;1181.0;47.0;286.0;3.0;233.0;569.0;;;;2600.0;3940.0;-5.0;5472.0;14615.0;162.0;14777.0;;1390.0;1079.0;;2.0;80.0;41.0;-29.0;70.0;-20.0;-29.0;-2555.0;-2.0;-675.0;1548.0;-1301.0;-54.0;;;-1391.0;22.0;-0.0;489.0;1037.0;;0.03;293.89;53.49;-1.25;53.5;98.3;461.87;776.0;0.6;0.0;169.4;227981.0;20.9;32192.0;41494.0;13.2;18.2;-342.0;1400.0;358294.0;11.1;11.0;11.6;-0.0;-4296.3;0.034
2014.0;7161.0;2472.0;2532.0;1416.0;1471.0;1168.0;777.0;2193.0;14109.0;1976.0;2553.0;11401.0;2256.0;-865.0;-1110.0;284.0;1206.0;4689.0;34.52;1076.0;111.0;966.0;139.0;826.0;;5765.0;9.0;1.0;1078.0;35.35;19.77;55.0;20.54;284.0;16.31;1.57;1.57;776.0;;744.0;214.0;958.0;832.0;318.0;85.0;9564.0;5.0;1348.0;1353.0;444.0;58.0;497.0;11916.0;;585.0;18.0;221.0;313.0;1059.0;60.0;258.0;4.0;255.0;577.0;;;;2451.0;4285.0;28.0;4636.0;13954.0;156.0;14109.0;;1168.0;1078.0;;3.0;11.0;-114.0;15.0;94.0;21.0;-5.0;-1049.0;-8.0;-15.0;155.0;32.0;-434.0;;;-1109.0;434.0;3.0;744.0;461.0;;0.03;292.12;47.66;49.21;45.25;42.8;465.09;776.0;0.6;0.0;148.1;226609.0;19.8;34114.0;36970.0;19.3;16.3;6893.0;1900.0;360788.0;9.8;10.4;10.2;5.1;92.0;0.032
2015.0;7056.0;2547.0;2576.0;1533.0;1581.0;1280.0;778.0;2320.0;13782.0;1916.0;2540.0;11089.0;2323.0;-927.0;-1193.0;204.0;1244.0;4509.0;36.1;1011.0;110.0;901.0;137.0;763.0;;5520.0;9.0;1.0;1018.0;36.51;21.73;48.0;22.41;277.0;18.14;1.68;1.67;776.0;;921.0;158.0;1079.0;821.0;324.0;95.0;9022.0;7.0;1529.0;1536.0;351.0;63.0;490.0;11463.0;;496.0;4.0;279.0;291.0;1125.0;53.0;254.0;5.0;312.0;624.0;;;;2361.0;4252.0;8.0;4467.0;13628.0;154.0;13782.0;;1280.0;1018.0;;1.0;-46.0;-36.0;-56.0;-68.0;54.0;70.0;-1080.0;-3.0;-381.0;497.0;-276.0;-105.0;;;-1147.0;59.0;1.0;921.0;717.0;;0.03;298.8;54.19;52.67;48.56;45.72;469.58;776.0;0.6;0.0;157.3;231795.0;21.7;33448.0;42039.0;17.5;18.1;13261.0;1742.0;364274.0;11.0;11.4;11.5;10.4;92.2;0.03
2016.0;7084.0;2539.0;2488.0;1482.0;1522.0;1247.0;777.0;2514.0;13765.0;1976.0;2464.0;11108.0;2001.0;-667.0;-1310.0;26.0;1268.0;4545.0;35.84;1042.0;117.0;926.0;140.0;786.0;;5587.0;6.0;1.0;1001.0;35.12;20.92;40.0;21.48;240.0;17.6;1.59;1.59;776.0;;958.0;214.0;1172.0;956.0;283.0;102.0;8968.0;7.0;1452.0;1458.0;251.0;72.0;502.0;11251.0;;579.0;4.0;201.0;310.0;1083.0;49.0;251.0;45.0;142.0;487.0;;;;2389.0;4186.0;-0.0;4533.0;13572.0;193.0;13765.0;;1247.0;1001.0;;1.0;-276.0;-142.0;36.0;77.0;-252.0;29.0;-733.0;5.0;-128.0;147.0;34.0;-47.0;;;-1311.0;48.0;2.0;958.0;932.0;;0.03;296.48;52.19;53.05;54.85;30.68;464.92;776.0;0.7;0.0;161.3;229991.0;20.9;32485.0;40485.0;15.8;17.6;17460.0;1600.0;360656.0;10.8;11.0;11.2;-5.1;103.4;0.031
2017.0;7667.0;2719.0;2655.0;1574.0;1618.0;1314.0;777.0;2674.0;15195.0;2155.0;2746.0;12164.0;2390.0;-1237.0;-1234.0;-77.0;1104.0;4948.0;35.46;1141.0;131.0;1010.0;156.0;855.0;;6090.0;7.0;1.0;1076.0;34.63;20.53;44.0;21.1;265.0;17.14;1.69;1.69;776.0;;971.0;179.0;1150.0;1078.0;367.0;78.0;9729.0;7.0;1843.0;1850.0;306.0;92.0;545.0;12522.0;;654.0;2.0;292.0;298.0;1201.0;54.0;279.0;48.0;210.0;592.0;;;;2614.0;4546.0;13.0;4991.0;14910.0;286.0;15195.0;;1314.0;1076.0;;1.0;-107.0;-40.0;-50.0;20.0;-18.0;107.0;-1287.0;;-223.0;263.0;-372.0;-237.0;;;-1292.0;295.0;4.0;971.0;1048.0;;0.03;293.28;50.26;42.22;49.42;49.22;465.28;776.0;0.7;0.0;145.1;227514.0;20.5;31930.0;38988.0;16.3;17.1;15395.0;1600.0;360936.0;10.4;10.6;10.8;1.7;117.0;0.034
2018.0;7044.0;2482.0;2479.0;1427.0;1471.0;1228.0;777.0;2997.0;15268.0;2067.0;2698.0;12248.0;2170.0;-1066.0;-1145.0;-39.0;1220.0;4562.0;35.24;1059.0;122.0;907.0;150.0;757.0;30.0;5621.0;6.0;1.0;1042.0;35.2;20.25;44.0;20.88;209.0;17.43;1.5;1.49;776.0;;904.0;311.0;1214.0;1143.0;573.0;66.0;9445.0;7.0;1659.0;1665.0;366.0;116.0;679.0;12271.0;;669.0;3.0;203.0;349.0;1045.0;52.0;239.0;65.0;275.0;631.0;;;;2536.0;4801.0;15.0;4896.0;14946.0;322.0;15268.0;;1228.0;1042.0;;1.0;-53.0;44.0;-222.0;35.0;37.0;-47.0;-950.0;-6.0;-327.0;185.0;15.0;-11.0;;;-1216.0;82.0;3.0;904.0;942.0;;0.03;277.78;48.41;48.11;47.96;37.45;482.98;776.0;0.7;0.0;132.9;215483.0;20.3;31868.0;37557.0;14.2;17.4;28471.0;1600.0;374672.0;9.6;9.6;10.0;0.9;99.7;0.033
2019.0;6935.0;2392.0;2546.0;1358.0;1399.0;1101.0;777.0;3144.0;15946.0;2210.0;3103.0;12504.0;2421.0;-907.0;-1301.0;214.0;1601.0;4544.0;34.49;1029.0;132.0;902.0;159.0;743.0;-4.0;5573.0;8.0;3.0;1176.0;36.71;19.59;41.0;20.17;266.0;15.88;1.41;1.41;776.0;;1138.0;251.0;1389.0;1032.0;658.0;66.0;9861.0;7.0;1566.0;1572.0;537.0;109.0;723.0;12802.0;;512.0;113.0;194.0;563.0;1023.0;270.0;387.0;64.0;172.0;893.0;;326.0;;2593.0;4887.0;20.0;5005.0;15608.0;338.0;15946.0;;1101.0;1176.0;;0.0;110.0;135.0;-90.0;-172.0;245.0;33.0;-820.0;-139.0;-498.0;557.0;-19.0;-144.0;;;-1161.0;4.0;1.0;1138.0;924.0;;0.03;267.51;42.47;61.74;44.79;31.62;482.32;776.0;0.8;0.0;125.8;207520.0;19.6;35176.0;32947.0;19.0;15.9;27929.0;8067.0;374157.0;8.3;8.8;8.8;-5.5;72.5;0.033
2020.0;7387.0;2511.0;2779.0;1507.0;1524.0;1189.0;776.0;2911.0;18010.0;2605.0;4231.0;13382.0;2649.0;-2428.0;-349.0;-129.0;119.0;4875.0;34.0;1061.0;137.0;922.0;178.0;744.0;2.0;5936.0;4.0;7.0;1294.0;37.63;20.4;17.0;20.63;289.0;16.1;1.53;1.53;776.0;;1082.0;218.0;1301.0;1003.0;518.0;89.0;10404.0;9.0;3204.0;3212.0;554.0;111.0;817.0;15099.0;;555.0;429.0;219.0;478.0;1144.0;932.0;431.0;70.0;192.0;1625.0;;341.0;;2760.0;5260.0;33.0;5330.0;17613.0;397.0;18010.0;;1189.0;1294.0;;0.0;114.0;145.0;139.0;1.0;-120.0;52.0;-2530.0;12.0;-190.0;248.0;-1662.0;-1346.0;;;-1166.0;2163.0;-1.0;1082.0;1211.0;;0.04;267.63;43.08;4.31;42.26;91.67;484.84;776.0;0.9;0.0;114.2;207609.0;20.4;36366.0;33419.0;19.0;16.1;8580.0;26195.0;376115.0;8.0;8.4;8.9;1.9;981.5;0.036
2021.0;7555.0;2681.0;3003.0;1621.0;1662.0;1290.0;777.0;3283.0;18506.0;2319.0;4394.0;13683.0;2700.0;-1124.0;-1238.0;338.0;1416.0;4873.0;35.49;1047.0;133.0;946.0;191.0;755.0;-32.0;5921.0;3.0;8.0;1385.0;39.75;21.45;41.0;22.0;320.0;17.07;1.66;1.66;776.0;;1435.0;183.0;1617.0;1066.0;511.0;89.0;10826.0;8.0;3020.0;3028.0;464.0;100.0;805.0;15223.0;;652.0;118.0;166.0;441.0;1108.0;1285.0;439.0;79.0;271.0;2075.0;;371.0;;2798.0;4721.0;;6163.0;18076.0;430.0;18506.0;;1290.0;1385.0;;1.0;-72.0;-48.0;32.0;89.0;-115.0;96.0;-1284.0;-12.0;-639.0;771.0;30.0;-573.0;;;-1205.0;540.0;-0.0;1435.0;1097.0;;0.04;269.99;46.09;50.62;43.06;45.88;488.99;776.0;0.9;0.0;106.8;209441.0;21.5;38401.0;35754.0;19.3;17.1;26729.0;35638.0;379335.0;8.3;8.9;9.4;6.6;85.1;0.036
