;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ARS/USD)
2011.0;1192.0;;846.0;;426.0;273.0;58.0;8397.0;9629.0;51.0;8523.0;1097.0;212.0;-55.0;-140.0;42.0;189.0;;;;;441.0;396.0;44.0;;;1092.0;399.0;21.0;70.97;;;35.74;153.0;22.92;4.68;4.68;58.0;;1434.0;;1434.0;1258.0;;5705.0;134.0;20.0;54.0;74.0;1024.0;;;1232.0;10860.0;15.0;36.0;186.0;;;303.0;;;;303.0;8775.0;;;138.0;640.0;;318.0;9620.0;9.0;9629.0;;273.0;;;;;;;;;-61.0;-23.0;;;;-31.0;-28.0;;;-117.0;5.0;;1434.0;1392.0;;0.23;87.79;20.12;18.72;3.56;0.98;80.75;58.0;1.6;0.1;10.8;5131.0;;89.0;1176.0;35.9;22.9;35920.0;1303.0;4720.0;5.5;8.6;24.9;79.4;19.0;0.232
2012.0;1230.0;;1097.0;;477.0;304.0;59.0;9160.0;9839.0;;8579.0;1261.0;;-42.0;-40.0;885.0;829.0;;;;;457.0;439.0;19.0;13.0;;1321.0;575.0;45.0;89.17;;;38.8;174.0;24.69;5.21;5.21;59.0;;2043.0;;2043.0;723.0;;6393.0;142.0;15.0;44.0;59.0;479.0;;;679.0;10519.0;11.0;;;;;257.0;;;;257.0;8835.0;;;121.0;317.0;741.0;82.0;9839.0;;9839.0;;304.0;;;;;;;;;-304.0;-28.0;;;;-14.0;-65.0;;;-0.0;25.0;;2141.0;1255.0;;0.2;101.76;25.12;13.68;8.5;1.7;104.27;59.0;0.6;0.0;52.1;6049.0;;220.0;1494.0;36.4;24.7;45039.0;1263.0;6199.0;6.8;10.7;24.1;57.0;62.2;0.203
2013.0;1268.0;;1225.0;;579.0;375.0;58.0;8551.0;9096.0;;7772.0;1323.0;;-42.0;-12.0;458.0;284.0;;;;;441.0;425.0;16.0;12.0;;1367.0;617.0;29.0;96.65;;;45.69;204.0;29.56;6.41;6.41;58.0;;1973.0;;1973.0;537.0;;6041.0;129.0;9.0;44.0;53.0;363.0;;;545.0;9641.0;9.0;;;;;257.0;;;;257.0;8029.0;;;91.0;386.0;785.0;62.0;9096.0;;9096.0;;375.0;;;;;;;;;-375.0;-27.0;;;;-15.0;-20.0;;;-0.0;9.0;201.0;2073.0;1615.0;;0.15;141.42;41.81;69.7;0.0;2.34;147.61;58.0;0.5;0.0;0.0;8266.0;;191.0;2444.0;35.3;29.6;55744.0;1675.0;8627.0;8.5;13.2;28.3;100.0;0.0;0.153
2014.0;1379.0;;1435.0;;636.0;406.0;58.0;7357.0;8760.0;;7418.0;1342.0;;-75.0;-123.0;547.0;493.0;;;;;459.0;444.0;15.0;13.0;;1609.0;769.0;30.0;104.03;;;46.1;229.0;29.47;6.95;6.95;58.0;;1826.0;;1826.0;358.0;;5173.0;149.0;5.0;43.0;48.0;1206.0;;;1403.0;10163.0;8.0;;250.0;;;257.0;;;;257.0;7675.0;;;68.0;419.0;808.0;47.0;8760.0;;8760.0;;406.0;;;;;;;;;-406.0;-31.0;;;1.0;-46.0;-23.0;;;-70.0;-30.0;222.0;2125.0;1578.0;;0.12;201.95;59.52;31.72;0.0;2.99;196.59;58.0;0.6;0.0;0.0;11805.0;;257.0;3480.0;36.1;29.5;62986.0;2197.0;11492.0;10.3;16.0;30.3;100.0;0.0;0.117
2015.0;1213.0;;1287.0;;579.0;387.0;58.0;6732.0;8109.0;;6882.0;1227.0;;-76.0;-20.0;346.0;322.0;;;;;407.0;396.0;11.0;11.0;;1499.0;683.0;25.0;106.12;;;47.73;192.0;31.9;6.62;6.62;58.0;;1529.0;;1529.0;325.0;;4877.0;149.0;2.0;36.0;38.0;1190.0;;;1377.0;9485.0;6.0;;202.0;;;258.0;;;;258.0;7140.0;;;45.0;397.0;754.0;31.0;8109.0;;8109.0;;387.0;;;;;;;;;-387.0;-30.0;;;;-46.0;-20.0;;;;0.0;90.0;1752.0;1406.0;;0.08;268.62;85.69;72.18;10.24;4.47;271.62;58.0;0.6;0.0;20.2;15701.0;;325.0;5008.0;33.2;31.9;87132.0;3341.0;15876.0;10.4;15.6;31.5;82.8;14.2;0.077
2016.0;1352.0;;1494.0;;631.0;412.0;58.0;8299.0;9759.0;;8367.0;1392.0;;-68.0;149.0;1079.0;770.0;;;;;463.0;450.0;12.0;15.0;;1773.0;837.0;26.0;110.5;;;46.66;219.0;30.46;7.04;7.04;58.0;;2297.0;;2297.0;401.0;;5601.0;167.0;1.0;41.0;42.0;1250.0;;;1460.0;11218.0;5.0;;250.0;;;506.0;;;;506.0;8873.0;;;37.0;424.0;906.0;25.0;9759.0;;9759.0;;412.0;;;;;;;;;-412.0;-25.0;;;;-43.0;-8.0;;;-61.0;218.0;203.0;2507.0;1427.0;;0.06;367.31;111.89;71.36;;6.54;378.16;58.0;0.6;0.0;;21471.0;;407.0;6541.0;34.7;30.5;131817.0;8035.0;22106.0;9.8;15.0;29.6;100.0;;0.063
2017.0;1672.0;;1569.0;;814.0;504.0;67.0;9818.0;12033.0;;9718.0;2314.0;;-67.0;484.0;5.0;-669.0;;;;;509.0;496.0;12.0;12.0;;1864.0;727.0;28.0;93.86;;;48.69;310.0;30.13;7.52;7.52;67.0;;1873.0;;1873.0;798.0;;7146.0;196.0;;47.0;47.0;1972.0;;;2215.0;14248.0;7.0;;325.0;;;655.0;11.0;;;666.0;10385.0;;;;;-58.0;;12033.0;;12033.0;;504.0;;;;;;;;;-504.0;-18.0;;;;-48.0;-140.0;;;-43.0;667.0;238.0;2141.0;2137.0;;0.05;465.34;140.2;182.62;14.37;5.98;644.06;67.0;0.7;0.0;15.1;31162.0;;530.0;9389.0;38.1;30.1;182960.0;12211.0;43131.0;7.9;12.8;21.8;85.3;7.9;0.054
2018.0;1632.0;;1052.0;;228.0;-19.0;64.0;6871.0;9318.0;;7702.0;1616.0;2013.0;-61.0;-220.0;1284.0;1953.0;;;;;533.0;523.0;10.0;;;1983.0;784.0;39.0;64.46;;;13.97;247.0;-1.14;6.51;6.51;64.0;;1984.0;;1984.0;68.0;;4820.0;412.0;;56.0;56.0;1978.0;;;2447.0;11765.0;45.0;;195.0;;;575.0;;62.0;;637.0;8339.0;;;18.0;-301.0;1113.0;786.0;9318.0;0.0;9318.0;;-19.0;39.0;;;1474.0;;;;1107.0;519.0;-61.0;;;;;-100.0;;-132.0;-120.0;132.0;;3466.0;2181.0;;0.03;960.31;-10.94;-194.61;12.4;5.37;950.63;64.0;-6.6;-0.3;17.2;61528.0;;1473.0;-701.0;108.5;-1.1;259008.0;21666.0;60908.0;-0.9;10.9;-1.2;91.5;-6.4;0.027
2019.0;1908.0;;1685.0;;562.0;345.0;64.0;5541.0;7436.0;;5664.0;1771.0;278.0;-68.0;-267.0;-894.0;211.0;;;;;481.0;473.0;8.0;;;2531.0;1073.0;50.0;88.31;;;29.43;217.0;18.07;10.68;10.68;64.0;;1681.0;;1681.0;94.0;;3766.0;430.0;;59.0;59.0;1406.0;;;1895.0;9330.0;;;267.0;;;514.0;;9.0;;523.0;6187.0;15.0;;11.0;-440.0;1434.0;767.0;7435.0;0.0;7436.0;;345.0;50.0;;;-1068.0;;;;-1869.0;951.0;-68.0;;;;;-117.0;;-5.0;-142.0;-4.0;;2461.0;3356.0;;0.02;1788.15;323.17;1151.84;70.6;35.77;1659.7;64.0;0.1;0.0;159.6;114262.0;;3006.0;20650.0;38.6;18.1;331782.0;30754.0;106055.0;13.5;22.0;19.5;743.4;;0.017
2020.0;1652.0;;1244.0;;466.0;311.0;64.0;5356.0;9209.0;;7407.0;1802.0;1425.0;-44.0;-83.0;748.0;1381.0;;;;;477.0;471.0;5.0;;;1868.0;725.0;52.0;75.3;;;28.22;155.0;18.82;5.63;5.63;64.0;;1545.0;;1545.0;450.0;;3360.0;409.0;;61.0;61.0;3384.0;;;3853.0;13063.0;;;190.0;;;480.0;;89.0;;569.0;7976.0;14.0;;8.0;-769.0;1817.0;746.0;9209.0;0.0;9209.0;;311.0;52.0;;;399.0;;;;354.0;662.0;-44.0;;;;;-76.0;;;-0.0;-7.0;;3134.0;2386.0;;0.01;2174.31;409.3;197.46;133.13;63.46;2371.58;64.0;0.1;0.0;647.8;138938.0;;4402.0;26154.0;33.3;18.8;450441.0;40403.0;151544.0;8.6;12.9;17.3;58.8;69.8;0.012
2021.0;1909.0;;1270.0;;280.0;264.0;64.0;5476.0;9718.0;;7394.0;2324.0;;;;;;;;;;546.0;538.0;9.0;;;2196.0;920.0;69.0;66.51;;;14.69;16.0;13.84;4.13;4.13;64.0;;1679.0;;1679.0;;;3798.0;515.0;;;82.0;3644.0;;;4241.0;13959.0;;;3.0;;;438.0;;55.0;;493.0;7887.0;;;6.0;177.0;1215.0;926.0;9717.0;0.0;9718.0;;;;;;;;;;;;;;;;;;;;;;;;;;;3066.9;424.44;1817.42;0.01;57.53;3733.47;64.0;0.0;0.0;0.0;195975.0;;7126.0;27122.0;5.8;13.8;562265.0;44965.0;238569.0;11.6;12.4;11.4;100.0;0.0;0.01
