;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (PEN/USD)
2007.0;;;;;;;80.0;;;;;;;;;;;;;;;;;;;;;;;63.08;;;30.53;;23.64;;;80.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.81;13.19;48.42;3.9;1.99;63.03;80.0;4.3;0.2;6.9;4448.0;;153.0;1052.0;22.6;23.6;35748.0;9072.0;5025.0;3.9;5.0;20.9;70.4;8.1;
2008.0;1471.0;;1105.0;;498.0;359.0;80.0;15281.0;20875.0;;19075.0;1694.0;453.0;36.0;228.0;694.0;362.0;;;;;636.0;636.0;;;;1392.0;579.0;58.0;75.1;;;33.83;110.0;24.38;4.5;4.5;80.0;;3776.0;;3776.0;647.0;;10858.0;330.0;91.0;157.0;248.0;5017.0;;;5595.0;26470.0;183.0;;;;;787.0;;66.0;;854.0;19928.0;;;473.0;381.0;-457.0;1296.0;20768.0;107.0;20875.0;;359.0;58.0;-4.0;;-165.0;;;;;207.0;-92.0;;;126.0;2.0;-211.0;;;-120.0;559.0;-24.0;3776.0;3082.0;;0.32;57.81;14.09;14.22;4.71;3.6;66.54;80.0;4.6;0.2;7.3;4611.0;;180.0;1124.0;22.1;24.4;47887.0;2467.0;5307.0;3.9;5.0;21.2;66.6;33.2;0.319
2009.0;1759.0;;1140.0;;633.0;507.0;80.0;16268.0;22125.0;;19610.0;2327.0;-491.0;150.0;320.0;71.0;-536.0;;;;;783.0;783.0;;;;1309.0;422.0;71.0;64.79;;;36.02;139.0;28.8;5.92;5.92;80.0;;3853.0;;3853.0;356.0;;12058.0;340.0;;;343.0;5173.0;;;5856.0;11713.0;48.0;;;;;1293.0;;;;1293.0;20903.0;;;474.0;494.0;238.0;1121.0;21937.0;187.0;22125.0;;507.0;71.0;-9.0;;-1093.0;;;;;33.0;-45.0;-93.0;;286.0;3.0;-115.0;;-12.0;-120.0;567.0;91.0;3853.0;3783.0;;0.35;63.72;18.35;-19.42;4.34;1.64;84.3;80.0;3.1;0.0;7.6;5082.0;;206.0;1464.0;22.0;28.8;47004.0;3735.0;6723.0;3.8;4.9;21.8;76.3;-24.5;0.346
2010.0;2389.0;;1280.0;;782.0;583.0;80.0;24261.0;28983.0;;25994.0;2931.0;3295.0;1151.0;449.0;4841.0;3213.0;;;;;1249.0;1249.0;;;;1489.0;422.0;84.0;53.57;;;32.71;191.0;24.39;7.3;7.3;80.0;;7098.0;;7098.0;295.0;;16867.0;380.0;;;380.0;3962.0;;;4722.0;33705.0;62.0;;;;;3062.0;;;;3062.0;29056.0;;;481.0;604.0;349.0;1498.0;28925.0;58.0;28983.0;;583.0;84.0;-17.0;;2563.0;;;;;82.0;-82.0;;;1421.0;-188.0;-876.0;;-15.0;-138.0;1478.0;-53.0;8755.0;3914.0;;0.36;84.07;20.5;113.05;4.87;2.88;103.14;80.0;4.6;0.2;5.2;6708.0;;236.0;1636.0;24.4;24.4;68110.0;8596.0;8230.0;3.1;4.1;19.9;76.3;4.8;0.356
2011.0;2689.0;;1521.0;;911.0;706.0;80.0;23227.0;29973.0;;26596.0;3312.0;-1663.0;-2588.0;1239.0;-2966.0;-1762.0;;;;;1345.0;1345.0;;;;1777.0;518.0;92.0;56.57;;;33.89;205.0;26.25;8.67;8.67;80.0;;5367.0;;5367.0;317.0;;17543.0;461.0;;;442.0;5843.0;;;6746.0;36719.0;74.0;;;;;3867.0;;;;3867.0;30463.0;;;460.0;716.0;332.0;1804.0;29908.0;65.0;29973.0;;706.0;92.0;-9.0;7.0;-2646.0;;;;;187.0;-98.0;-81.0;;;-2409.0;-389.0;;;-152.0;1779.0;47.0;5367.0;8333.0;;0.37;90.92;23.87;-59.57;5.13;3.32;111.98;80.0;4.0;0.2;5.3;7252.0;;247.0;1904.0;22.5;26.3;62640.0;10430.0;8932.0;3.7;4.8;21.3;78.5;-8.6;0.371
2012.0;2980.0;;1879.0;;1081.0;804.0;80.0;32088.0;41608.0;;37156.0;4251.0;3656.0;-2184.0;804.0;2393.0;3426.0;;;;;1434.0;1372.0;62.0;;;2340.0;707.0;111.0;63.05;;;36.27;257.0;26.99;10.09;10.09;80.0;;8001.0;7559.0;15560.0;1046.0;;15481.0;602.0;388.0;387.0;775.0;8144.0;;;9521.0;51129.0;510.0;;;;;7567.0;;172.0;;7738.0;44895.0;;;481.0;832.0;650.0;2288.0;41407.0;201.0;41608.0;;804.0;111.0;-17.0;27.0;2344.0;;;;7245.0;386.0;-230.0;-197.0;-1779.0;;-42.0;-564.0;;-19.0;-187.0;1575.0;116.0;8005.0;5612.0;;0.39;95.47;25.77;109.75;5.99;7.38;136.17;80.0;4.7;0.3;5.0;7614.0;;283.0;2055.0;23.7;27.0;81982.0;19332.0;10861.0;3.3;4.3;18.9;76.7;6.0;0.391
2013.0;3066.0;;1789.0;;877.0;578.0;80.0;32569.0;41634.0;;37130.0;4317.0;775.0;-778.0;208.0;-64.0;461.0;;;;;1652.0;1547.0;105.0;;;2646.0;796.0;123.0;58.36;;;28.61;291.0;18.87;7.25;7.25;80.0;;7940.0;6645.0;14585.0;1039.0;;16945.0;737.0;336.0;420.0;756.0;7572.0;;;9065.0;50699.0;528.0;;;;;7719.0;;129.0;;7848.0;44978.0;;;481.0;621.0;353.0;2862.0;41447.0;187.0;41634.0;;578.0;123.0;-11.0;23.0;-167.0;;;;1265.0;228.0;-314.0;-21.0;-451.0;;-103.0;-489.0;;-24.0;-212.0;933.0;-269.0;7941.0;8005.0;;0.36;107.52;20.28;16.17;7.42;11.03;151.42;80.0;6.6;0.4;5.5;8575.0;;345.0;1618.0;33.2;18.9;91101.0;21592.0;12077.0;2.7;4.0;13.4;63.4;51.2;0.357
2014.0;3530.0;;1993.0;;1130.0;796.0;80.0;36463.0;44940.0;;40065.0;4659.0;-608.0;766.0;-334.0;-24.0;-791.0;;;;;1676.0;1572.0;103.0;;;2847.0;730.0;145.0;56.46;;;32.0;323.0;22.54;9.98;9.98;80.0;;7229.0;5249.0;12477.0;1034.0;;22951.0;696.0;246.0;429.0;675.0;7106.0;;;8477.0;53418.0;589.0;;;;;8042.0;;88.0;;8131.0;48196.0;;;440.0;804.0;341.0;3074.0;44725.0;216.0;44940.0;;796.0;145.0;-84.0;21.0;-1658.0;;;;3171.0;173.0;-183.0;244.0;;;623.0;-400.0;;-15.0;-143.0;224.0;152.0;7229.0;7254.0;;0.33;132.81;29.94;-29.76;5.38;6.88;175.28;80.0;4.9;0.3;3.7;10593.0;;434.0;2388.0;28.6;22.5;109400.0;24129.0;13979.0;3.0;4.1;17.1;82.0;-20.0;0.333
2015.0;3464.0;;2118.0;;1274.0;904.0;80.0;36891.0;45431.0;;40544.0;4713.0;-398.0;-462.0;29.0;104.0;-542.0;;;;;1531.0;1465.0;65.0;14.0;;2912.0;747.0;117.0;61.15;;;36.79;350.0;26.09;11.33;11.33;80.0;;6441.0;5484.0;11925.0;1083.0;;23883.0;488.0;185.0;371.0;555.0;7496.0;;;8540.0;53972.0;521.0;;121.0;;;6971.0;;41.0;;7011.0;47555.0;;;385.0;903.0;223.0;3202.0;45256.0;175.0;45431.0;;904.0;117.0;-34.0;-21.0;-1803.0;;;;927.0;440.0;-144.0;;-332.0;;-68.0;;;-4.0;-161.0;195.0;935.0;6442.0;6338.0;;0.29;148.62;38.77;-23.24;6.91;6.16;202.21;80.0;3.3;0.2;5.3;11854.0;;401.0;3092.0;27.5;26.1;126253.0;23857.0;16128.0;3.2;4.4;19.2;82.2;-30.5;0.292
2016.0;3728.0;;2418.0;;1457.0;1047.0;80.0;36923.0;46602.0;;40609.0;5856.0;-434.0;-563.0;-480.0;-1612.0;-549.0;;;;;1549.0;1549.0;;-18.0;;3207.0;868.0;121.0;64.87;;;39.09;382.0;28.09;13.18;13.15;79.0;;4954.0;5566.0;10521.0;943.0;;25459.0;462.0;190.0;395.0;584.0;8633.0;;;9679.0;56281.0;577.0;;85.0;;;6925.0;;51.0;;6976.0;47585.0;;;393.0;1048.0;360.0;4055.0;46465.0;137.0;46602.0;;1047.0;121.0;8.0;28.0;-1977.0;;;;-928.0;338.0;-115.0;;-462.0;;-68.0;;;-20.0;-195.0;-265.0;-135.0;4955.0;6567.0;;0.3;157.46;44.23;-23.19;8.22;4.85;247.34;79.0;3.2;0.1;5.9;12514.0;;407.0;3515.0;26.2;28.1;123945.0;23244.0;19656.0;3.6;4.9;17.9;81.4;-39.1;0.298
2017.0;4125.0;;2739.0;;1722.0;1264.0;80.0;41032.0;52642.0;;45770.0;6718.0;2872.0;125.0;-724.0;2032.0;2744.0;;;;;1667.0;1667.0;;;;3390.0;914.0;132.0;66.41;;;41.74;430.0;30.63;15.9;15.86;79.0;;7166.0;7542.0;14708.0;1199.0;;25124.0;466.0;196.0;415.0;611.0;10533.0;;;11610.0;64252.0;711.0;;148.0;;;7425.0;;46.0;;7472.0;53242.0;;;407.0;1319.0;449.0;4543.0;52488.0;154.0;52642.0;;1264.0;132.0;-1.0;19.0;1242.0;;;;2280.0;217.0;-128.0;;;207.0;-37.0;;;-22.0;-689.0;-12.0;-242.0;7168.0;5136.0;;0.31;168.07;51.49;111.81;28.09;5.23;273.77;79.0;3.6;0.2;15.4;13357.0;;426.0;4092.0;25.0;30.6;132875.0;24046.0;21757.0;3.7;5.0;18.8;45.4;25.9;0.309
2018.0;4003.0;;2664.0;;1660.0;1182.0;80.0;42965.0;52612.0;;45410.0;7075.0;-36.0;-69.0;-416.0;-312.0;-215.0;;;;;1411.0;1411.0;;;;3413.0;900.0;130.0;66.54;;;41.46;451.0;29.54;14.88;14.84;79.0;;6571.0;6843.0;13415.0;1366.0;;28185.0;439.0;176.0;435.0;610.0;8597.0;;;9646.0;62258.0;599.0;;201.0;;;6918.0;;32.0;;6951.0;52360.0;;;391.0;1239.0;210.0;5235.0;52485.0;127.0;52612.0;;1182.0;130.0;27.0;19.0;-1786.0;;;;1566.0;392.0;-178.0;;;88.0;-103.0;;;-28.0;-336.0;-52.0;209.0;6577.0;6889.0;;0.3;169.7;50.13;-9.1;14.22;7.57;299.95;79.0;4.5;0.2;6.4;13487.0;;437.0;3984.0;27.2;29.5;144762.0;23310.0;23839.0;3.5;4.8;16.7;71.6;-169.5;0.297
2019.0;4448.0;;2962.0;;1803.0;1287.0;80.0;45654.0;56682.0;;48613.0;7916.0;2092.0;219.0;-1072.0;1150.0;1939.0;;;;;1587.0;1474.0;113.0;;;3728.0;993.0;193.0;66.6;;;40.53;490.0;28.93;16.19;16.15;79.0;;7832.0;7426.0;15258.0;1262.0;;29135.0;718.0;267.0;503.0;770.0;9540.0;;;11028.0;67711.0;717.0;;195.0;;;7378.0;;40.0;;7419.0;56032.0;256.0;;398.0;1320.0;328.0;5870.0;56529.0;153.0;56682.0;;1287.0;193.0;-16.0;36.0;250.0;;;;2420.0;342.0;-153.0;-113.0;-509.0;982.0;-100.0;-339.0;;-31.0;-674.0;-27.0;-89.0;7836.0;6686.0;;0.3;185.47;53.66;80.85;28.1;6.37;330.08;79.0;4.2;0.2;12.6;14743.0;;639.0;4265.0;27.2;28.9;151323.0;24455.0;26238.0;3.6;4.9;16.3;47.6;36.4;0.302
2020.0;3739.0;;1074.0;;62.0;96.0;80.0;49639.0;65572.0;;58543.0;6890.0;3504.0;-517.0;-577.0;2972.0;3329.0;;;;;1308.0;1308.0;;;;3182.0;822.0;187.0;28.74;;;1.66;-30.0;2.56;1.21;1.2;79.0;;10145.0;11806.0;21952.0;1294.0;;26393.0;599.0;227.0;502.0;729.0;14605.0;;;15933.0;81504.0;698.0;;81.0;;;6327.0;;29.0;;6357.0;64900.0;207.0;;364.0;96.0;515.0;5914.0;65434.0;138.0;65572.0;;96.0;187.0;-317.0;29.0;1968.0;;;;2142.0;1542.0;-175.0;;-784.0;442.0;-149.0;-45.0;;-42.0;-661.0;171.0;562.0;10146.0;7174.0;;0.28;170.46;4.37;151.79;30.13;7.98;314.14;79.0;34.4;0.9;20.1;13536.0;;677.0;347.0;-49.1;2.6;179720.0;22909.0;24946.0;2.0;1.4;1.4;-589.8;21.1;0.276
2021.0;3638.0;;2107.0;;1334.0;897.0;80.0;47427.0;61230.0;;54468.0;6627.0;994.0;-932.0;-116.0;640.0;834.0;;;;;1480.0;1358.0;122.0;;;2954.0;622.0;173.0;57.92;;;36.67;415.0;24.65;11.29;11.26;79.0;;9834.0;8693.0;18527.0;530.0;;28369.0;474.0;;;678.0;12652.0;;;13803.0;75033.0;304.0;;;;;6075.0;;;;6075.0;60543.0;;;330.0;889.0;59.0;5349.0;61095.0;135.0;61230.0;;897.0;173.0;137.0;19.0;-543.0;;;;2686.0;312.0;-160.0;;-920.0;148.0;-133.0;-39.0;1.0;-15.0;-100.0;36.0;695.0;9827.0;9187.0;;0.25;183.16;45.14;41.97;5.02;8.06;333.67;79.0;2.9;0.1;3.9;14544.0;;690.0;3585.0;31.1;24.6;189631.0;24292.0;26497.0;2.2;3.2;13.5;88.9;13.6;0.25
