;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno
2003.0;1163.0;455.0;156.0;183.0;83.0;51.0;81.0;190.0;1610.0;287.0;1300.0;310.0;155.0;-321.0;217.0;52.0;97.0;708.0;39.09;271.0;;204.0;;;67.0;980.0;;;73.0;13.45;15.75;-100.0;7.15;32.0;4.43;0.65;0.64;79.0;;107.0;;107.0;28.0;;54.0;741.0;603.0;;603.0;;;76.0;1420.0;;28.0;125.0;;;134.0;984.0;;28.0;0.0;1013.0;;;;0.0;148.0;-152.0;314.0;1610.0;;1610.0;;51.0;73.0;32.0;;-99.0;;;;-97.0;97.0;-57.0;;;;-263.0;;2.0;;;215.0;0.0;107.0;55.0;;
2004.0;1141.0;459.0;193.0;214.0;138.0;71.0;84.0;174.0;1643.0;178.0;1245.0;398.0;195.0;-65.0;-124.0;6.0;126.0;681.0;40.26;245.0;;180.0;;;66.0;927.0;;;71.0;16.93;18.74;-76.0;12.07;50.0;6.27;0.89;0.86;81.0;;88.0;;88.0;41.0;;46.0;597.0;588.0;;588.0;;;284.0;1469.0;;14.0;4.0;;;160.0;854.0;;32.0;181.0;1067.0;;;;1.0;220.0;-191.0;369.0;1643.0;;1643.0;;71.0;71.0;18.0;;93.0;;;;-4.0;-59.0;-69.0;;;;4.0;;8.0;;;-132.0;0.0;88.0;82.0;;
2005.0;1412.0;557.0;254.0;244.0;142.0;121.0;86.0;306.0;4190.0;341.0;3644.0;547.0;150.0;-1979.0;1873.0;45.0;29.0;855.0;39.46;314.0;;192.0;;;122.0;1169.0;;;78.0;17.96;17.24;-102.0;10.04;55.0;8.56;1.46;1.41;83.0;;133.0;;133.0;99.0;;75.0;1060.0;1849.0;;1849.0;17.0;;959.0;3884.0;;32.0;19.0;;;290.0;2768.0;;260.0;275.0;3303.0;;;;1.0;340.0;1.0;204.0;4190.0;;4190.0;;121.0;78.0;-29.0;;-31.0;;;;-35.0;11.0;-121.0;-1828.0;;;-30.0;;11.0;;;1862.0;0.0;133.0;88.0;;
2006.0;2351.0;1045.0;619.0;578.0;370.0;327.0;87.0;402.0;4514.0;416.0;3593.0;921.0;282.0;-302.0;56.0;36.0;-127.0;1307.0;44.43;467.0;;437.0;330.0;107.0;30.0;1774.0;;;135.0;26.33;24.57;-208.0;15.73;157.0;13.91;3.88;3.78;84.0;;169.0;;169.0;154.0;;80.0;1366.0;1869.0;726.0;2596.0;16.0;;135.0;4112.0;;38.0;40.0;;;338.0;2789.0;;388.0;0.0;3177.0;;;;1.0;668.0;3.0;250.0;4514.0;;4514.0;;327.0;135.0;14.0;;21.0;;;;-14.0;-216.0;-409.0;;;;107.0;;12.0;;;44.0;;169.0;133.0;;
2007.0;2437.0;1034.0;453.0;498.0;292.0;160.0;88.0;303.0;4967.0;494.0;3846.0;1121.0;431.0;-612.0;186.0;6.0;70.0;1403.0;42.44;536.0;;388.0;;;148.0;1939.0;;;161.0;18.6;20.43;-206.0;11.99;132.0;6.57;1.87;1.81;86.0;;174.0;;174.0;56.0;;72.0;1688.0;2013.0;777.0;2791.0;16.0;;169.0;4664.0;;29.0;110.0;;;355.0;2881.0;;385.0;86.0;3352.0;;;;1.0;816.0;-16.0;320.0;4967.0;;4967.0;;160.0;161.0;18.0;;-177.0;;;;-191.0;269.0;-361.0;-265.0;;;15.0;;25.0;;;161.0;;174.0;169.0;;
2008.0;2423.0;996.0;308.0;-86.0;-48.0;-153.0;85.0;906.0;5190.0;470.0;3132.0;2057.0;420.0;-391.0;543.0;572.0;76.0;1427.0;41.09;601.0;;427.0;;;174.0;2028.0;8.0;170.0;185.0;12.69;-3.57;39.0;-1.96;106.0;-6.33;-1.81;-1.81;85.0;;746.0;;746.0;44.0;;116.0;1812.0;1599.0;694.0;2292.0;14.0;;164.0;4283.0;;36.0;105.0;;;330.0;2325.0;;334.0;3.0;2662.0;;;;1.0;662.0;-49.0;1443.0;5190.0;;5190.0;;-153.0;185.0;-91.0;27.0;627.0;13.0;;-0.0;436.0;-174.0;-345.0;;-47.0;;1.0;-1025.0;;-152.0;;1720.0;;746.0;174.0;;
2009.0;2369.0;941.0;4.0;-195.0;-328.0;-265.0;78.0;938.0;4713.0;430.0;2861.0;1853.0;338.0;-263.0;-109.0;-33.0;49.0;1428.0;39.73;604.0;;409.0;;;194.0;2031.0;7.0;135.0;194.0;0.17;-8.21;-133.0;-13.84;-60.0;-11.18;-3.39;-3.39;78.0;;713.0;;713.0;80.0;;145.0;1838.0;1380.0;377.0;1757.0;26.0;;153.0;3774.0;;20.0;86.0;;;324.0;2249.0;;174.0;8.0;2430.0;;;;1.0;397.0;-26.0;1480.0;4713.0;-1.0;4713.0;;-265.0;194.0;-146.0;28.0;72.0;-16.0;;-5.0;508.0;454.0;-290.0;-9.0;;51.0;-15.0;-879.0;;;;770.0;;713.0;746.0;;
2010.0;2459.0;994.0;349.0;153.0;5.0;-59.0;78.0;466.0;4463.0;692.0;2685.0;1778.0;493.0;-737.0;-223.0;-467.0;130.0;1465.0;40.43;616.0;;419.0;;;197.0;2081.0;2.0;130.0;212.0;14.2;6.23;-149.0;0.18;66.0;-2.42;-0.76;-0.76;78.0;;246.0;;246.0;44.0;;175.0;1966.0;1186.0;415.0;1601.0;64.0;;366.0;3997.0;;17.0;358.0;;;316.0;1813.0;;171.0;9.0;1994.0;;;;1.0;338.0;-8.0;1447.0;4463.0;;4463.0;;-59.0;212.0;-2.0;26.0;-734.0;-1.0;;0.0;-226.0;1050.0;-363.0;-56.0;-64.0;;-254.0;-397.0;;-47.0;;221.0;;246.0;713.0;;
2011.0;2742.0;1122.0;700.0;500.0;389.0;242.0;107.0;416.0;4606.0;426.0;2635.0;1972.0;567.0;-339.0;-237.0;-8.0;274.0;1621.0;40.9;622.0;;410.0;;;211.0;2243.0;0.0;100.0;211.0;25.54;18.22;-110.0;14.19;147.0;8.84;2.52;2.26;78.0;;238.0;;238.0;57.0;;121.0;2277.0;1180.0;422.0;1602.0;174.0;;137.0;4191.0;;40.0;45.0;;;342.0;1999.0;;201.0;8.0;2208.0;;;;1.0;583.0;2.0;1386.0;4606.0;;4606.0;;242.0;211.0;22.0;24.0;215.0;-6.0;;0.0;-11.0;-147.0;-293.0;9.0;-100.0;;46.0;-1941.0;;-105.0;;1810.0;;238.0;246.0;;
2012.0;2899.0;1213.0;691.0;443.0;365.0;212.0;104.0;487.0;5644.0;500.0;3393.0;2251.0;507.0;-1188.0;703.0;22.0;34.0;1687.0;41.83;778.0;;532.0;532.0;;245.0;2464.0;1.0;81.0;245.0;23.84;15.26;-78.0;12.57;153.0;7.31;2.24;2.04;76.0;;260.0;;260.0;54.0;;173.0;2731.0;1381.0;706.0;2087.0;205.0;;134.0;5157.0;;38.0;81.0;;;380.0;2649.0;;216.0;28.0;2894.0;;;;1.0;795.0;3.0;1452.0;5644.0;;5644.0;;212.0;245.0;45.0;29.0;-2.0;2.0;;1.0;-12.0;-22.0;-473.0;-709.0;;;-7.0;-512.0;;;;1215.0;;260.0;238.0;;
2013.0;2919.0;1255.0;-520.0;-772.0;-916.0;-794.0;78.0;509.0;2184.0;361.0;1426.0;758.0;441.0;-415.0;7.0;33.0;241.0;1664.0;42.99;894.0;;596.0;596.0;;298.0;2558.0;1.0;97.0;298.0;-17.83;-26.45;-144.0;-31.38;-122.0;-27.22;-10.17;-10.17;78.0;;293.0;;293.0;53.0;;163.0;497.0;492.0;360.0;852.0;193.0;;132.0;1675.0;;23.0;28.0;;;311.0;1023.0;;14.0;27.0;1064.0;;;;1.0;-130.0;-914.0;1802.0;2184.0;;2184.0;;-794.0;298.0;-225.0;23.0;160.0;5.0;;-2.0;147.0;979.0;-200.0;;;7.0;-222.0;-4171.0;;-650.0;;4827.0;;293.0;260.0;;
2014.0;2591.0;1122.0;-47.0;-240.0;-272.0;-233.0;78.0;386.0;2236.0;436.0;1682.0;554.0;220.0;-376.0;71.0;-84.0;-8.0;1469.0;43.3;1047.0;;868.0;868.0;;179.0;2516.0;4.0;46.0;179.0;-1.81;-9.28;-31.0;-10.49;-39.0;-9.0;-2.97;-2.97;78.0;;209.0;;209.0;42.0;;136.0;769.0;278.0;371.0;648.0;180.0;79.0;175.0;1850.0;;43.0;31.0;;;362.0;1230.0;;;16.0;1246.0;;;;1.0;-363.0;-1.0;918.0;2236.0;;2236.0;;-233.0;179.0;-72.0;11.0;-197.0;10.0;;2.0;-50.0;533.0;-228.0;-119.0;;;-28.0;-83.0;;;;154.0;;209.0;293.0;;
2015.0;2838.0;1217.0;759.0;468.0;57.0;1.0;91.0;372.0;5139.0;558.0;5817.0;-678.0;399.0;-781.0;410.0;28.0;149.0;1622.0;42.87;709.0;;449.0;449.0;;259.0;2330.0;12.0;443.0;259.0;26.75;16.48;-411.0;1.99;56.0;0.02;0.01;0.01;80.0;;237.0;;237.0;45.0;;90.0;2980.0;912.0;391.0;1303.0;168.0;;315.0;4766.0;;73.0;92.0;;;393.0;1619.0;;108.0;3532.0;5259.0;;3565.0;;1.0;-1635.0;-5.0;961.0;5139.0;;5139.0;;1.0;259.0;57.0;8.0;-136.0;1.0;;2.0;-185.0;209.0;-250.0;-450.0;;;-81.0;-181.0;;;;591.0;;237.0;209.0;;
2016.0;3034.0;1277.0;851.0;543.0;121.0;109.0;91.0;399.0;4974.0;536.0;5518.0;-543.0;405.0;-79.0;-333.0;-7.0;305.0;1758.0;42.07;734.0;;463.0;463.0;;271.0;2492.0;24.0;459.0;271.0;28.05;17.9;-422.0;3.98;11.0;3.6;1.21;1.19;83.0;;230.0;;230.0;62.0;;108.0;2820.0;990.0;435.0;1425.0;156.0;;173.0;4575.0;;35.0;86.0;;;416.0;1330.0;;127.0;3525.0;4981.0;;3514.0;;1.0;-1525.0;-5.0;986.0;4974.0;;4974.0;;109.0;271.0;9.0;7.0;48.0;-6.0;;-8.0;-137.0;-40.0;-100.0;-87.0;;;108.0;-486.0;;;;153.0;;230.0;237.0;;
2017.0;3148.0;1335.0;709.0;446.0;-25.0;473.0;93.0;401.0;5235.0;530.0;5308.0;-73.0;459.0;-222.0;-189.0;48.0;358.0;1813.0;42.41;782.0;;515.0;515.0;;267.0;2595.0;4.0;467.0;267.0;22.52;14.16;-471.0;-0.8;-499.0;15.04;5.53;5.39;91.0;;278.0;;278.0;63.0;;60.0;2757.0;1008.0;423.0;1431.0;149.0;391.0;107.0;4834.0;;26.0;36.0;;;468.0;1215.0;;;3563.0;4778.0;;3539.0;;1.0;-1052.0;-1.0;979.0;5235.0;;5235.0;;473.0;267.0;-518.0;8.0;8.0;-9.0;;-0.0;-129.0;221.0;-101.0;-129.0;;;8.0;-1680.0;;-25.0;;1516.0;;278.0;230.0;;
2018.0;3588.0;1540.0;898.0;634.0;90.0;94.0;100.0;678.0;10961.0;738.0;10230.0;731.0;353.0;-1423.0;1272.0;202.0;179.0;2048.0;42.92;906.0;;619.0;619.0;;287.0;2954.0;1.0;539.0;269.0;25.04;17.67;-544.0;2.51;-4.0;2.61;0.96;0.93;97.0;;480.0;;480.0;107.0;;91.0;6869.0;1228.0;1857.0;3085.0;128.0;81.0;120.0;10283.0;;31.0;62.0;;;646.0;2350.0;;;7141.0;9491.0;;7148.0;;1.0;-968.0;-2378.0;4076.0;10961.0;-0.0;10961.0;;94.0;269.0;-27.0;12.0;68.0;-2.0;;-6.0;-61.0;-63.0;-174.0;-1365.0;;;116.0;-677.0;;-50.0;;1999.0;;481.0;279.0;;
2019.0;5301.0;2347.0;1037.0;572.0;86.0;44.0;118.0;643.0;14195.0;906.0;12343.0;1853.0;704.0;-608.0;-122.0;-26.0;502.0;2955.0;44.27;1602.0;;1188.0;1188.0;;414.0;4556.0;1.0;536.0;414.0;19.56;10.79;-486.0;1.62;43.0;0.83;0.38;0.37;116.0;;437.0;;437.0;89.0;;117.0;9958.0;1271.0;2027.0;3297.0;128.0;;169.0;13552.0;;40.0;63.0;;;802.0;2322.0;;245.0;8870.0;11437.0;;8943.0;;1.0;162.0;-2685.0;4375.0;14195.0;-1.0;14195.0;;44.0;414.0;21.0;15.0;-202.0;27.0;;4.0;-263.0;412.0;-202.0;-1371.0;-5.0;;971.0;-523.0;;-25.0;;426.0;;455.0;481.0;;
2020.0;3579.0;1711.0;76.0;-410.0;-834.0;-670.0;134.0;2085.0;14667.0;860.0;12012.0;2656.0;339.0;-234.0;1310.0;1415.0;197.0;1868.0;47.8;1498.0;;1131.0;1131.0;;367.0;3366.0;1.0;544.0;367.0;2.13;-11.46;-424.0;-23.31;-165.0;-18.71;-5.0;-5.0;134.0;;1854.0;;1854.0;96.0;;135.0;9347.0;1157.0;1514.0;2671.0;267.0;;298.0;12582.0;;33.0;252.0;75.0;;575.0;10906.0;;126.0;119.0;11152.0;;8845.0;23.0;2.0;-507.0;;3139.0;14668.0;-0.0;14667.0;;-670.0;367.0;-118.0;15.0;1488.0;-17.0;;-7.0;1225.0;-742.0;-142.0;-143.0;;;-90.0;-889.0;1289.0;;;910.0;;1870.0;455.0;;
2021.0;5905.0;2757.0;1445.0;1060.0;539.0;421.0;176.0;2223.0;16872.0;1133.0;12775.0;4097.0;896.0;;;;652.0;3148.0;46.69;1697.0;;1353.0;1353.0;;345.0;4845.0;;562.0;344.0;24.47;17.94;-521.0;9.13;119.0;7.13;2.64;2.48;159.0;;1863.0;;1863.0;195.0;;165.0;9435.0;2822.0;1872.0;4694.0;;189.0;331.0;14649.0;;53.0;383.0;;;697.0;7265.0;189.0;189.0;3999.0;11642.0;;;;1.0;-86.0;-54.0;4236.0;16872.0;;16872.0;;421.0;344.0;-4.0;35.0;-135.0;-82.0;;-30.0;1090.0;235.0;-244.0;-877.0;;;;;;;;;;;;;
